N	2gram	Kanaev_Sov_1	Tvorches
1	и в	7	20
2	не только	4	13
3	как бы	4	11
4	в его	2	10
5	таким образом	11	10
6	и не	6	9
7	прежде всего	5	8
8	в том	4	8
9	при этом	3	8
10	может быть	12	8
11	в этом	7	8
12	это не	4	7
13	что в	2	7
14	не может	17	7
15	то же	3	7
16	у него	2	6
17	в конце	3	6
18	как и	6	6
19	в целом	4	6
20	все это	3	6
21	а не	3	6
22	еще не	3	5
23	все же	3	5
24	и даже	2	5
25	в этой	3	5
26	мы не	9	4
27	в дальнейшем	4	4
28	мы видим	2	4
29	отнюдь не	3	4
30	на его	2	4
31	что она	3	4
32	все эти	5	4
33	не в	3	4
34	а в	4	4
35	и потому	3	4
36	ничего не	6	4
37	но в	3	4
38	одна из	3	3
39	в самом	2	3
40	о жизни	2	3
41	и мы	3	3
42	в нем	3	3
43	вместе с	4	3
44	по мнению	2	3
45	так как	4	3
46	уже не	2	3
47	в таком	2	3
48	в себе	3	3
49	уже в	3	2
50	не менее	2	2
51	и есть	2	2
52	точку зрения	4	2
53	в одном	3	2
54	во всяком	2	2
55	такой же	2	2
56	у нас	3	2
57	как известно	2	2
58	которой он	2	2
59	в которую	2	2
60	всяком случае	2	2
61	нет и	4	2
62	приводит к	2	2
63	в отличие	2	2
64	самом деле	2	2
65	и что	2	2
66	и наконец	5	2
67	на этот	2	2
68	и по	2	2
69	роль в	2	2
70	из них	4	2
71	в виде	2	2
72	могут быть	2	2
73	в которой	2	2
74	говорить о	2	2
75	так сказать	2	2
76	их в	4	2
77	отличие от	2	2
