N	2gram	Trubetskoy_1	Problema
1	и в	23	30
2	то есть	2	21
3	то что	18	18
4	не только	7	18
5	том что	19	17
6	в этом	12	17
7	но и	9	13
8	таким образом	31	13
9	потому что	9	13
10	в том	30	12
11	в его	5	12
12	и не	8	12
13	также и	2	12
14	о том	7	12
15	в своем	10	11
16	у него	5	11
17	так что	5	11
18	в виде	4	10
19	для нас	3	10
20	точки зрения	13	10
21	в этой	6	10
22	на земле	3	9
23	все же	13	9
24	но в	4	9
25	и вообще	3	9
26	только в	6	9
27	и все	7	9
28	в конце	4	8
29	вовсе не	2	8
30	хотя и	4	8
31	с точки	8	8
32	никогда не	4	7
33	что он	7	7
34	у нас	3	7
35	как и	9	7
36	в дальнейшем	2	7
37	связи с	4	7
38	но не	2	7
39	может быть	16	7
40	вместе с	6	7
41	так и	10	7
42	в связи	3	7
43	не в	8	7
44	в результате	9	7
45	с другой	6	6
46	прежде всего	3	6
47	несмотря на	6	6
48	и для	6	6
49	как бы	10	6
50	конце концов	4	6
51	в нем	3	6
52	что и	7	6
53	другой стороны	5	6
54	и что	8	6
55	а в	3	6
56	и на	6	6
57	его в	5	6
58	при помощи	3	6
59	так как	7	6
60	не менее	7	5
61	с тем	2	5
62	что в	8	5
63	что у	2	5
64	в которой	5	5
65	тем не	4	5
66	в силу	7	5
67	так же	8	5
68	в самом	8	5
69	и их	5	5
70	для себя	2	5
71	не может	17	5
72	и у	4	5
73	и то	4	5
74	и с	5	5
75	мы можем	6	5
76	в частности	2	4
77	отнюдь не	2	4
78	но даже	3	4
79	тогда когда	3	4
80	ясно что	8	4
81	но все	5	4
82	при этом	9	4
83	того же	9	4
84	было бы	3	4
85	и сам	2	4
86	не так	4	4
87	оказывается что	5	4
88	гораздо более	2	4
89	а с	4	4
90	и к	5	4
91	в себе	5	4
92	в то	6	4
93	далеко не	5	4
94	из этого	6	4
95	же не	3	4
96	в самой	2	3
97	именно в	5	3
98	о котором	7	3
99	все в	2	3
100	что его	4	3
101	в начале	2	3
102	что они	2	3
103	тот же	3	3
104	то время	2	3
105	как будто	5	3
106	только тогда	2	3
107	еще не	5	3
108	одной стороны	2	3
109	для того	8	3
110	он не	3	3
111	в настоящее	2	3
112	с одной	3	3
113	того что	6	3
114	тем же	2	3
115	к нему	2	3
116	жизнь и	3	3
117	в ней	3	3
118	что касается	6	3
119	в другом	2	3
120	настоящее время	2	3
121	с ним	6	3
122	в виду	2	3
123	борьбы с	2	2
124	я не	2	2
125	не могут	4	2
126	мы будем	3	2
127	и более	2	2
128	уже и	3	2
129	по этому	2	2
130	и без	5	2
131	в них	2	2
132	хотя бы	4	2
133	это не	3	2
134	во втором	2	2
135	с этой	3	2
136	на месте	2	2
137	представление о	3	2
138	если он	2	2
139	представляет собою	2	2
140	к этому	5	2
141	на то	9	2
142	к тому	8	2
143	то же	4	2
144	как мы	2	2
145	в европе	6	2
146	по существу	6	2
147	из всех	5	2
148	мы и	2	2
149	не будет	5	2
150	в свою	2	2
151	до сих	8	2
152	он считает	2	2
153	жизни и	2	2
154	в данном	3	2
155	образом как	2	2
156	конечно не	3	2
157	за ними	3	2
158	но для	2	2
159	гораздо больше	3	2
160	всяком случае	2	2
161	в котором	2	2
162	отношению к	9	2
163	бы то	2	2
164	он все	2	2
165	из них	5	2
166	на него	2	2
167	и до	3	2
168	все что	9	2
169	данном случае	3	2
170	отношение к	4	2
171	по отношению	9	2
172	то и	2	2
173	и только	2	2
174	то ни	3	2
175	все эти	19	2
176	факт что	4	2
177	они не	2	2
178	самом деле	12	2
179	того чтобы	8	2
180	в таком	4	2
181	по его	2	2
182	доказать что	2	2
183	более всего	2	2
184	во всяком	2	2
185	между тем	12	2
186	что только	2	2
187	и сейчас	4	2
188	по своей	7	2
189	есть в	2	2
190	в области	4	2
191	это конечно	2	2
192	не то	3	2
193	сих пор	8	2
