N	3gram	Bakhtin_Pr_3	formyVre
1	то же время	5	9
2	как мы уже	3	8
3	человека и его	3	7
4	в то же	5	6
5	и в то	2	5
6	в том числе	11	4
7	к себе самому	6	4
8	мы уже говорили	2	3
9	до сих пор	5	3
10	с самим собою	4	3
11	с самого начала	3	2
12	по сравнению с	4	2
13	в подходе к	2	2
14	в нем нет	3	2
15	а также и	3	2
16	с точки зрения	2	2
17	в последующем развитии	2	2
18	как и в	3	2
19	под углом зрения	3	2
20	том числе и	10	2
21	и др в	2	2
22	в последующие эпохи	2	2
23	влияние на литературу	2	2
24	может быть и	2	2
25	в соответствии с	2	2
26	все то что	2	2
27	и прежде всего	5	2
28	в том что	3	2
