N	2gram	Nazirov_Vr_1	Mirosoze
1	у достоевского	4	42
2	может быть	4	30
3	не только	9	29
4	и в	8	28
5	не может	2	28
6	но и	7	25
7	он не	3	24
8	в этом	8	20
9	не было	5	18
10	у него	5	17
11	в ней	4	15
12	в своей	2	15
13	никогда не	2	14
14	он был	3	14
15	в нем	6	13
16	человека в	3	13
17	и достоевский	2	12
18	и он	2	12
19	и это	2	12
20	для него	2	11
21	и не	5	11
22	что в	7	10
23	в своем	3	10
24	в мире	2	10
25	из подполья	3	10
26	достоевского и	7	10
27	и все	7	10
28	что он	4	10
29	достоевского в	7	9
30	достоевского –	2	9
31	достоевский был	2	9
32	но он	3	9
33	в его	3	9
34	и его	3	9
35	в котором	6	8
36	к достоевскому	6	8
37	достоевского он	2	7
38	в конце	3	7
39	но в	6	7
40	о достоевском	2	7
41	подпольного человека	4	7
42	в себе	2	7
43	он сам	2	6
44	в том	3	6
45	в этой	2	6
46	все это	4	6
47	достоевский не	3	6
48	вместе с	2	6
49	это не	4	5
50	достоевский в	8	5
51	достоевского к	3	5
52	как и	6	5
53	то что	7	5
54	что есть	3	5
55	уже в	4	4
56	достоевского не	4	4
57	отношение к	2	4
58	отношения к	2	4
59	а в	2	4
60	точки зрения	2	4
61	в них	2	4
62	уже не	2	4
63	что достоевский	4	4
64	тем что	3	4
65	о себе	3	3
66	для нас	4	3
67	не мог	2	3
68	в него	2	3
69	в момент	2	3
70	его в	3	3
71	и с	6	3
72	с его	3	3
73	достоевский и	8	3
74	том что	3	3
75	сам достоевский	3	3
76	место в	2	2
77	достоевского о	3	2
78	в свою	2	2
79	о чем	2	2
80	одним из	3	2
81	в виду	4	2
82	его с	2	2
83	я хотел	3	2
84	в бесах	10	2
85	и что	8	2
86	в начале	6	2
87	в истории	4	2
88	как бы	4	2
89	о том	4	2
90	в россии	5	2
91	человека с	2	2
92	с ним	4	2
93	великих писателей	2	2
94	и во	3	2
95	к этому	3	2
96	достоевского с	9	2
97	в то	5	2
98	личность и	2	2
99	о нем	6	2
100	в этот	3	2
101	все же	6	2
102	в дневнике	4	2
103	который был	3	2
104	и достоевского	9	2
105	т е	3	2
106	в той	2	2
107	и у	3	2
108	и как	3	2
109	эти слова	3	2
