N	2gram	Losev_Prob_3	Myslijsy
1	потому что	25	49
2	для нас	16	31
3	то есть	34	30
4	и в	44	24
5	может быть	28	23
6	то что	23	20
7	и не	35	19
8	а не	18	18
9	в том	21	18
10	что в	8	16
11	по себе	25	15
12	не только	14	15
13	того же	2	14
14	при этом	4	13
15	было бы	8	13
16	не в	13	13
17	в слове	2	13
18	но не	3	12
19	не может	7	12
20	то же	13	12
21	мы можем	6	12
22	если бы	3	11
23	что мы	8	11
24	что и	9	11
25	вместе с	2	11
26	мы не	7	11
27	только в	19	11
28	таким образом	9	11
29	для него	3	10
30	в себе	8	10
31	так что	12	10
32	как в	5	10
33	так как	9	10
34	точно так	3	9
35	вовсе не	37	9
36	в нем	9	9
37	как бы	9	9
38	но и	10	9
39	то и	5	9
40	а только	5	8
41	а в	5	8
42	том что	12	8
43	в этом	17	8
44	могут быть	2	8
45	прежде всего	3	7
46	во всяком	9	7
47	всяком случае	6	7
48	сами по	6	7
49	во всех	2	7
50	как и	10	7
51	того что	8	7
52	между собою	2	7
53	тем что	4	7
54	с этим	2	7
55	в чем	4	7
56	связи с	8	6
57	с другой	7	6
58	не есть	35	6
59	и как	3	6
60	по поводу	2	6
61	тем не	10	6
62	и т	13	6
63	не было	5	6
64	не имеет	9	6
65	есть только	4	6
66	в то	9	6
67	этого слова	5	6
68	и только	6	6
69	уже в	3	5
70	не менее	10	5
71	по крайней	5	5
72	с ним	7	5
73	есть не	5	5
74	крайней мере	5	5
75	же в	3	5
76	что они	5	5
77	на то	3	5
78	о том	6	5
79	в природе	2	5
80	так и	10	5
81	от того	2	5
82	мертвых душ	2	5
83	с другими	3	5
84	из них	2	5
85	все же	6	5
86	в которой	2	5
87	сам по	6	4
88	никогда не	6	4
89	что он	9	4
90	уже не	7	4
91	до сих	2	4
92	еще не	5	4
93	и если	6	4
94	в самом	3	4
95	между прочим	2	4
96	время как	4	4
97	в котором	2	4
98	сих пор	2	4
99	указания на	3	4
100	с одной	2	4
101	что оно	2	4
102	если не	3	4
103	и сами	2	4
104	и что	7	4
105	тем самым	5	4
106	для самого	2	4
107	в таком	5	4
108	от него	2	4
109	себе не	2	4
110	том смысле	3	4
111	то время	4	4
112	с тем	5	4
113	но в	12	4
114	нам на	2	3
115	с чем	2	3
116	что это	3	3
117	но даже	4	3
118	на нас	2	3
119	это не	9	3
120	и от	9	3
121	и все	3	3
122	хотя и	5	3
123	то это	10	3
124	о которых	3	3
125	ни было	3	3
126	и при	2	3
127	слова а	2	3
128	и может	2	3
129	но это	8	3
130	мы в	4	3
131	которые мы	3	3
132	в самой	2	3
133	в ней	5	3
134	и во	2	3
135	его в	3	3
136	и тем	9	3
137	слова и	3	3
138	в целом	6	3
139	только тогда	2	3
140	есть нечто	8	3
141	и тогда	3	3
142	только что	2	3
143	языка и	4	3
144	мы говорим	4	3
145	т д	13	3
146	и притом	4	3
147	если мы	16	3
148	и у	2	3
149	тем же	2	3
150	не так	3	3
151	и для	2	3
152	бы быть	3	3
153	его не	2	3
154	как на	2	3
155	что для	3	3
156	и то	14	3
157	в каком	4	3
158	и вообще	8	3
159	в этих	2	3
160	которое мы	5	3
161	это будет	4	3
162	том как	2	3
163	всех этих	2	2
164	таком случае	4	2
165	время и	2	2
166	и есть	5	2
167	а то	3	2
168	из себя	3	2
169	в нашем	5	2
170	выражается в	3	2
171	и его	5	2
172	что у	3	2
173	хотя бы	3	2
174	не полное	2	2
175	что слово	2	2
176	не столько	2	2
177	и это	9	2
178	а к	2	2
179	что все	2	2
180	с нею	2	2
181	значение и	5	2
182	мы выше	4	2
183	и образ	2	2
184	только потому	2	2
185	бы в	2	2
186	у нас	10	2
187	за пределы	5	2
188	но все	3	2
189	с первого	3	2
190	такого же	2	2
191	в сравнении	2	2
192	все эти	7	2
193	есть в	3	2
194	совсем не	2	2
195	так же	5	2
196	но что	2	2
197	одно и	3	2
198	в нашей	2	2
199	общего с	3	2
200	сама по	8	2
201	и следовательно	2	2
202	но если	6	2
203	в его	9	2
204	не знали	2	2
205	и потому	7	2
206	когда это	2	2
207	для нее	2	2
208	с теми	2	2
209	остается только	2	2
210	ни с	4	2
211	указывает на	7	2
212	нам не	2	2
213	не имеют	4	2
214	все это	5	2
215	другой стороны	5	2
216	в связи	7	2
217	а с	2	2
218	на самом	7	2
219	мы находим	7	2
220	от себя	2	2
221	но только	6	2
222	отличное от	2	2
223	самом деле	3	2
224	к другой	2	2
225	что такое	3	2
226	и по	2	2
227	друг друга	2	2
228	отношения к	3	2
229	как это	2	2
230	у человека	2	2
231	сравнении с	2	2
232	или в	4	2
233	и здесь	5	2
234	нас в	4	2
235	сказать что	16	2
236	тому что	4	2
237	ничем не	2	2
238	само по	3	2
239	даже и	16	2
240	не то	2	2
241	в другом	2	2
242	или по	4	2
243	мы должны	7	2
244	могли бы	4	2
245	как оно	3	2
246	с которыми	2	2
247	а это	3	2
248	когда мы	15	2
249	это было	2	2
