N	2gram	Kanaev_Sov_1	RusskieA
1	и в	7	29
2	что в	2	22
3	в том	4	22
4	как бы	4	18
5	может быть	12	13
6	так как	4	13
7	как и	6	11
8	одна из	3	11
9	в этом	7	11
10	все это	3	10
11	не только	4	10
12	а на	2	9
13	в некоторых	2	9
14	а в	4	9
15	мы видели	4	7
16	мы не	9	6
17	еще не	3	6
18	для нас	3	6
19	вместе с	4	6
20	таким образом	11	6
21	при этом	3	6
22	это не	4	5
23	и что	2	5
24	не может	17	5
25	или же	2	5
26	следующим образом	3	5
27	но в	3	5
28	видели что	3	4
29	и все	3	4
30	вопрос о	4	4
31	уже не	2	4
32	не в	3	4
33	из них	4	4
34	то и	2	4
35	то же	3	4
36	у нас	3	4
37	а не	3	4
38	в таком	2	4
39	их в	4	4
40	в виде	2	4
41	на этом	2	3
42	было бы	3	3
43	что она	3	3
44	в и	2	3
45	не будем	2	3
46	в отличие	2	3
47	все эти	5	3
48	и по	2	3
49	как мы	2	3
50	такие же	2	3
51	в этой	3	3
52	что это	2	3
53	отличие от	2	3
54	не менее	2	2
55	могут быть	2	2
56	между собой	3	2
57	из этих	2	2
58	прежде всего	5	2
59	и пр	2	2
60	совершенно не	2	2
61	тем не	2	2
62	на две	3	2
63	все же	3	2
64	что при	2	2
65	с одной	2	2
66	ее на	2	2
67	из которых	2	2
68	только одну	2	2
69	с этим	2	2
70	когда мы	3	2
71	в которой	2	2
72	не можем	7	2
