N	2gram	Losev_Dial_3	DiskursI
1	не только	23	28
2	в том	5	23
3	а не	26	22
4	том что	8	19
5	может быть	13	17
6	и в	24	16
7	как и	7	16
8	в этом	8	15
9	еще не	2	14
10	но и	9	14
11	при этом	2	13
12	прежде всего	8	11
13	но не	2	11
14	и не	27	11
15	с другой	4	10
16	в частности	2	9
17	в нем	3	9
18	одной стороны	3	9
19	не может	19	9
20	с одной	3	9
21	отнюдь не	10	8
22	так и	5	8
23	о том	6	8
24	но в	2	8
25	в основе	3	7
26	в его	2	7
27	со стороны	2	7
28	то же	6	7
29	не было	3	7
30	в себе	2	7
31	только в	5	7
32	не в	3	7
33	в своем	3	6
34	и как	8	6
35	ни к	3	6
36	к тому	4	5
37	или иной	4	5
38	тому же	2	5
39	в силу	3	5
40	как бы	3	5
41	то что	14	5
42	а в	2	5
43	в их	2	5
44	и на	3	5
45	в данном	2	5
46	с его	2	4
47	что в	7	4
48	в них	5	4
49	для себя	2	4
50	и к	5	4
51	что он	13	4
52	уже не	5	4
53	для него	4	4
54	в истории	4	4
55	же время	3	4
56	и о	3	4
57	в особенности	7	4
58	что не	5	4
59	потому что	7	4
60	могут быть	2	4
61	перед нами	3	3
62	это не	4	3
63	в одной	3	3
64	по себе	20	3
65	что и	6	3
66	с этим	3	3
67	в самом	7	3
68	той или	2	3
69	хотя бы	4	3
70	все же	3	3
71	из них	3	3
72	как не	2	3
73	бы быть	2	3
74	таким образом	13	3
75	именно в	2	3
76	того что	12	3
77	должны быть	3	3
78	другой стороны	2	3
79	и даже	13	3
80	в сферу	3	3
81	в своих	2	3
82	сказать что	4	3
83	тем что	3	3
84	точки зрения	25	3
85	в то	5	3
86	тому как	4	3
87	также и	2	3
88	в первом	2	3
89	и потому	2	3
90	разного рода	2	2
91	из двух	3	2
92	но они	2	2
93	зависит от	2	2
94	не менее	11	2
95	и есть	16	2
96	охватывает все	2	2
97	мифом и	3	2
98	никогда не	7	2
99	в разные	2	2
100	и без	3	2
101	и во	2	2
102	по крайней	5	2
103	и все	6	2
104	в особом	2	2
105	об этом	6	2
106	крайней мере	5	2
107	его как	3	2
108	тот или	2	2
109	мифа не	2	2
110	есть в	3	2
111	на этом	2	2
112	отличается от	8	2
113	в сущности	10	2
114	хотя и	5	2
115	о нем	4	2
116	сами по	3	2
117	например в	2	2
118	оно не	6	2
119	точка зрения	5	2
120	говоря уже	2	2
121	и тем	2	2
122	не есть	54	2
123	того или	3	2
124	себя в	2	2
125	что же	11	2
126	за пределы	3	2
127	целый ряд	2	2
128	может и	2	2
129	сознания в	2	2
130	как мы	2	2
131	и что	15	2
132	и он	2	2
133	и по	2	2
134	и его	5	2
135	или в	2	2
136	во всяком	2	2
137	подобно тому	4	2
138	на себя	3	2
139	и ее	3	2
140	но как	2	2
141	и вообще	2	2
142	не говоря	2	2
143	уже о	2	2
144	они не	2	2
145	особого рода	3	2
146	возможно только	6	2
147	в виду	7	2
148	это было	3	2
