N	2gram	Tiupa_Lite_3	Vladivir
1	и в	16	40
2	то что	12	28
3	и не	22	25
4	не только	14	25
5	то есть	5	24
6	но и	14	18
7	в том	12	18
8	том что	8	18
9	еще и	2	18
10	что в	2	17
11	в этом	14	16
12	в его	6	14
13	не может	8	14
14	точки зрения	7	13
15	только в	7	13
16	а именно	5	12
17	в конце	2	12
18	никогда не	4	11
19	потому что	3	11
20	о том	6	11
21	едва ли	3	11
22	прежде всего	3	10
23	то это	2	10
24	и потому	2	10
25	как раз	2	10
26	в году	5	10
27	и его	6	10
28	не менее	2	9
29	уже не	3	9
30	и с	2	9
31	в своей	7	9
32	в себе	6	9
33	в этой	8	8
34	для него	2	8
35	может быть	12	8
36	так же	2	8
37	а также	4	8
38	как мы	2	8
39	а не	12	8
40	к тому	6	7
41	и как	3	7
42	несмотря на	2	7
43	и если	4	7
44	хотя и	4	7
45	а в	5	7
46	в своих	2	7
47	того что	9	7
48	в то	9	7
49	что и	2	7
50	вместе с	5	7
51	как и	5	7
52	и даже	2	6
53	и на	2	6
54	по себе	2	6
55	xix века	2	6
56	то в	3	6
57	так и	9	6
58	если не	2	6
59	с точки	3	6
60	с другой	6	5
61	тому же	5	5
62	должно быть	4	5
63	отношения к	3	5
64	отнюдь не	3	5
65	в одном	4	5
66	что он	5	5
67	у нас	2	5
68	еще в	3	5
69	для себя	2	5
70	в данном	4	5
71	тем что	2	5
72	вопрос о	2	4
73	на то	2	4
74	до конца	4	4
75	такого рода	10	4
76	в самом	3	4
77	бы и	3	4
78	как это	3	4
79	не с	2	4
80	по существу	4	4
81	но не	4	4
82	еще не	6	4
83	было бы	2	4
84	даже в	4	4
85	то же	9	4
86	все же	2	4
87	но в	3	4
88	я не	2	3
89	в качестве	5	3
90	то ни	2	3
91	это не	5	3
92	одной стороны	4	3
93	при этом	15	3
94	как бы	8	3
95	и тем	3	3
96	в нем	2	3
97	бы то	2	3
98	ни с	2	3
99	и только	2	3
100	с одной	4	3
101	именно в	5	3
102	как на	3	3
103	же самое	2	3
104	если бы	2	3
105	же в	2	3
106	оно не	2	3
107	ее в	2	3
108	в отличие	5	3
109	того чтобы	2	3
110	не в	10	3
111	и для	4	3
112	и вовсе	2	3
113	далеко не	2	3
114	здесь не	2	3
115	отличие от	5	3
116	ни к	3	2
117	в сторону	3	2
118	все они	2	2
119	с этой	2	2
120	и вместе	2	2
121	мы и	2	2
122	это последнее	2	2
123	же время	7	2
124	жизни а	2	2
125	и наконец	3	2
126	той или	2	2
127	так или	2	2
128	в целом	5	2
129	живой жизни	3	2
130	другой стороны	2	2
131	взгляд на	3	2
132	этом отношении	5	2
133	в начале	4	2
134	по своей	3	2
135	его в	2	2
136	не вполне	2	2
137	с его	6	2
138	не как	2	2
139	в жизни	8	2
140	к этому	2	2
141	стороны и	2	2
142	вот в	2	2
143	а и	2	2
144	еще раз	2	2
145	и к	3	2
146	того же	2	2
147	из них	4	2
148	совершенно не	3	2
149	но еще	2	2
150	легко может	2	2
151	со стороны	7	2
152	но уже	3	2
153	в мире	16	2
154	данном случае	4	2
155	но с	2	2
156	тем самым	7	2
157	для того	2	2
158	и выше	2	2
159	или иначе	2	2
160	на себя	2	2
161	как например	2	2
162	в другом	6	2
163	связи с	2	2
