N	2gram	Bakhtin_Fr_3	Psycholo
1	то что	5	32
2	и в	40	31
3	в том	8	30
4	то есть	18	26
5	что в	12	23
6	может быть	9	22
7	таким образом	10	20
8	при этом	3	19
9	так как	4	18
10	не может	3	17
11	как и	11	16
12	том что	4	16
13	и не	13	16
14	точки зрения	2	15
15	только в	3	14
16	а не	5	13
17	не только	13	13
18	что и	3	13
19	мы не	2	12
20	в этом	15	12
21	в самом	6	11
22	в области	4	11
23	в сущности	9	10
24	потому что	2	10
25	ни в	4	9
26	как в	3	9
27	самом деле	3	9
28	вместе с	3	8
29	все это	4	8
30	что он	2	7
31	и его	17	7
32	того чтобы	4	7
33	сказать что	3	7
34	о том	4	7
35	вовсе не	12	6
36	до конца	6	6
37	было бы	4	6
38	если бы	3	6
39	из этих	2	6
40	а в	3	6
41	для того	3	6
42	и даже	4	6
43	в его	13	6
44	и есть	3	5
45	и все	9	5
46	в ее	3	5
47	все же	2	5
48	мы видим	5	5
49	как бы	3	5
50	в целом	2	5
51	и для	5	5
52	то же	7	5
53	с другой	2	5
54	это есть	2	5
55	в то	6	5
56	в которой	2	4
57	в котором	2	4
58	и другие	2	4
59	в виду	7	4
60	прежде всего	16	4
61	и так	2	4
62	одной и	2	4
63	очень часто	2	4
64	в себе	3	4
65	отличие от	3	4
66	одна из	3	4
67	мы увидим	2	4
68	у него	8	4
69	со всеми	5	4
70	и если	2	4
71	у нас	4	4
72	и о	4	4
73	никак не	3	4
74	один из	4	4
75	в этих	6	4
76	к этому	6	4
77	те же	5	4
78	и у	2	4
79	в своих	5	4
80	этого слова	2	4
81	там где	3	4
82	между тем	3	4
83	уже в	2	3
84	в частности	3	3
85	в своем	7	3
86	в состоянии	2	3
87	с в	2	3
88	представление о	2	3
89	и к	3	3
90	мы знаем	2	3
91	это и	2	3
92	но это	3	3
93	но не	2	3
94	все что	2	3
95	смысле слова	4	3
96	до сих	4	3
97	например в	2	3
98	в этой	3	3
99	он не	9	3
100	сих пор	4	3
101	жизни и	4	3
102	в своей	6	3
103	и той	2	3
104	так и	3	3
105	только на	4	3
106	который в	2	3
107	в отличие	3	3
108	не было	5	3
109	и других	6	3
110	и вот	2	3
111	должны быть	2	3
112	тем же	2	3
113	той же	8	3
114	роль в	4	3
115	с этим	2	3
116	нуждается в	3	3
117	слова в	2	3
118	во всем	3	3
119	все то	2	3
120	в конце	3	3
121	и это	2	3
122	но в	8	3
123	в основе	5	2
124	не менее	2	2
125	научного изучения	3	2
126	в книге	2	2
127	и как	3	2
128	в них	9	2
129	имеет в	2	2
130	и во	4	2
131	и от	3	2
132	это в	2	2
133	и здесь	4	2
134	быть в	2	2
135	из всех	4	2
136	и потому	4	2
137	того же	2	2
138	о чем	2	2
139	том же	2	2
140	и следовательно	3	2
141	и очень	2	2
142	далеко не	2	2
143	к жизни	2	2
144	даже в	4	2
145	форму и	2	2
146	в нем	5	2
147	мы видели	3	2
148	отношение к	8	2
149	из них	4	2
150	но и	11	2
151	как мы	10	2
152	как раз	5	2
153	в связи	5	2
154	этом отношении	2	2
155	на самом	3	2
156	на основе	2	2
157	к нему	2	2
158	что для	2	2
159	нас в	2	2
160	образ и	2	2
161	их в	3	2
162	и с	8	2
163	одно из	3	2
164	но как	2	2
165	как он	2	2
166	из этого	2	2
167	одном из	2	2
168	к этой	3	2
169	в одном	7	2
