N	2gram	Bakhtin_Pr_5	SlovoVZh
1	не может	18	16
2	точки зрения	7	14
3	может быть	14	14
4	и его	14	13
5	как бы	31	13
6	таким образом	7	12
7	и в	35	12
8	отношению к	7	11
9	по отношению	6	11
10	и не	27	10
11	так как	4	9
12	прежде всего	12	8
13	сказать что	3	7
14	в нем	16	6
15	все время	4	6
16	при этом	2	6
17	в том	5	6
18	только в	6	6
19	слова и	11	6
20	в ней	2	6
21	в жизни	2	5
22	то что	10	5
23	никогда не	4	5
24	а не	4	5
25	то же	15	5
26	хотя бы	2	5
27	как и	18	5
28	том что	3	5
29	как в	5	5
30	героя и	10	5
31	но в	19	5
32	в виду	3	5
33	и к	12	4
34	ни было	3	4
35	все же	8	4
36	отношение к	6	4
37	так и	8	4
38	с другой	4	4
39	на самом	9	4
40	уже не	3	4
41	что не	4	4
42	не в	10	4
43	в этом	14	4
44	и на	6	4
45	его в	4	4
46	в самом	6	4
47	к нему	13	4
48	за пределы	3	4
49	не только	10	4
50	в котором	3	3
51	в них	4	3
52	отношении к	7	3
53	бы то	3	3
54	не менее	2	3
55	когда он	3	3
56	в своей	4	3
57	быть и	2	3
58	все это	14	3
59	как к	5	3
60	то ни	3	3
61	и по	2	3
62	и вообще	2	3
63	все эти	3	3
64	в такой	4	3
65	по себе	4	3
66	слово в	2	3
67	это как	3	3
68	но и	14	3
69	того что	3	3
70	и наконец	7	3
71	точек зрения	2	3
72	ни в	2	3
73	да и	5	3
74	так же	7	3
75	самом деле	10	3
76	ведь и	4	3
77	и с	12	3
78	о том	2	3
79	нуждается в	3	3
80	в себе	5	3
81	для него	14	3
82	в пределах	11	3
83	еще не	7	3
84	только на	4	3
85	и для	8	3
86	конечно не	2	3
87	из этого	2	3
88	внутренней речи	5	3
89	в творчестве	4	3
90	с ним	7	3
91	но для	2	3
92	между тем	4	3
93	к герою	8	3
94	уже в	3	2
95	с этой	2	2
96	с его	7	2
97	что и	3	2
98	в душе	2	2
99	но все	4	2
100	что в	6	2
101	вместе с	2	2
102	себя и	8	2
103	и так	4	2
104	в этих	2	2
105	на него	5	2
106	в форме	3	2
107	в своем	2	2
108	но конечно	2	2
109	в отношении	9	2
110	другой стороны	3	2
111	это не	3	2
112	и все	15	2
113	бы не	2	2
114	тому же	3	2
115	этих двух	2	2
116	речи в	2	2
117	те же	2	2
118	конечно в	2	2
119	его к	3	2
120	и слово	8	2
121	и что	6	2
122	словом и	3	2
123	можем сказать	2	2
124	но зато	4	2
125	с точки	2	2
126	сливается с	4	2
127	с другими	2	2
128	для других	3	2
129	но это	6	2
130	такой же	3	2
131	и то	5	2
132	мы можем	2	2
133	но не	6	2
134	но что	2	2
135	одно и	3	2
136	со словом	3	2
137	до конца	4	2
138	в то	11	2
139	ни на	2	2
140	к слову	2	2
141	и самое	2	2
142	и та	2	2
143	там где	7	2
144	в чем	4	2
145	ничего не	3	2
146	совпадает с	2	2
147	он не	13	2
148	в его	21	2
