N	2gram	Bakhtin_sl_1	VeschiIm
1	не есть	2	49
2	не может	14	33
3	не только	16	31
4	может быть	14	29
5	и не	16	28
6	и в	41	26
7	и т	28	21
8	т д	5	20
9	а не	15	20
10	в смысле	4	15
11	и следовательно	7	15
12	только в	6	14
13	того что	3	13
14	было бы	3	12
15	но и	16	12
16	сказать что	2	12
17	все же	7	12
18	и то	2	12
19	и ее	3	12
20	таким образом	9	11
21	то же	14	10
22	уже не	2	10
23	в ней	4	10
24	как бы	12	10
25	потому что	2	10
26	в том	3	9
27	в самом	5	9
28	и с	4	9
29	ни было	2	9
30	прежде всего	8	9
31	с ее	4	8
32	в себе	3	8
33	ничего не	4	8
34	смысла и	3	7
35	со своим	5	7
36	совершенно не	2	7
37	также и	3	7
38	в то	14	7
39	его в	3	7
40	так как	3	7
41	том что	2	7
42	себя в	9	7
43	как раз	2	7
44	с другими	5	7
45	в этом	12	7
46	так что	2	6
47	что они	2	6
48	для него	3	6
49	должно быть	2	6
50	в результате	3	6
51	точки зрения	16	6
52	но в	8	6
53	одно и	2	6
54	она не	3	6
55	бы и	3	6
56	если мы	2	6
57	с ним	7	6
58	можно было	2	6
59	быть только	2	6
60	в отношении	6	5
61	вообще не	3	5
62	это не	6	5
63	с этой	3	5
64	не в	7	5
65	свою очередь	2	5
66	еще не	4	5
67	а в	6	5
68	как к	2	5
69	в свою	3	5
70	в ее	2	5
71	у нас	2	5
72	одна из	2	5
73	но не	2	5
74	того же	6	5
75	в сущности	13	5
76	и для	4	5
77	как только	3	4
78	в своем	3	4
79	с другой	5	4
80	оно и	4	4
81	же время	12	4
82	точка зрения	8	4
83	из них	3	4
84	в их	4	4
85	точке зрения	2	4
86	и даже	6	4
87	с этим	3	4
88	о том	3	4
89	и все	4	4
90	как и	4	4
91	во всех	17	4
92	не предполагает	2	4
93	и о	2	4
94	и потому	4	4
95	на почве	4	4
96	оно не	6	4
97	быть и	4	4
98	между ними	2	4
99	с точки	8	4
100	мы не	2	4
101	в данном	3	4
102	есть как	3	3
103	есть понимание	2	3
104	никогда не	3	3
105	можно сказать	2	3
106	к тому	3	3
107	и чисто	3	3
108	более или	3	3
109	на этом	2	3
110	и сам	3	3
111	в нем	30	3
112	отношение к	7	3
113	все это	5	3
114	в чисто	2	3
115	нисколько не	2	3
116	перестает быть	2	3
117	в одном	2	3
118	один из	4	3
119	мы видим	2	3
120	ни о	2	3
121	в своей	7	3
122	так и	11	3
123	или менее	3	3
124	только на	2	3
125	а с	2	3
126	в той	10	3
127	хотя бы	3	3
128	ему не	2	3
129	и вообще	2	3
130	как оно	3	3
131	и самое	2	3
132	в основе	5	3
133	может не	8	2
134	в частности	2	2
135	его и	3	2
136	тому что	2	2
137	на все	2	2
138	кроме того	4	2
139	мы уже	2	2
140	и тем	2	2
141	данном случае	3	2
142	в разных	3	2
143	в слове	7	2
144	первом случае	2	2
145	так же	2	2
146	не из	2	2
147	конечно и	2	2
148	в первом	3	2
149	свое выражение	2	2
150	оно может	2	2
151	то есть	26	2
152	взаимного понимания	2	2
153	поэтому и	3	2
154	от этого	2	2
155	и во	3	2
156	не с	2	2
157	бы ни	3	2
158	и эти	2	2
159	то в	2	2
160	в качестве	3	2
161	но именно	4	2
162	и может	3	2
163	как вещь	2	2
164	но оно	3	2
165	он не	3	2
166	как в	8	2
167	абстрактный момент	2	2
168	еще более	5	2
169	как мы	8	2
170	для того	2	2
171	при всем	3	2
172	и его	14	2
173	той же	2	2
174	во всяком	7	2
175	выражение в	3	2
176	ту же	4	2
177	отношении к	6	2
178	в особенности	8	2
