N	2gram	Tiupa_Vved_1	StatiiOP
1	и в	13	25
2	в этом	21	24
3	в том	10	20
4	что в	3	19
5	может быть	18	19
6	тем что	2	19
7	том что	7	15
8	в его	4	12
9	то что	6	12
10	не только	20	12
11	в этих	3	11
12	прежде всего	7	10
13	таким образом	4	10
14	и не	12	10
15	но и	19	9
16	в своих	2	8
17	о том	5	8
18	это не	6	7
19	что касается	5	7
20	было бы	4	7
21	не может	7	7
22	что такое	18	7
23	в то	4	7
24	место в	2	6
25	из этих	3	6
26	не в	6	6
27	только в	6	6
28	как бы	4	6
29	как в	4	6
30	а в	6	6
31	и на	3	6
32	в области	3	6
33	то же	5	5
34	в них	2	5
35	потому что	5	5
36	с другой	5	5
37	об этом	4	5
38	такого рода	16	5
39	в котором	8	5
40	связано с	3	5
41	а не	15	5
42	того что	6	5
43	другой стороны	2	5
44	он не	3	5
45	так и	8	5
46	мы имеем	5	5
47	но в	6	5
48	этом отношении	4	4
49	состоит в	10	4
50	точка зрения	3	4
51	в жизни	4	4
52	как и	11	4
53	но это	3	4
54	в начале	3	4
55	в качестве	8	4
56	можно сказать	4	4
57	если бы	7	4
58	например в	2	4
59	и к	2	4
60	в ней	4	4
61	а также	8	4
62	и тем	2	4
63	в своей	5	4
64	в целом	3	4
65	отношение к	2	4
66	в речи	2	4
67	в центре	2	4
68	не было	2	4
69	лишь в	2	4
70	и для	3	4
71	и с	2	4
72	действующих лиц	2	4
73	все же	6	4
74	и более	3	3
75	все они	2	3
76	в какой	4	3
77	к этому	2	3
78	же время	3	3
79	для него	3	3
80	до конца	3	3
81	одной стороны	5	3
82	и наконец	2	3
83	не является	3	3
84	своего рода	10	3
85	подчеркнуть что	5	3
86	со стороны	5	3
87	как раз	2	3
88	уже не	5	3
89	что мы	2	3
90	и его	5	3
91	в рассказе	6	3
92	говорить о	2	3
93	к которому	2	3
94	а с	2	2
95	не менее	4	2
96	никогда не	4	2
97	как о	2	2
98	не столько	4	2
99	но они	2	2
100	в одной	2	2
101	но также	2	2
102	в рамках	4	2
103	одного из	3	2
104	или иной	3	2
105	к тому	6	2
106	как мы	3	2
107	не как	2	2
108	есть в	2	2
109	но не	5	2
110	времени и	7	2
111	а то	2	2
112	в свою	4	2
113	еще не	7	2
114	в самом	2	2
115	во всех	2	2
116	при всей	2	2
117	одна из	4	2
118	том чтобы	2	2
119	если в	2	2
120	один из	3	2
121	тем не	3	2
122	внимание на	3	2
123	быть не	4	2
124	начиная с	3	2
125	с одной	5	2
126	о которой	2	2
127	самом деле	3	2
128	во втором	2	2
129	и по	3	2
130	мы не	4	2
131	то он	2	2
132	в результате	3	2
133	то и	2	2
134	могут быть	4	2
135	он и	2	2
136	так сказать	2	2
137	не имеет	2	2
138	то есть	8	2
