N	2gram	Tiupa_Disk_1	Freidism
1	таким образом	3	24
2	и не	11	23
3	не может	9	20
4	точки зрения	3	19
5	прежде всего	11	18
6	в этом	15	15
7	в его	7	15
8	может быть	17	13
9	и его	2	12
10	как и	16	11
11	как бы	5	11
12	то что	5	11
13	и потому	3	10
14	так и	8	10
15	как мы	2	10
16	но в	8	10
17	с его	4	9
18	и в	16	9
19	во всех	5	9
20	по отношению	9	9
21	что он	4	8
22	отношению к	9	8
23	еще не	14	8
24	в своей	5	8
25	не только	28	8
26	то же	7	8
27	только в	7	8
28	и все	2	8
29	во всяком	2	7
30	один из	3	7
31	отношение к	4	7
32	в самом	3	7
33	что же	2	7
34	сказать что	3	7
35	никогда не	2	6
36	и ее	2	6
37	для него	4	6
38	за пределы	2	6
39	того что	3	6
40	так сказать	2	6
41	хотя бы	3	6
42	на протяжении	2	6
43	и к	4	5
44	в свою	3	5
45	можно сказать	5	5
46	не в	7	5
47	в этой	2	5
48	в то	3	5
49	что в	4	5
50	но и	14	5
51	в себя	5	5
52	а в	5	5
53	и на	5	5
54	могут быть	4	5
55	с этим	3	5
56	не менее	2	4
57	но не	11	4
58	в котором	5	4
59	и др	2	4
60	в пределах	2	4
61	к тому	5	4
62	об этом	2	4
63	сводится к	5	4
64	же время	4	4
65	на этом	2	4
66	при этом	13	4
67	и о	4	4
68	в основе	7	4
69	в нем	9	4
70	все же	3	4
71	данном случае	2	4
72	не было	7	4
73	уже не	4	4
74	характер и	2	4
75	в данном	5	4
76	потому что	4	4
77	и есть	2	3
78	в них	4	3
79	во втором	4	3
80	на себя	2	3
81	к себе	2	3
82	в себе	7	3
83	и как	6	3
84	по своему	3	3
85	с ее	2	3
86	себя в	2	3
87	не сможет	2	3
88	когда он	2	3
89	со стороны	7	3
90	приводит к	2	3
91	как в	10	3
92	мысли и	2	3
93	и что	2	3
94	свою очередь	3	3
95	и т.п	12	3
96	и по	2	3
97	мы имеем	2	3
98	зрения на	3	3
99	не является	4	3
100	уже в	2	2
101	зависит от	2	2
102	человека в	2	2
103	между собой	2	2
104	всей его	2	2
105	для себя	4	2
106	в какой	2	2
107	того же	3	2
108	с другой	10	2
109	это не	3	2
110	оно не	2	2
111	к этому	2	2
112	для понимания	2	2
113	же самое	2	2
114	в ее	3	2
115	том что	19	2
116	более того	2	2
117	сказать и	2	2
118	они и	3	2
119	чем он	2	2
120	а не	22	2
121	что с	2	2
122	одной стороны	9	2
123	из них	3	2
124	же касается	2	2
125	к другим	2	2
126	в процессе	5	2
127	о нем	2	2
128	в своем	6	2
129	точка зрения	2	2
130	как не	3	2
131	дело не	2	2
132	в их	5	2
133	в составе	5	2
134	отличается от	2	2
135	отношения к	2	2
136	для своего	2	2
137	а с	5	2
138	с одной	9	2
139	внутренней речи	2	2
140	сознания в	2	2
141	в отличие	5	2
142	не приходится	2	2
143	заметить что	2	2
144	это прежде	3	2
145	должны быть	3	2
146	в науке	2	2
147	и даже	3	2
148	отличие от	5	2
149	роль в	7	2
150	опирается на	2	2
151	здесь в	2	2
152	они не	2	2
153	в своих	3	2
154	что и	3	2
155	к его	2	2
156	но как	2	2
157	в другом	2	2
158	и вообще	2	2
159	рассказывает что	2	2
160	в первом	3	2
161	в момент	2	2
162	в виду	2	2
163	возможно только	2	2
164	это было	2	2
