N	2gram	Losev_Dial_4	Literetu
1	а не	18	20
2	и в	15	19
3	может быть	17	17
4	то же	9	12
5	и не	30	11
6	в том	11	10
7	как и	7	10
8	но и	4	10
9	же время	6	9
10	не может	11	9
11	в этом	11	9
12	в то	6	9
13	не только	8	8
14	и даже	6	8
15	том что	10	7
16	то что	16	7
17	так и	5	7
18	не менее	2	6
19	однако в	2	6
20	в себе	8	6
21	при этом	2	6
22	себя в	2	6
23	и на	5	6
24	для всех	3	5
25	я не	5	5
26	у нас	3	5
27	в качестве	2	5
28	вместе с	2	5
29	того что	13	5
30	что в	7	4
31	в частности	2	4
32	в сфере	5	4
33	прежде всего	11	4
34	не в	8	4
35	отнюдь не	4	4
36	в ней	5	4
37	в его	4	4
38	один из	4	4
39	жизни и	4	4
40	так что	6	4
41	другой стороны	2	4
42	мы не	9	4
43	тем что	2	4
44	точки зрения	14	4
45	едва ли	3	4
46	в области	3	4
47	никогда не	2	3
48	личности в	5	3
49	в себя	5	3
50	что он	7	3
51	в нем	5	3
52	и как	4	3
53	но это	4	3
54	в этой	4	3
55	в сущности	5	3
56	во всех	2	3
57	со стороны	3	3
58	себе и	2	3
59	а именно	6	3
60	в их	3	3
61	то и	2	3
62	и для	5	3
63	так как	14	3
64	тем самым	3	3
65	с точки	9	3
66	и его	7	3
67	и то	3	3
68	и с	4	3
69	в данном	3	3
70	и жизни	2	3
71	ничего не	17	3
72	на этом	3	2
73	не было	2	2
74	к жизни	3	2
75	с тем	4	2
76	себя и	3	2
77	для этого	2	2
78	в них	2	2
79	в противоположность	2	2
80	с этой	2	2
81	по крайней	7	2
82	в виду	9	2
83	в одном	4	2
84	в жизни	5	2
85	вовсе не	6	2
86	что было	2	2
87	крайней мере	7	2
88	в ее	2	2
89	тем не	2	2
90	сила и	2	2
91	все что	2	2
92	и нет	3	2
93	и без	2	2
94	еще не	4	2
95	было бы	9	2
96	одной из	2	2
97	не по	2	2
98	как бы	14	2
99	в свое	2	2
100	себе не	2	2
101	был бы	2	2
102	говоря уже	3	2
103	что и	6	2
104	уже о	4	2
105	все же	2	2
106	с ее	10	2
107	и т	17	2
108	из них	2	2
109	могут быть	3	2
110	в истории	3	2
111	не говоря	3	2
112	я вижу	2	2
113	как раз	4	2
114	и только	2	2
115	не раз	2	2
116	быть не	2	2
117	той же	5	2
118	все равно	2	2
119	к своему	2	2
120	это как	2	2
121	но только	5	2
122	уже не	9	2
123	и что	9	2
124	для того	5	2
125	что не	3	2
126	из которых	3	2
127	и наконец	3	2
128	хотя бы	4	2
129	на свете	4	2
130	в сравнении	3	2
131	сравнении с	2	2
132	то в	5	2
133	в результате	6	2
134	потому что	10	2
135	в основе	10	2
136	есть по	2	2
137	даже и	3	2
138	подобно тому	4	2
139	но как	2	2
140	что я	5	2
141	о том	5	2
142	тому как	4	2
143	а если	3	2
144	как это	2	2
145	с ним	3	2
146	себя как	3	2
147	но в	3	2
