N	2gram	Tiupa_Disk_1	Stilisti
1	и в	16	42
2	как бы	5	27
3	не только	28	27
4	и т.п	12	24
5	прежде всего	11	22
6	и т.д	4	20
7	внутренней речи	2	18
8	хотя бы	3	17
9	но и	14	15
10	то же	7	15
11	и не	11	14
12	может быть	17	12
13	не может	9	12
14	точки зрения	3	11
15	как и	16	11
16	и как	6	10
17	отнюдь не	8	10
18	как мы	2	10
19	в этом	15	10
20	при этом	13	9
21	в то	3	9
22	то что	5	9
23	все же	3	8
24	таким образом	3	8
25	речевого общения	12	8
26	что же	2	8
27	в себе	7	8
28	никогда не	2	7
29	же время	4	7
30	и тем	2	7
31	и на	5	7
32	потому что	4	7
33	с его	4	7
34	а не	22	7
35	и его	2	7
36	только в	7	7
37	или иной	5	6
38	не в	7	6
39	в этой	2	6
40	в свою	3	6
41	на его	4	6
42	точкой зрения	2	6
43	в форме	2	6
44	говорящего и	2	6
45	в нем	9	6
46	во всех	5	6
47	в процессе	5	6
48	так и	8	6
49	слова в	2	5
50	уже в	2	5
51	не является	4	5
52	а в	5	5
53	же самое	2	5
54	того или	2	5
55	в его	7	5
56	и без	2	4
57	в каждом	2	4
58	можно сказать	5	4
59	к тому	5	4
60	свою очередь	3	4
61	было в	2	4
62	общения и	2	4
63	в качестве	34	4
64	в самом	3	4
65	той или	3	4
66	точка зрения	2	4
67	один из	3	4
68	языка и	2	4
69	того что	3	4
70	о том	8	4
71	общения в	2	4
72	но в	8	4
73	и к	4	4
74	себя в	2	4
75	слово не	2	4
76	а с	5	4
77	уже не	4	4
78	то есть	20	4
79	так сказать	2	4
80	перед нами	3	3
81	это не	3	3
82	хотя и	2	3
83	в котором	5	3
84	в целом	4	3
85	из них	3	3
86	лишь в	4	3
87	высказывания с	2	3
88	и даже	3	3
89	сказать что	3	3
90	форма высказывания	2	3
91	в начале	2	3
92	в виду	2	3
93	вследствие этого	3	3
94	и все	2	3
95	в одном	2	3
96	но при	3	3
97	об этом	2	3
98	в ее	3	3
99	том что	19	3
100	в тех	2	3
101	еще не	14	3
102	в данной	3	3
103	что и	3	3
104	отношения к	2	3
105	высказывания и	2	3
106	роль в	7	3
107	связи с	4	3
108	говорящего к	3	2
109	зависит от	2	2
110	в частности	9	2
111	в какой	2	2
112	или даже	2	2
113	человека в	2	2
114	не всегда	2	2
115	как уже	3	2
116	в том	23	2
117	тому же	5	2
118	тот или	2	2
119	общения не	2	2
120	времени и	3	2
121	для него	4	2
122	в пределах	2	2
123	значительной степени	2	2
124	из двух	2	2
125	не с	3	2
126	отношение к	4	2
127	не говоря	2	2
128	целый ряд	2	2
129	не было	7	2
130	высказывания в	6	2
131	в которых	4	2
132	высказывания не	2	2
133	в своих	3	2
134	также и	3	2
135	по своей	11	2
136	мы имеем	2	2
137	к которому	2	2
138	в основе	7	2
139	ни к	6	2
140	первобытного человека	3	2
141	однако в	3	2
142	между собой	2	2
143	с этим	3	2
144	к этому	2	2
145	что он	4	2
146	представляет собой	17	2
147	но не	11	2
148	по своему	3	2
149	т.п но	3	2
150	одной из	4	2
151	и потому	3	2
152	не есть	2	2
153	зрения на	3	2
154	как не	3	2
155	в своей	5	2
156	как в	10	2
157	ли не	3	2
158	жанр и	3	2
159	в значительной	2	2
160	и он	2	2
161	или в	2	2
162	тем что	3	2
163	и вообще	2	2
164	заметить что	2	2
