N	2gram	Vygotskiy__1	Dialekti
1	и не	9	30
2	может быть	14	20
3	и в	23	19
4	не только	16	19
5	по себе	5	18
6	а не	3	16
7	в себе	6	15
8	то что	17	14
9	что она	4	14
10	и даже	2	14
11	в том	24	14
12	как бы	11	14
13	так как	7	14
14	потому что	6	14
15	вовсе не	3	13
16	но и	14	12
17	то же	8	12
18	точки зрения	26	12
19	и все	5	12
20	что это	3	10
21	ни в	4	10
22	как и	14	10
23	и как	5	10
24	так и	5	10
25	том что	21	10
26	сказать что	11	10
27	никогда не	2	9
28	не может	12	9
29	прежде всего	10	8
30	она не	3	8
31	с точки	18	8
32	не в	4	8
33	в этом	17	8
34	в своей	4	8
35	есть не	2	7
36	как это	2	7
37	и к	4	7
38	что в	14	7
39	только тогда	2	7
40	должно быть	2	7
41	время как	4	7
42	и то	3	7
43	я не	3	6
44	что он	7	6
45	что они	3	6
46	в то	7	6
47	но не	4	6
48	того что	15	6
49	не могу	3	6
50	жизни и	2	6
51	тогда когда	3	6
52	сознания и	3	5
53	с другой	10	5
54	же время	2	5
55	в силу	6	5
56	можно сказать	5	5
57	и пр	2	5
58	в самом	7	5
59	и следовательно	3	5
60	и потому	2	5
61	и это	3	5
62	как раз	4	5
63	и что	5	5
64	в смысле	2	5
65	только что	4	5
66	и его	6	5
67	говорить о	2	5
68	только в	6	5
69	о том	6	5
70	и с	9	5
71	уже в	3	4
72	может не	3	4
73	независимо от	6	4
74	в своем	3	4
75	ясно что	2	4
76	в одном	4	4
77	как таковой	2	4
78	в ее	2	4
79	все же	3	4
80	при этом	4	4
81	то время	5	4
82	одно и	2	4
83	и если	3	4
84	за пределы	2	4
85	он не	5	4
86	хотя бы	4	4
87	вопрос об	6	4
88	связи с	3	4
89	от того	6	4
90	все это	6	4
91	другой стороны	9	4
92	таким образом	26	4
93	что оно	3	4
94	и вот	2	4
95	заключается в	8	4
96	самом деле	3	4
97	а в	2	4
98	в одной	3	4
99	одно из	2	4
100	могут быть	3	4
101	в каком	3	4
102	в другом	7	4
103	по своей	5	4
104	без этого	2	4
105	как он	3	4
106	сам по	3	3
107	всех этих	2	3
108	и более	5	3
109	же как	6	3
110	о чем	2	3
111	все время	6	3
112	в этих	2	3
113	и от	3	3
114	вопрос о	7	3
115	об этом	3	3
116	оно есть	2	3
117	как мы	5	3
118	уже не	2	3
119	в этой	7	3
120	что если	2	3
121	было бы	4	3
122	и мы	3	3
123	себе и	2	3
124	даже в	2	3
125	с этим	6	3
126	мы находим	3	3
127	что этот	2	3
128	в данном	2	3
129	от этого	2	3
130	нуждается в	2	3
131	о котором	2	3
132	в один	2	3
133	в чем	4	3
134	ничего не	3	3
135	по линии	2	2
136	связана с	2	2
137	в противоположность	2	2
138	самого начала	8	2
139	в частности	2	2
140	в зависимости	2	2
141	что у	2	2
142	в какой	5	2
143	перед нами	5	2
144	в состоянии	2	2
145	в конце	2	2
146	человека и	3	2
147	именно в	6	2
148	он может	2	2
149	если мы	2	2
150	к тому	4	2
151	с самого	8	2
152	но все	2	2
153	мы видим	4	2
154	более и	2	2
155	зависимости от	2	2
156	об этой	3	2
157	с тем	7	2
158	как известно	3	2
159	что с	2	2
160	до сих	4	2
161	в общем	3	2
162	своей природе	2	2
163	убедиться в	4	2
164	в сущности	6	2
165	несмотря на	2	2
166	в сфере	3	2
167	всяком случае	3	2
168	сих пор	4	2
169	и остается	3	2
170	на все	3	2
171	и я	2	2
172	во всех	3	2
173	на него	2	2
174	ее в	2	2
175	данном случае	2	2
176	мы только	2	2
177	в их	3	2
178	тому что	5	2
179	так же	16	2
180	того как	2	2
181	с одной	8	2
182	как в	4	2
183	мы начинаем	2	2
184	его не	3	2
185	бы и	2	2
186	со всем	2	2
187	в своих	5	2
188	в результате	4	2
189	их в	4	2
190	и при	2	2
191	между тем	9	2
192	тем что	6	2
193	в виде	2	2
194	что мы	5	2
195	мы должны	5	2
196	же самое	3	2
197	еще на	3	2
198	во всяком	3	2
199	что эти	2	2
200	все эти	4	2
201	к сожалению	2	2
202	в которой	3	2
203	в области	3	2
204	которые не	3	2
205	но в	5	2
206	вместе с	9	2
207	на этом	2	2
