N	2gram	Trubetskoy_1	Poddanst
1	не только	10	17
2	и в	26	14
3	и не	8	12
4	в области	9	11
5	в отношении	6	10
6	в этом	15	10
7	то же	4	9
8	в том	11	9
9	в качестве	3	9
10	но в	7	9
11	хотя бы	3	8
12	же время	2	7
13	в то	4	7
14	только в	4	7
15	но и	9	6
16	в смысле	4	6
17	с другой	8	5
18	не в	2	5
19	в которых	4	5
20	и о	3	5
21	может быть	10	5
22	в котором	4	4
23	то что	7	4
24	что в	9	4
25	если бы	3	4
26	в своем	3	4
27	не может	4	4
28	европейской культуры	3	4
29	и к	5	4
30	а в	4	4
31	том что	7	4
32	на пути	2	4
33	мы должны	6	4
34	и если	3	4
35	а также	2	4
36	как бы	12	4
37	и потому	6	4
38	в нем	4	3
39	с тем	18	3
40	в россии	2	3
41	с одной	7	3
42	прежде всего	2	3
43	для того	5	3
44	с точки	6	3
45	и как	3	3
46	между тем	2	3
47	но не	8	3
48	точки зрения	13	3
49	в себе	6	3
50	что мы	2	3
51	тот же	2	3
52	одной стороны	7	3
53	вслед за	2	3
54	потому что	7	3
55	не менее	3	2
56	том числе	5	2
57	так называемые	3	2
58	в мире	5	2
59	не к	2	2
60	именно в	2	2
61	во всех	2	2
62	заключает в	2	2
63	в них	2	2
64	все это	6	2
65	может ли	2	2
66	главным образом	8	2
67	в значительной	3	2
68	а не	5	2
69	того что	3	2
70	как на	8	2
71	если в	3	2
72	в русском	2	2
73	в силу	5	2
74	в виде	4	2
75	по сравнению	2	2
76	не было	2	2
77	в начале	2	2
78	из них	7	2
79	в общем	8	2
80	и это	2	2
81	мысль о	2	2
82	значительной мере	2	2
83	в эту	2	2
84	в его	5	2
85	русский народ	3	2
86	и с	10	2
