N	2gram	Vygotskiy__1	OGranits
1	и в	31	13
2	и его	7	12
3	прежде всего	4	9
4	не может	17	8
5	и не	16	8
6	может быть	22	8
7	и их	2	7
8	точки зрения	15	7
9	в его	6	7
10	таким образом	20	6
11	не только	13	6
12	то что	32	6
13	только в	14	6
14	как бы	5	6
15	в музыке	2	5
16	художественного произведения	17	5
17	все же	5	5
18	с точки	2	5
19	в поэзии	2	5
20	в процессе	5	5
21	то же	5	4
22	не является	5	4
23	но мы	3	4
24	в своей	3	4
25	до тех	2	4
26	все это	8	4
27	в каждом	3	4
28	мы не	12	4
29	мы можем	4	4
30	было бы	6	4
31	в сознании	2	4
32	но в	3	4
33	что в	23	3
34	никогда не	8	3
35	но и	2	3
36	так и	3	3
37	что же	2	3
38	и все	5	3
39	в одном	2	3
40	точку зрения	3	3
41	самом деле	9	3
42	в ее	5	3
43	эстетических категорий	2	3
44	как и	16	3
45	не в	11	3
46	в которой	4	3
47	и то	2	3
48	в себе	4	3
49	в искусстве	4	3
50	с этим	3	3
51	и для	5	3
52	так как	18	3
53	не менее	2	2
54	подойти к	2	2
55	уже в	3	2
56	с этой	4	2
57	и тем	2	2
58	в нем	2	2
59	в целом	5	2
60	а не	13	2
61	художественное произведение	10	2
62	что эта	3	2
63	в произведении	3	2
64	может стать	3	2
65	другой стороны	5	2
66	с другой	5	2
67	от всех	3	2
68	в них	2	2
69	в связи	2	2
70	а в	6	2
71	с одной	5	2
72	в полном	2	2
73	вовсе не	6	2
74	те же	4	2
75	роль в	3	2
76	в книге	2	2
77	есть не	2	2
78	к тому	4	2
79	и к	3	2
80	как в	9	2
81	если бы	6	2
82	в чем	2	2
83	в том	30	2
84	наконец в	2	2
85	так же	12	2
86	мы считаем	2	2
87	том что	16	2
88	в зависимости	5	2
89	мы видим	5	2
90	в своих	4	2
91	произведения но	2	2
92	зависимости от	6	2
93	что они	2	2
94	которое может	2	2
95	в этом	12	2
96	между тем	4	2
97	и следовательно	2	2
98	могут быть	11	2
99	при этом	19	2
100	нуждается в	3	2
101	смысле слова	3	2
102	во всем	3	2
103	тот же	2	2
104	одной стороны	6	2
105	и может	2	2
106	несмотря на	5	2
107	в области	11	2
108	в самом	11	2
109	вслед за	6	2
110	имеет место	2	2
111	там где	4	2
112	бы в	2	2
113	при восприятии	2	2
