N	2gram	Kanaev_Sov_1	Russkaja
1	не может	17	22
2	и не	6	19
3	в том	4	17
4	в этом	7	17
5	и в	7	14
6	с другом	2	14
7	друг с	2	14
8	таким образом	11	11
9	то же	3	11
10	точки зрения	12	11
11	не только	4	9
12	в себе	3	9
13	с точки	5	9
14	может быть	12	9
15	во всяком	2	9
16	прежде всего	5	8
17	отнюдь не	3	7
18	самом деле	2	7
19	мы должны	4	7
20	и к	3	6
21	всяком случае	2	6
22	все это	3	6
23	между собой	3	5
24	он должен	2	5
25	вопрос о	4	5
26	или иной	2	5
27	при этом	3	5
28	было бы	3	5
29	в нем	3	5
30	из которых	2	5
31	а в	4	5
32	не могут	2	4
33	что в	2	4
34	то ни	2	4
35	как и	6	4
36	как бы	4	4
37	все же	3	4
38	жизни и	4	4
39	вместе с	4	4
40	что же	5	4
41	приводит к	2	4
42	точку зрения	4	4
43	не в	3	4
44	в этой	3	4
45	в его	2	4
46	которой он	2	4
47	и т.д	3	4
48	так как	4	4
49	может не	3	3
50	что это	2	3
51	из этих	2	3
52	в конце	3	3
53	что все	2	3
54	еще не	3	3
55	в самом	2	3
56	ни одна	2	3
57	знаем что	2	3
58	и потому	3	3
59	но мы	3	3
60	из них	4	3
61	и по	2	3
62	и во	2	3
63	в виде	2	3
64	говорить о	2	3
65	она может	2	3
66	одна из	3	3
67	и есть	2	2
68	у него	2	2
69	не подлежит	3	2
70	с этим	2	2
71	ясно что	3	2
72	уже не	2	2
73	не можем	7	2
74	отличается от	3	2
75	настоящее время	2	2
76	совершенно не	2	2
77	к чему	2	2
78	в настоящее	2	2
79	если же	2	2
80	на этой	3	2
81	для нас	3	2
82	в некоторых	2	2
83	быть и	2	2
84	все эти	5	2
85	и что	2	2
86	а не	3	2
87	что такое	2	2
88	и наконец	5	2
89	и даже	2	2
90	в таком	2	2
91	в результате	6	2
92	их в	4	2
93	мы можем	6	2
94	в области	3	2
95	но в	3	2
