N	2gram	Medvedev_F_3	Otkroven
1	и в	27	19
2	но и	10	13
3	и не	30	13
4	в этом	18	12
5	а не	17	11
6	не в	12	11
7	человека в	2	11
8	может быть	25	11
9	не только	9	11
10	человека и	2	10
11	и все	8	10
12	в нем	15	10
13	никогда не	5	9
14	в самой	2	9
15	потому что	7	9
16	прежде всего	4	9
17	он был	4	8
18	ни с	2	7
19	лишь в	9	7
20	до конца	4	7
21	от него	2	7
22	в его	7	7
23	все это	7	6
24	как и	14	6
25	то что	8	5
26	в том	7	5
27	в этой	2	5
28	в самом	11	5
29	в россии	2	5
30	с его	2	4
31	на земле	2	4
32	т е	32	4
33	того чтобы	5	4
34	и его	19	4
35	все эти	6	4
36	не может	24	4
37	что в	8	4
38	не могут	10	3
39	в этих	3	3
40	это не	3	3
41	что он	6	3
42	того что	3	3
43	для того	4	3
44	хотя бы	6	3
45	в своих	6	3
46	еще не	6	3
47	и от	11	3
48	могут быть	4	3
49	и ее	6	3
50	в себе	3	3
51	было бы	6	3
52	о том	4	3
53	как бы	8	3
54	уже в	4	2
55	все же	6	2
56	что и	2	2
57	не есть	4	2
58	ее в	3	2
59	и для	6	2
60	с тем	7	2
61	в единстве	5	2
62	в истории	5	2
63	так и	21	2
64	жизни в	3	2
65	в своем	2	2
66	что же	5	2
67	к этому	2	2
68	по себе	4	2
69	и очень	2	2
70	в ее	4	2
71	том что	4	2
72	ничто не	3	2
73	и на	3	2
74	что они	5	2
75	сказать что	3	2
76	и с	3	2
77	учение о	2	2
78	совсем не	5	2
79	тем что	5	2
80	его в	7	2
81	в своей	6	2
82	так как	9	2
83	заложенных в	3	2
84	ничего не	2	2
85	и из	2	2
86	но в	6	2
87	и потому	5	2
