N	2gram	Propp_Isto_6	Otkroven
1	у него	7	22
2	и в	26	19
3	но и	9	13
4	и не	10	13
5	в этом	12	12
6	а не	2	11
7	не в	3	11
8	человека в	2	11
9	может быть	11	11
10	не только	10	11
11	вопрос о	3	10
12	в нем	8	10
13	никогда не	13	9
14	не было	3	9
15	потому что	13	9
16	прежде всего	4	9
17	и он	4	8
18	он был	2	8
19	но он	2	7
20	от него	3	7
21	он не	2	7
22	в его	5	7
23	как и	5	6
24	него в	2	5
25	то что	6	5
26	а в	3	5
27	в том	12	5
28	в этой	2	5
29	с его	4	4
30	на земле	4	4
31	т е	22	4
32	что не	2	4
33	и его	7	4
34	все эти	8	4
35	не может	6	4
36	что в	12	4
37	него и	3	4
38	в этих	2	3
39	это не	4	3
40	и вот	3	3
41	что он	9	3
42	того что	2	3
43	в своих	3	3
44	еще не	9	3
45	и от	3	3
46	могут быть	3	3
47	все что	4	3
48	и ее	3	3
49	в себе	3	3
50	было бы	2	3
51	когда он	3	3
52	в русской	6	3
53	никто не	2	3
54	о том	7	3
55	с ним	8	3
56	как бы	4	3
57	все же	8	2
58	что и	4	2
59	не есть	2	2
60	ее в	6	2
61	с тем	4	2
62	и там	6	2
63	так и	5	2
64	в своем	2	2
65	что у	2	2
66	что же	2	2
67	к этому	3	2
68	не имеет	2	2
69	его не	2	2
70	в других	4	2
71	том что	10	2
72	так что	3	2
73	и на	12	2
74	и то	3	2
75	что они	2	2
76	сказать что	3	2
77	и с	6	2
78	тем что	5	2
79	на западе	2	2
80	его в	5	2
81	в своей	3	2
82	так как	18	2
83	и этим	5	2
84	ничего не	2	2
85	но в	7	2
86	же можно	3	2
