N	2gram	Voloshinov_1	EvropaiC
1	таким образом	6	32
2	в том	2	31
3	и в	13	24
4	том что	2	20
5	все эти	2	19
6	не может	8	18
7	то что	6	17
8	может быть	8	15
9	все же	5	15
10	точки зрения	7	13
11	самом деле	3	12
12	в этом	2	12
13	все это	4	11
14	между тем	2	11
15	с этим	3	11
16	отношению к	3	10
17	как бы	6	10
18	по отношению	3	10
19	так и	3	10
20	при этом	2	9
21	как и	3	9
22	что в	3	9
23	не в	3	8
24	в самом	2	8
25	так же	2	8
26	если бы	2	8
27	и все	3	8
28	с точки	5	8
29	не менее	2	7
30	к тому	2	7
31	но и	3	7
32	и не	8	7
33	с другой	2	6
34	в общем	2	6
35	несмотря на	2	6
36	так как	3	6
37	в сознании	4	6
38	и при	2	6
39	мы можем	4	6
40	только в	6	6
41	в целом	2	5
42	и их	7	5
43	другой стороны	2	5
44	между собою	2	5
45	но в	4	5
46	и к	2	5
47	в его	7	5
48	не только	6	5
49	и для	3	5
50	лишь в	4	5
51	в себе	3	5
52	и истории	2	5
53	в которой	3	5
54	никогда не	3	4
55	в их	3	4
56	и то	3	4
57	ни один	3	4
58	мы должны	6	4
59	мы уже	2	4
60	что эта	2	4
61	то же	4	4
62	в течение	2	4
63	хотя бы	5	4
64	и т.д	5	4
65	в области	2	4
66	с одной	2	3
67	в тех	2	3
68	в нем	2	3
69	данном случае	2	3
70	и наконец	5	3
71	а в	2	3
72	бы в	2	3
73	прежде всего	9	3
74	во всем	2	3
75	тот же	2	3
76	и может	2	3
77	в данном	2	3
78	в связи	2	3
79	ничего общего	3	3
80	точку зрения	3	2
81	но так	2	2
82	с этой	2	2
83	для него	2	2
84	что они	2	2
85	одной стороны	2	2
86	но для	3	2
87	в ней	2	2
88	и уже	3	2
89	имеет место	2	2
90	те же	2	2
91	с ними	2	2
92	говорить о	3	2
93	до тех	4	2
94	в них	2	2
95	вовсе не	2	2
96	конечно в	2	2
97	было бы	4	2
98	общего с	3	2
99	в процессе	5	2
100	что же	3	2
101	и ее	2	2
102	в другом	2	2
