N	2gram	Bakhtin_Pr_3	VerxiiNi
1	и в	34	26
2	таким образом	5	22
3	с тем	5	18
4	вместе с	4	15
5	в этом	16	15
6	точки зрения	8	13
7	как бы	27	12
8	в том	3	11
9	может быть	19	10
10	не только	10	10
11	и с	15	10
12	что в	7	9
13	но и	12	9
14	так как	4	9
15	с другой	4	8
16	но не	4	8
17	в общем	4	8
18	и не	29	8
19	и у	5	8
20	как на	2	8
21	том что	3	7
22	но все	5	7
23	из них	5	7
24	к нему	14	7
25	то что	11	7
26	а с	3	7
27	потому что	12	7
28	но в	16	7
29	в конце	5	6
30	к тому	5	6
31	и потому	2	6
32	того же	2	6
33	всяком случае	5	6
34	что и	5	6
35	все же	7	6
36	так и	6	6
37	все это	16	6
38	в отношении	9	6
39	все эти	4	6
40	с точки	4	6
41	во всяком	5	6
42	в себе	6	6
43	мы должны	5	6
44	о том	2	6
45	и к	12	5
46	крайней мере	3	5
47	тому же	2	5
48	отношение к	6	5
49	друг с	2	5
50	в его	22	5
51	никогда не	8	5
52	с другом	2	5
53	так же	8	5
54	лишь в	5	5
55	а не	9	5
56	и для	8	5
57	в мире	4	5
58	по крайней	3	5
59	и от	5	4
60	что все	4	4
61	что он	23	4
62	в нем	19	4
63	в самом	8	4
64	в котором	3	4
65	не может	19	4
66	и только	2	4
67	а в	5	4
68	то же	14	4
69	что оно	2	4
70	и что	5	4
71	с другими	4	4
72	в которых	2	4
73	во время	2	4
74	в виде	4	4
75	он не	15	4
76	в то	12	4
77	только в	6	4
78	далеко не	3	4
79	не менее	3	3
80	за собой	3	3
81	что это	5	3
82	если бы	4	3
83	хотя бы	5	3
84	уже с	2	3
85	для него	13	3
86	с самого	8	3
87	так что	5	3
88	и как	3	3
89	в своем	2	3
90	и если	2	3
91	тем не	2	3
92	к концу	3	3
93	отношению к	6	3
94	когда он	2	3
95	при этом	4	3
96	но с	2	3
97	уже не	2	3
98	того что	5	3
99	и даже	7	3
100	в которой	2	3
101	с этой	2	3
102	а так	2	3
103	конце концов	3	3
104	на нее	2	3
105	в одном	5	3
106	признать что	2	2
107	уже в	3	2
108	самого начала	8	2
109	с его	6	2
110	ни было	4	2
111	он в	4	2
112	в них	2	2
113	не как	3	2
114	и мир	2	2
115	прежде всего	15	2
116	надо было	2	2
117	или иной	2	2
118	то ни	4	2
119	мы видели	3	2
120	в начале	4	2
121	должна была	2	2
122	по своему	3	2
123	же время	12	2
124	ли это	2	2
125	тот же	2	2
126	еще не	4	2
127	со всеми	2	2
128	конечно не	2	2
129	той или	2	2
130	иной характер	2	2
131	один из	2	2
132	не с	2	2
133	бы то	4	2
134	благодаря этому	2	2
135	жизни и	3	2
136	во всех	2	2
137	быть и	2	2
138	только что	3	2
139	отличается от	2	2
140	для этого	3	2
141	особенно в	2	2
142	не было	2	2
143	если не	3	2
144	те же	2	2
145	быть даже	3	2
146	наконец в	3	2
147	друг на	2	2
148	и на	6	2
149	связан с	2	2
150	сказать что	2	2
151	не в	9	2
152	и наконец	5	2
153	на друга	2	2
154	и все	19	2
155	так чтобы	3	2
156	и это	4	2
157	которые в	2	2
158	этими двумя	2	2
159	к которому	2	2
160	между тем	3	2
161	в виду	3	2
