N	2gram	Vinokur_St_3	VeschiIm
1	т е	8	42
2	не может	7	33
3	не только	12	31
4	может быть	19	29
5	и не	10	28
6	и в	25	26
7	то что	12	24
8	и т	8	21
9	т д	2	20
10	а не	5	20
11	не просто	2	18
12	что я	3	16
13	в смысле	4	15
14	только в	6	14
15	и что	3	13
16	того что	5	13
17	что это	16	12
18	было бы	7	12
19	но и	9	12
20	сказать что	4	12
21	все же	4	12
22	и ее	2	12
23	таким образом	10	11
24	то же	5	10
25	уже не	3	10
26	в ней	4	10
27	как бы	6	10
28	потому что	5	10
29	что мы	3	10
30	что такое	7	10
31	в том	20	9
32	в самом	2	9
33	и с	4	9
34	прежде всего	10	9
35	что не	2	9
36	себя и	2	8
37	на то	5	8
38	но это	4	8
39	с ее	2	8
40	и это	5	8
41	ничего не	4	8
42	говорить о	3	7
43	в то	7	7
44	так как	3	7
45	том что	15	7
46	как раз	3	7
47	и пр	13	7
48	в этом	24	7
49	так что	11	6
50	это есть	4	6
51	что они	2	6
52	что в	19	6
53	для него	3	6
54	со стороны	3	6
55	отличается от	4	6
56	и только	2	6
57	в результате	2	6
58	точки зрения	7	6
59	но в	5	6
60	по крайней	4	6
61	крайней мере	4	6
62	относится к	4	6
63	не менее	2	5
64	в отношении	2	5
65	это не	7	5
66	с этой	3	5
67	тем не	2	5
68	не в	6	5
69	еще не	2	5
70	для этого	2	5
71	а в	6	5
72	что для	3	5
73	ни на	2	5
74	с тем	4	5
75	если бы	4	5
76	в свою	2	5
77	у нас	4	5
78	одна из	2	5
79	но не	2	5
80	того же	2	5
81	в сущности	2	5
82	и для	4	5
83	в чем	4	5
84	с другой	5	4
85	независимо от	5	4
86	же время	3	4
87	между собою	2	4
88	точка зрения	4	4
89	в их	3	4
90	то и	2	4
91	быть не	2	4
92	от того	2	4
93	этой вещи	3	4
94	с этим	7	4
95	о том	8	4
96	и более	3	4
97	как и	4	4
98	так чтобы	2	4
99	во всех	2	4
100	на себе	2	4
101	на почве	5	4
102	нет и	2	4
103	должен быть	2	4
104	как я	2	4
105	с точки	4	4
106	мы не	2	4
107	тем что	19	4
108	никогда не	2	3
109	что именно	2	3
110	можно сказать	4	3
111	к тому	2	3
112	несмотря на	3	3
113	без всякого	2	3
114	на этом	3	3
115	как о	2	3
116	отношение к	4	3
117	все это	8	3
118	мы находим	2	3
119	что нужно	2	3
120	но как	2	3
121	и ни	2	3
122	в чисто	2	3
123	мы имеем	5	3
124	тогда когда	2	3
125	на это	2	3
126	в жизни	4	3
127	один из	2	3
128	не буду	2	3
129	что он	19	3
130	мы видим	4	3
131	если я	2	3
132	между прочим	3	3
133	к ней	4	3
134	этот тип	2	3
135	как можно	2	3
136	в своей	4	3
137	вместе с	2	3
138	так и	5	3
139	и тогда	2	3
140	а с	2	3
141	самом деле	2	3
142	тем более	3	3
143	на вопрос	3	2
144	то она	2	2
145	тому что	3	2
146	была бы	4	2
147	а потому	2	2
148	ни в	5	2
149	но все	2	2
150	кроме того	3	2
151	и если	3	2
152	эти вещи	3	2
153	в виду	2	2
154	и тем	4	2
155	а а	6	2
156	заключается в	2	2
157	во втором	2	2
158	не мог	2	2
159	в своих	8	2
160	то есть	2	2
161	но они	2	2
162	о которой	2	2
163	и во	2	2
164	о которых	3	2
165	то в	4	2
166	в качестве	4	2
167	и может	2	2
168	это выражение	2	2
169	я имею	3	2
170	об этом	5	2
171	он не	5	2
172	что из	2	2
173	как в	6	2
174	как мы	2	2
175	в в	3	2
176	для того	2	2
177	и его	3	2
178	той же	2	2
179	из его	7	2
180	во всяком	4	2
181	в особенности	4	2
182	не потому	2	2
183	это было	8	2
