N	2gram	Potebnia_M_1	Mirosoze
1	может быть	27	30
2	не только	21	29
3	и в	39	28
4	не может	22	28
5	человеческого духа	6	26
6	но и	20	25
7	а не	21	25
8	он не	3	24
9	человеческой природы	3	20
10	в этом	15	20
11	не было	4	18
12	не в	15	16
13	потому что	52	16
14	в ней	7	15
15	в своей	3	15
16	и есть	2	14
17	никогда не	4	14
18	в нем	20	13
19	и это	3	12
20	для него	4	11
21	в самом	3	11
22	и не	18	11
23	что в	22	10
24	в своем	3	10
25	свободы и	3	10
26	в мире	3	10
27	прежде всего	4	10
28	и все	3	10
29	было бы	12	10
30	и потому	5	10
31	но он	2	9
32	с тем	5	9
33	в его	5	9
34	не есть	10	9
35	и его	5	9
36	но не	8	8
37	в человеке	10	8
38	в самой	3	7
39	того что	8	7
40	но в	9	7
41	нет ничего	2	7
42	в себе	13	7
43	должна быть	3	6
44	в том	26	6
45	в этой	3	6
46	все в	2	6
47	вместе с	8	6
48	только в	25	6
49	в которой	2	6
50	не могут	4	5
51	это не	7	5
52	от нее	6	5
53	у нас	2	5
54	как и	9	5
55	то что	10	5
56	есть свобода	2	5
57	в этих	7	4
58	с этой	2	4
59	и вместе	2	4
60	есть уже	3	4
61	мог бы	2	4
62	человека не	2	4
63	в их	2	4
64	и по	6	4
65	а в	5	4
66	увидим что	4	4
67	духа и	7	4
68	точки зрения	8	4
69	в них	3	4
70	от него	4	4
71	она не	3	4
72	за пределы	2	4
73	к ней	2	4
74	что и	6	4
75	есть не	2	4
76	уже не	2	4
77	тем что	9	4
78	к тому	4	3
79	для нас	9	3
80	из глубины	2	3
81	для человека	2	3
82	не мог	3	3
83	но если	2	3
84	и их	3	3
85	заключает в	2	3
86	не имеет	5	3
87	не так	3	3
88	должно быть	7	3
89	с этим	7	3
90	что свобода	2	3
91	так как	21	3
92	то есть	42	3
93	и с	3	3
94	природы в	2	3
95	для них	2	3
96	одно из	3	3
97	людьми и	2	3
98	он должен	2	3
99	в жизни	3	3
100	том что	16	3
101	мы увидим	3	3
102	что человек	5	3
103	ко всем	2	3
104	духовной жизни	2	3
105	в движении	2	3
106	хотя бы	2	3
107	прежде чем	3	2
108	что дух	2	2
109	и от	3	2
110	вопрос о	4	2
111	необходимости и	2	2
112	в свою	4	2
113	для того	3	2
114	одним из	2	2
115	на этот	2	2
116	в виду	2	2
117	его с	2	2
118	жизни и	2	2
119	могут быть	9	2
120	в пути	2	2
121	по отношению	13	2
122	быть не	4	2
123	необходимости в	2	2
124	и что	10	2
125	есть только	11	2
126	сказать что	3	2
127	в более	4	2
128	даже и	2	2
129	к новому	2	2
130	в начале	2	2
131	самого себя	4	2
132	в истории	7	2
133	как бы	6	2
134	о том	2	2
135	том смысле	4	2
136	когда мы	2	2
137	бы в	4	2
138	с ним	3	2
139	не существует	2	2
140	а как	2	2
141	к этой	3	2
142	если бы	14	2
143	мысли о	4	2
144	и во	3	2
145	отношению к	13	2
146	мы видим	4	2
147	в то	4	2
148	чем в	2	2
149	все что	2	2
150	как будто	2	2
151	никто не	3	2
152	душевной жизни	9	2
153	относится к	3	2
154	все же	6	2
155	как в	10	2
156	мысли и	9	2
157	она может	3	2
158	бы не	6	2
159	чтобы не	2	2
160	того чтобы	2	2
161	и как	6	2
162	и для	5	2
163	в каком	6	2
164	не все	2	2
165	смысле в	4	2
