N	2gram	Medvedev_F_1	KulturaY
1	т е	34	38
2	и т	12	33
3	в том	6	30
4	и в	24	24
5	т п	4	18
6	что в	4	17
7	и пр	17	15
8	было бы	6	15
9	т д	8	14
10	в этом	15	14
11	точки зрения	16	14
12	может быть	14	13
13	все же	3	12
14	таким образом	13	12
15	в его	23	12
16	и не	20	12
17	не в	8	11
18	только в	2	11
19	вовсе не	10	10
20	в самом	5	10
21	у нас	5	10
22	не только	7	10
23	хотя бы	5	10
24	если бы	4	9
25	то что	8	9
26	прежде всего	22	9
27	отношению к	4	9
28	самом деле	6	9
29	того что	5	9
30	с точки	13	9
31	а только	2	8
32	том чтобы	2	8
33	по отношению	4	8
34	то же	10	8
35	уже не	2	8
36	а не	10	8
37	как раз	2	8
38	не менее	11	7
39	в них	3	7
40	с другой	5	7
41	связи с	3	7
42	как бы	6	7
43	вместе с	2	7
44	не может	16	7
45	с помощью	3	7
46	это не	2	7
47	бы в	3	7
48	в области	3	7
49	так и	18	7
50	однако не	2	6
51	именно в	8	6
52	что он	3	6
53	зависимости от	3	6
54	при этом	5	6
55	что такое	2	6
56	в ней	10	6
57	но и	7	6
58	все это	9	6
59	все эти	6	6
60	в которой	4	6
61	с тем	2	5
62	в зависимости	2	5
63	к тому	3	5
64	но не	3	5
65	еще не	6	5
66	всяком случае	4	5
67	и что	2	5
68	целый ряд	3	5
69	а в	6	5
70	и его	10	5
71	в результате	2	5
72	во всяком	4	5
73	между тем	2	5
74	так сказать	3	5
75	с ним	2	5
76	и с	8	5
77	учение о	4	4
78	с его	4	4
79	в частности	4	4
80	и потому	9	4
81	в нем	14	4
82	указать на	2	4
83	же в	3	4
84	по существу	2	4
85	в пределах	6	4
86	е как	2	4
87	на язык	3	4
88	это и	3	4
89	один из	3	4
90	должен быть	5	4
91	что и	2	4
92	не есть	2	4
93	в целом	6	4
94	сих пор	6	4
95	со стороны	5	4
96	до сих	6	4
97	как в	8	4
98	не на	2	4
99	с этим	2	4
100	в самой	2	4
101	тем самым	3	4
102	в науке	2	4
103	так же	4	4
104	и на	8	4
105	и является	2	4
106	того или	2	4
107	под влиянием	2	3
108	нисколько не	2	3
109	как на	4	3
110	смысле этого	3	3
111	для этого	4	3
112	ясно что	3	3
113	была бы	2	3
114	или иного	3	3
115	сводится к	3	3
116	в этой	6	3
117	в противовес	2	3
118	свою очередь	6	3
119	в свою	8	3
120	мы увидим	4	3
121	и может	4	3
122	в общем	3	3
123	и если	2	3
124	этого слова	3	3
125	в истории	4	3
126	оно не	4	3
127	не с	2	3
128	на его	2	3
129	когда он	3	3
130	или менее	6	3
131	в своем	11	3
132	в связи	4	3
133	в особенности	3	3
134	не было	3	3
135	только и	4	3
136	в их	11	3
137	более или	6	3
138	в системе	2	3
139	есть лишь	2	3
140	и даже	3	3
141	должно быть	11	3
142	социального общения	6	3
143	должна быть	7	3
144	и здесь	6	3
145	даже и	2	3
146	они не	3	3
147	в себе	3	3
148	науки о	2	3
149	здесь не	3	3
150	как это	6	3
151	в одном	2	3
152	к которому	2	3
153	и более	2	2
154	никогда не	4	2
155	иначе как	2	2
156	с этой	4	2
157	и все	6	2
158	в каждом	3	2
159	на самом	7	2
160	значение и	3	2
161	что было	2	2
162	вопрос о	2	2
163	по себе	5	2
164	идет о	2	2
165	если мы	2	2
166	в то	9	2
167	как о	4	2
168	история литературы	9	2
169	как и	11	2
170	и как	3	2
171	но все	2	2
172	лишь как	5	2
173	в большинстве	3	2
174	же время	8	2
175	социальной жизни	11	2
176	общения и	2	2
177	конечно не	4	2
178	в своей	11	2
179	роли в	3	2
180	как таковой	6	2
181	ни в	2	2
182	так например	3	2
183	он не	3	2
184	прав когда	2	2
185	целом и	4	2
186	лишь в	8	2
187	должны быть	5	2
188	литературе и	2	2
189	между ними	3	2
190	ни одного	2	2
191	или иначе	2	2
192	от этого	2	2
193	как с	2	2
194	так называемым	2	2
195	но ведь	2	2
196	до конца	7	2
197	и должно	2	2
198	ничего не	2	2
199	но в	5	2
