N	2gram	Vygotskiy__1	Psycholo
1	то что	17	32
2	и в	23	31
3	в том	24	30
4	что в	14	23
5	может быть	14	22
6	таким образом	26	20
7	ясно что	2	19
8	при этом	4	19
9	так как	7	18
10	не может	12	17
11	как и	14	16
12	том что	21	16
13	и не	9	16
14	точки зрения	26	15
15	только в	6	14
16	а не	3	13
17	не только	16	13
18	так же	16	12
19	если мы	2	12
20	мы не	7	12
21	в этом	17	12
22	в самом	7	11
23	с таким	3	11
24	могут быть	3	11
25	не в	4	11
26	в области	3	11
27	на то	5	10
28	в сущности	6	10
29	того что	15	10
30	потому что	6	10
31	по себе	5	9
32	ни в	4	9
33	как в	4	9
34	самом деле	3	9
35	никогда не	2	8
36	вместе с	9	8
37	все это	6	8
38	показать что	2	8
39	и что	5	8
40	во всяком	3	8
41	что мы	5	8
42	что он	7	7
43	том чтобы	3	7
44	только тогда	2	7
45	на основании	5	7
46	и его	6	7
47	заключается в	8	7
48	того чтобы	17	7
49	сказать что	11	7
50	о том	6	7
51	что это	3	6
52	вовсе не	3	6
53	зависимости от	2	6
54	одной стороны	9	6
55	было бы	4	6
56	если бы	5	6
57	из этих	3	6
58	вслед за	2	6
59	всяком случае	3	6
60	целый ряд	4	6
61	а в	2	6
62	что она	4	6
63	для того	15	6
64	и даже	2	6
65	в психологии	10	6
66	в его	14	6
67	и все	5	5
68	тогда когда	3	5
69	не является	9	5
70	в ее	2	5
71	показывает что	3	5
72	все же	3	5
73	мы видим	4	5
74	с одной	8	5
75	то время	5	5
76	она не	3	5
77	говорит что	4	5
78	несмотря на	2	5
79	в какой	5	5
80	как бы	11	5
81	был бы	2	5
82	в зависимости	2	5
83	в целом	20	5
84	в процессе	8	5
85	другой стороны	9	5
86	то же	8	5
87	с другой	10	5
88	время как	4	5
89	иначе говоря	2	5
90	в то	7	5
91	к тому	4	4
92	в которой	3	4
93	в котором	4	4
94	все время	6	4
95	прежде всего	10	4
96	тому что	5	4
97	столь же	6	4
98	одной и	2	4
99	в себе	6	4
100	указывает на	2	4
101	по существу	4	4
102	же как	6	4
103	со всеми	2	4
104	и если	3	4
105	один из	2	4
106	в этих	2	4
107	к этому	4	4
108	для всех	4	4
109	в своих	5	4
110	с этой	6	4
111	в результате	4	4
112	мы можем	6	4
113	этого слова	4	4
114	там где	2	4
115	между тем	9	4
116	как это	2	4
117	под влиянием	2	3
118	уже в	3	3
119	как на	4	3
120	каждого из	2	3
121	нашего исследования	8	3
122	с тем	7	3
123	в частности	2	3
124	думается что	5	3
125	в своем	3	3
126	точку зрения	2	3
127	что у	2	3
128	в состоянии	2	3
129	сущности говоря	2	3
130	что все	4	3
131	представление о	2	3
132	представить себе	5	3
133	вопрос о	7	3
134	в собственном	5	3
135	и к	4	3
136	в силу	6	3
137	чтобы показать	2	3
138	но не	4	3
139	смысле слова	3	3
140	до сих	4	3
141	же точно	9	3
142	из которых	3	3
143	в этой	7	3
144	хотя и	2	3
145	в слове	2	3
146	он не	5	3
147	с психологической	2	3
148	речь идет	2	3
149	сих пор	4	3
150	от всех	3	3
151	жизни и	2	3
152	в своей	4	3
153	и той	2	3
154	собственном смысле	5	3
155	так и	5	3
156	который в	3	3
157	мышления и	40	3
158	что оно	3	3
159	и других	3	3
160	от того	6	3
161	и вот	2	3
162	какой мере	2	3
163	той же	2	3
164	почти всегда	2	3
165	исследования и	6	3
166	в которых	3	3
167	в одной	3	3
168	с этим	6	3
169	нуждается в	2	3
170	во всем	3	3
171	что самое	2	3
172	в конце	2	3
173	что эти	2	3
174	и это	3	3
175	что эта	2	3
176	на примере	2	3
177	мысли в	5	3
178	но в	5	3
179	всеми остальными	2	2
180	в основе	8	2
181	в известном	2	2
182	на вопрос	2	2
183	такой же	3	2
184	этих двух	3	2
185	по самой	2	2
186	в изучении	2	2
187	независимо от	6	2
188	в одинаковой	2	2
189	она должна	4	2
190	главным образом	2	2
191	и как	5	2
192	в них	2	2
193	целом ряде	2	2
194	и от	3	2
195	человека и	3	2
196	в основу	2	2
197	в такой	3	2
198	настоящей работы	3	2
199	точно и	2	2
200	есть не	2	2
201	смысле этого	3	2
202	обратиться к	3	2
203	оно есть	2	2
204	бы что	2	2
205	уже не	2	2
206	из всех	2	2
207	и потому	2	2
208	фактов и	4	2
209	представляет собой	11	2
210	что они	3	2
211	исследования мы	2	2
212	в качестве	9	2
213	что с	2	2
214	ту или	2	2
215	стоит только	4	2
216	о чем	2	2
217	к решению	2	2
218	этот метод	2	2
219	том же	2	2
220	и следовательно	3	2
221	на эти	3	2
222	даже в	2	2
223	речь и	2	2
224	наконец в	2	2
225	и тем	6	2
226	мы видели	2	2
227	как говорит	2	2
228	когда он	2	2
229	но и	14	2
230	мысли и	6	2
231	приводит к	4	2
232	как мы	5	2
233	только что	4	2
234	как раз	4	2
235	то и	3	2
236	действия и	2	2
237	и таким	2	2
238	нигде не	2	2
239	этом отношении	4	2
240	же самое	3	2
241	идет о	2	2
242	тем самым	5	2
243	психологической природы	4	2
244	существу дела	2	2
245	с точки	18	2
246	его не	3	2
247	что для	5	2
248	в чем	4	2
249	ничего не	3	2
250	их в	4	2
251	и с	9	2
252	одно из	2	2
253	понятий и	4	2
254	в каком	3	2
255	мысли но	2	2
256	приходит к	3	2
257	бы и	2	2
258	и то	3	2
259	психологической теории	2	2
260	бы в	5	2
261	психологии в	2	2
262	как он	3	2
263	благодаря тому	2	2
264	из этого	5	2
265	тех же	2	2
266	одном из	2	2
267	самой психологической	2	2
268	в одном	4	2
269	и поэтому	2	2
