N	2gram	Kanaev_Sov_1	Marksizm
1	точки зрения	12	34
2	может быть	12	26
3	и не	6	26
4	не может	17	24
5	с точки	5	20
6	и в	7	19
7	таким образом	11	17
8	в этом	7	16
9	как бы	4	15
10	прежде всего	5	13
11	как мы	2	13
12	как и	6	12
13	и пр	2	12
14	если мы	4	11
15	в самом	2	10
16	в нем	3	10
17	самом деле	2	10
18	в результате	6	9
19	при этом	3	8
20	то ни	2	8
21	не только	4	8
22	все же	3	8
23	в каждом	8	7
24	все эти	5	7
25	но в	3	7
26	то же	3	7
27	а не	3	7
28	с помощью	4	6
29	в том	4	6
30	в науке	2	6
31	в настоящее	2	6
32	настоящее время	2	6
33	отнюдь не	3	6
34	в его	2	6
35	мы не	9	6
36	так сказать	2	6
37	ничего не	6	6
38	в конце	3	5
39	мы знаем	2	5
40	не в	3	5
41	и потому	3	5
42	и все	3	5
43	в отличие	2	5
44	во всяком	2	5
45	ясно что	3	5
46	отличие от	2	5
47	самого начала	3	4
48	что в	2	4
49	не менее	2	4
50	вопрос о	4	4
51	с самого	3	4
52	а в	4	4
53	тот же	2	4
54	с этим	2	4
55	в условиях	5	4
56	еще не	3	4
57	было бы	3	4
58	не будем	2	4
59	нет и	4	4
60	что же	5	4
61	и есть	2	3
62	или иной	2	3
63	в дальнейшем	4	3
64	не дает	2	3
65	из них	4	3
66	все это	3	3
67	же самое	2	3
68	он может	3	3
69	не могут	2	3
70	и к	3	3
71	она может	2	3
72	мы должны	4	3
73	совершенно не	2	3
74	в первом	3	3
75	быть и	2	3
76	на этот	2	3
77	но все	2	3
78	в которой	2	3
79	в области	3	3
80	точку зрения	4	2
81	что все	2	2
82	реальный момент	2	2
83	самый вопрос	2	2
84	тем не	2	2
85	свою очередь	2	2
86	в свою	2	2
87	всяком случае	2	2
88	в нашем	2	2
89	на этой	3	2
90	жизни и	4	2
91	и даже	2	2
92	из этих	2	2
93	как он	3	2
94	так как	4	2
95	между собой	3	2
96	и во	2	2
97	конечно в	2	2
98	в себе	3	2
99	у нас	3	2
100	организма с	5	2
101	зависимости от	4	2
102	одна из	3	2
103	из которых	2	2
104	что такое	2	2
105	той же	2	2
106	в таком	2	2
107	мы можем	6	2
108	могут быть	2	2
109	и т.д	3	2
