N	3gram	Losev_Prob_2	Vladivir
1	в том что	4	9
2	в связи с	5	8
3	тем не менее	12	6
4	во всяком случае	10	6
5	и то что	7	5
6	по крайней мере	6	4
7	содержит в себе	2	4
8	необходимо сказать что	5	4
9	о том что	14	3
10	более или менее	4	3
11	в то же	4	3
12	точно так же	3	3
13	в конце концов	7	3
14	так или иначе	6	3
15	в данном случае	5	2
16	на первый план	3	2
17	не только в	2	2
18	не говоря уже	4	2
19	на эту тему	2	2
20	на то что	4	2
21	не имеет никакого	2	2
22	само по себе	2	2
23	можно было бы	2	2
24	в настоящее время	16	2
25	или по крайней	3	2
26	говоря уже о	4	2
27	заключается в том	2	2
