N	2gram	Trubetskoy_1	Analitik
1	не только	10	22
2	и в	26	18
3	так и	6	14
4	в этом	15	14
5	но и	9	13
6	том что	7	12
7	в качестве	3	12
8	и не	8	12
9	при этом	3	11
10	а в	4	10
11	как бы	12	10
12	то есть	4	10
13	может быть	10	9
14	что в	9	9
15	а не	5	9
16	в том	11	9
17	с его	2	8
18	и даже	3	8
19	с другой	8	7
20	но не	8	7
21	в его	5	7
22	отношению к	3	7
23	к тому	6	6
24	не в	2	6
25	в начале	2	6
26	для него	3	6
27	еще не	2	6
28	в этой	4	6
29	он не	4	6
30	о том	6	6
31	никогда не	5	5
32	в конце	6	5
33	прежде всего	2	5
34	в свою	2	5
35	или иной	2	5
36	того же	6	5
37	в самом	4	5
38	что и	6	5
39	в мире	5	5
40	лишь в	5	5
41	уже не	3	5
42	в результате	3	5
43	между тем	2	5
44	мы имеем	2	5
45	представляет собой	3	5
46	не менее	3	4
47	в своем	3	4
48	по крайней	5	4
49	в одном	3	4
50	состоит в	2	4
51	что он	4	4
52	можно сказать	3	4
53	и к	5	4
54	и как	3	4
55	крайней мере	5	4
56	все же	6	4
57	приводит к	2	4
58	таким образом	22	4
59	и на	2	4
60	далеко не	4	4
61	уже в	2	3
62	в рамках	3	3
63	из этих	10	3
64	к этому	3	3
65	не всегда	2	3
66	тому же	5	3
67	же время	2	3
68	только не	2	3
69	мысль о	2	3
70	той или	2	3
71	если в	3	3
72	к жизни	5	3
73	все это	6	3
74	то же	4	3
75	не было	2	3
76	этом отношении	2	3
77	именно в	2	3
78	путь к	3	3
79	его не	2	3
80	точки зрения	13	3
81	в то	4	3
82	для всех	2	2
83	все эти	6	2
84	в них	2	2
85	не как	2	2
86	и от	4	2
87	в нем	4	2
88	несмотря на	6	2
89	тем не	3	2
90	вплоть до	2	2
91	без остатка	2	2
92	с тем	18	2
93	по своему	2	2
94	тех пор	2	2
95	одной стороны	7	2
96	со всеми	2	2
97	в общем	8	2
98	и потому	6	2
99	а также	2	2
100	всяком случае	6	2
101	по своей	2	2
102	один из	2	2
103	не с	2	2
104	то что	7	2
105	когда он	3	2
106	во всех	2	2
107	вместе с	15	2
108	связь с	2	2
109	не может	4	2
110	не могла	2	2
111	с одной	7	2
112	но с	3	2
113	те же	2	2
114	в значительной	3	2
115	с точки	6	2
116	и по	4	2
117	и для	5	2
118	в глазах	2	2
119	на пути	2	2
120	сказать что	2	2
121	во всяком	6	2
122	мы можем	2	2
123	в себе	6	2
124	и здесь	2	2
125	что мы	2	2
126	только в	4	2
127	и т.д	6	2
128	и все	2	2
129	но в	7	2
130	в новом	2	2
