N	3gram	Losev_Prob_3	Myslijsy
1	сами по себе	6	7
2	во всяком случае	6	7
3	в том что	9	7
4	по крайней мере	5	5
5	тем не менее	10	5
6	в том смысле	3	4
7	не было бы	3	4
8	в то время	4	4
9	до сих пор	2	4
10	сам по себе	6	4
11	и т д	13	3
12	то время как	4	3
13	или по крайней	4	2
14	только потому что	2	2
15	так что мы	2	2
16	само по себе	3	2
17	и то же	4	2
18	в сравнении с	2	2
19	в таком случае	4	2
20	не может быть	5	2
21	сама по себе	8	2
22	в то же	4	2
23	одно и то	3	2
24	с другой стороны	5	2
25	на самом деле	2	2
