N	3gram	Losev_Vesc_1	Myshleni
1	с точки зрения	3	18
2	в том что	4	15
3	для того чтобы	2	15
4	с другой стороны	2	9
5	с одной стороны	3	8
6	о том что	4	6
7	по сравнению с	6	5
8	в собственном смысле	2	5
9	из того что	2	5
10	не может быть	6	5
11	можно сказать что	3	4
12	к тому что	2	3
13	в свою очередь	4	3
14	сам по себе	3	3
15	на то что	2	3
16	во всяком случае	2	3
17	то что у	2	2
18	в данном случае	2	2
19	в самом деле	4	2
20	одно и то	4	2
21	бы сказать что	2	2
22	на действительность и	2	2
23	и то же	4	2
24	только тогда когда	2	2
25	есть прежде всего	2	2
