N	2gram	Berdyaev_O_1	Morfolog
1	может быть	11	52
2	не может	4	17
3	т е	4	16
4	в этих	3	16
5	могут быть	3	15
6	и в	19	13
7	в этом	12	13
8	так как	2	12
9	прежде всего	9	9
10	так и	2	9
11	и не	13	9
12	а не	11	9
13	что и	2	8
14	вопрос о	10	7
15	и этим	2	7
16	все же	2	7
17	это не	3	6
18	не могут	3	6
19	в том	5	6
20	а в	5	6
21	как бы	3	5
22	не все	2	5
23	то что	5	5
24	потому что	9	5
25	что в	4	4
26	было бы	3	4
27	не только	11	4
28	как и	6	4
29	хотя и	2	4
30	тем что	2	4
31	его в	2	4
32	ничего не	2	4
33	в других	2	4
34	том что	2	3
35	что они	2	3
36	того чтобы	4	3
37	он не	7	3
38	но и	13	3
39	к нему	3	3
40	и для	2	3
41	и ее	3	3
42	но в	2	3
43	совсем не	2	2
44	с тем	2	2
45	хотя бы	3	2
46	сразу же	2	2
47	к этому	2	2
48	что он	3	2
49	и к	2	2
50	от него	7	2
51	момент в	2	2
52	для него	5	2
53	никто не	3	2
54	же можно	2	2
55	все эти	4	2
56	того что	3	2
57	для того	3	2
58	не имеет	2	2
59	и его	4	2
60	в другом	2	2
61	о том	3	2
62	сказать что	2	2
63	это было	3	2
