N	2gram	Tiupa_Hudo_1	StatiiOP
1	и в	14	44
2	в том	12	36
3	и т	11	30
4	что в	6	30
5	том что	16	29
6	т д	3	21
7	в этом	11	21
8	то что	8	18
9	не только	12	18
10	было бы	6	17
11	а в	7	17
12	о том	12	17
13	и не	2	16
14	а не	12	16
15	т е	4	15
16	может быть	5	15
17	как в	8	13
18	можно было	5	13
19	не в	7	12
20	в первой	6	12
21	в тексте	3	12
22	в этой	8	11
23	самом деле	5	11
24	того чтобы	3	11
25	точки зрения	5	11
26	ясно что	2	10
27	что он	9	10
28	но и	5	10
29	но в	5	10
30	только в	5	10
31	если бы	3	9
32	в то	8	9
33	как и	9	9
34	того что	4	9
35	т п	8	9
36	во второй	5	9
37	так и	13	9
38	в его	8	9
39	например в	2	8
40	все же	3	8
41	из них	4	8
42	не может	7	8
43	и его	5	8
44	это не	7	8
45	с точки	3	8
46	и об	2	7
47	прежде всего	11	7
48	в самом	4	7
49	сих пор	2	7
50	до сих	2	7
51	этом отношении	3	7
52	потому что	5	6
53	так что	2	6
54	для него	10	6
55	в своей	10	6
56	со стороны	3	6
57	что же	2	6
58	именно в	7	6
59	на самом	2	6
60	не менее	5	5
61	никогда не	6	5
62	такой же	3	5
63	в нем	3	5
64	в целом	2	5
65	жизни и	5	5
66	xix в	4	5
67	все это	2	5
68	той же	2	5
69	то же	9	5
70	и даже	3	5
71	и по	3	5
72	тем что	3	5
73	все эти	3	5
74	на вопрос	2	4
75	речь идет	3	4
76	в частности	5	4
77	столь же	4	4
78	что она	4	4
79	это в	3	4
80	вопрос о	2	4
81	или иного	2	4
82	в ее	3	4
83	же время	8	4
84	и что	2	4
85	в качестве	9	4
86	того или	2	4
87	как раз	4	4
88	как бы	7	4
89	на то	4	4
90	не было	4	4
91	что у	3	4
92	не имеет	2	4
93	как будто	4	4
94	том как	3	4
95	а с	2	3
96	тому что	4	3
97	для себя	3	3
98	же касается	2	3
99	и с	4	3
100	с этой	2	3
101	и так	2	3
102	в конце	4	3
103	ни в	5	3
104	да и	2	3
105	об этом	5	3
106	в начале	2	3
107	то в	4	3
108	же как	2	3
109	но не	3	3
110	еще не	7	3
111	что не	2	3
112	своего рода	7	3
113	и для	3	3
114	в ней	4	3
115	даже в	3	3
116	его жизни	2	3
117	отношению к	8	3
118	внимание на	2	3
119	по отношению	8	3
120	по мнению	5	3
121	но с	2	3
122	лишь в	3	3
123	в таком	3	3
124	как к	3	3
125	в результате	2	3
126	в другом	2	3
127	видно что	2	3
128	будто бы	3	3
129	между тем	8	3
130	с этим	3	3
131	в этих	5	2
132	в своем	4	2
133	превращается в	3	2
134	в такой	2	2
135	что на	2	2
136	раз в	2	2
137	идет о	3	2
138	каждого из	2	2
139	перед собой	2	2
140	при этом	12	2
141	что при	3	2
142	она не	4	2
143	в данной	2	2
144	несмотря на	4	2
145	них это	2	2
146	и потому	2	2
147	а также	3	2
148	если в	2	2
149	тем не	4	2
150	такого рода	3	2
151	в первую	2	2
152	на него	2	2
153	также в	2	2
154	первую очередь	2	2
155	так или	2	2
156	не была	2	2
157	мы не	2	2
158	или иначе	2	2
159	ничего не	8	2
160	не знает	2	2
161	в своих	3	2
162	а то	2	2
163	у него	9	2
164	однако и	3	2
165	он не	4	2
166	но он	3	2
167	в себе	11	2
168	говорить о	3	2
169	по своей	4	2
170	о котором	2	2
171	в литературном	2	2
172	как правило	6	2
173	в равной	3	2
174	и все	4	2
175	его в	3	2
176	и это	4	2
177	это прежде	2	2
178	равной мере	2	2
