N	2gram	Voloshinov_1	Komedia
1	и в	12	26
2	и не	10	14
3	едва ли	2	14
4	так и	4	12
5	и его	13	12
6	в том	6	11
7	тому же	2	11
8	может быть	14	11
9	но и	3	10
10	в этом	4	10
11	что в	2	9
12	том что	5	9
13	если бы	9	9
14	вместе с	2	9
15	ясно что	3	8
16	и на	4	7
17	не только	4	7
18	что и	2	7
19	в своем	2	6
20	то что	5	6
21	еще не	3	6
22	в нем	6	6
23	и здесь	2	6
24	в то	2	6
25	о том	3	6
26	таким образом	12	6
27	с его	2	5
28	независимо от	2	5
29	к этому	2	5
30	ни в	3	5
31	и с	3	5
32	место в	2	4
33	уже в	2	4
34	не менее	3	4
35	в этих	2	4
36	в них	3	4
37	прежде всего	8	4
38	как и	5	4
39	в его	2	4
40	все же	4	4
41	в самом	4	4
42	и для	3	4
43	точки зрения	14	4
44	только в	6	4
45	так как	9	4
46	как это	2	4
47	его в	4	4
48	между тем	3	4
49	с этой	2	3
50	так называемой	3	3
51	жизни и	4	3
52	отношению к	11	3
53	но все	2	3
54	но не	2	3
55	для нас	7	3
56	да и	3	3
57	в ней	6	3
58	в котором	3	3
59	в своей	3	3
60	все это	3	3
61	по отношению	11	3
62	дело с	2	3
63	то же	5	3
64	как в	5	3
65	к нему	4	3
66	не может	16	3
67	но в	5	3
68	мы можем	2	3
69	содержанию и	2	2
70	все время	6	2
71	ни было	4	2
72	и другие	2	2
73	отнюдь не	5	2
74	в нашем	11	2
75	то ни	3	2
76	в какой	2	2
77	с другой	4	2
78	это не	2	2
79	и к	4	2
80	не в	4	2
81	до сих	3	2
82	бы то	3	2
83	одной стороны	2	2
84	как не	2	2
85	от того	4	2
86	и дает	2	2
87	он не	2	2
88	как бы	13	2
89	хотя бы	5	2
90	отношение к	4	2
91	сих пор	3	2
92	с одной	2	2
93	и что	2	2
94	от всех	2	2
95	мы не	3	2
96	имеет в	3	2
97	и ее	3	2
98	к его	2	2
99	на это	2	2
100	и все	2	2
101	из этого	3	2
102	мы имеем	2	2
103	в виду	5	2
