N	2gram	Medvedev_V_1	Problema
1	в его	14	43
2	и не	19	42
3	и в	26	38
4	познания и	4	30
5	не может	17	27
6	может быть	22	26
7	как бы	5	22
8	по отношению	7	21
9	в художественном	10	20
10	отнюдь не	3	19
11	отношению к	7	19
12	и его	6	16
13	в нем	6	15
14	в этом	26	15
15	и т	23	14
16	прежде всего	13	13
17	только в	7	13
18	т п	9	13
19	художественного творчества	18	12
20	в искусстве	6	12
21	в единстве	4	12
22	но не	2	12
23	художественного произведения	6	11
24	во всех	6	11
25	и для	2	11
26	в области	2	11
27	в их	5	10
28	таким образом	31	10
29	художественном творчестве	6	10
30	но и	10	9
31	его в	3	9
32	не только	25	9
33	в том	15	8
34	и как	3	8
35	и др	9	8
36	точки зрения	3	8
37	произведения как	5	8
38	было бы	7	8
39	то что	6	8
40	художественное произведение	5	8
41	что в	10	7
42	с другой	11	7
43	не в	6	7
44	в самом	4	7
45	между тем	5	7
46	отметить что	2	7
47	как и	7	7
48	художественное творчество	6	7
49	еще не	2	7
50	в своей	4	7
51	в плане	5	7
52	в пределах	5	6
53	и наконец	2	6
54	а в	3	6
55	на основе	5	6
56	все же	5	6
57	то же	10	5
58	все они	2	5
59	в своем	8	5
60	это не	7	5
61	формы и	2	5
62	никогда не	4	5
63	все эти	6	5
64	должно быть	2	5
65	далеко не	2	5
66	произведения в	7	5
67	в них	4	5
68	художественном произведении	4	5
69	художника и	7	5
70	так и	5	5
71	а не	7	5
72	могут быть	5	5
73	не менее	2	4
74	должны быть	2	4
75	в ней	2	4
76	в конечном	7	4
77	в виду	4	4
78	другой стороны	8	4
79	в форме	3	4
80	с ними	4	4
81	сказать что	5	4
82	в то	6	4
83	о том	10	4
84	и потому	2	4
85	но в	2	4
86	конечном счете	5	4
87	в ее	4	4
88	всех его	2	4
89	относится к	2	4
90	в романе	4	4
91	что не	3	4
92	между ними	3	4
93	хотя бы	19	4
94	можно было	2	4
95	в себе	6	4
96	художественную форму	2	4
97	и художественного	3	3
98	и от	3	3
99	в противном	2	3
100	же время	5	3
101	одной стороны	2	3
102	например в	3	3
103	хотя и	2	3
104	не является	5	3
105	в целом	4	3
106	все это	10	3
107	с одной	2	3
108	они не	2	3
109	и даже	2	3
110	противном случае	2	3
111	также и	2	3
112	а как	2	3
113	если бы	3	3
114	и к	3	3
115	том что	8	3
116	говорить о	2	3
117	действительности и	7	3
118	он не	2	3
119	нет и	3	3
120	творчества в	7	3
121	искусства не	2	3
122	приводит к	5	3
123	но с	2	3
124	в слове	3	3
125	с другими	2	3
126	не могут	7	2
127	том как	3	2
128	и весь	2	2
129	и есть	5	2
130	в частности	11	2
131	и мир	3	2
132	что все	3	2
133	в каждом	2	2
134	или иной	2	2
135	от них	2	2
136	можно сказать	4	2
137	что оно	3	2
138	в нашей	4	2
139	смысле слова	2	2
140	в значительной	3	2
141	по поводу	2	2
142	и у	2	2
143	не вполне	2	2
144	в котором	3	2
145	лица и	2	2
146	он может	2	2
147	отличается от	2	2
148	в связи	3	2
149	в особенности	2	2
150	не было	7	2
151	этом отношении	13	2
152	в словесном	2	2
153	этой области	3	2
154	лишь в	2	2
155	произведения и	7	2
156	и отдельных	3	2
157	того что	3	2
158	его не	3	2
159	в своих	2	2
160	не следует	8	2
161	к его	2	2
162	но как	3	2
163	же самое	2	2
164	того или	2	2
165	не обходится	3	2
166	как это	12	2
167	мы имеем	3	2
168	с его	3	2
169	их и	4	2
170	и художественное	3	2
171	определить как	2	2
172	к этому	9	2
173	вовсе не	3	2
174	что он	4	2
175	у нас	2	2
176	по существу	3	2
177	и при	5	2
178	связи с	4	2
179	одна из	4	2
180	она не	3	2
181	ни одна	2	2
182	том же	6	2
183	должен быть	4	2
184	что и	3	2
185	бы не	2	2
186	человека в	2	2
187	того чтобы	3	2
188	для того	3	2
189	из которых	2	2
190	и он	2	2
191	или в	3	2
192	можно определить	2	2
193	и ее	4	2
194	в другом	2	2
195	и познания	2	2
196	др в	3	2
197	в чем	2	2
