N	2gram	Losev_Prob_1	Komedia
1	и в	32	22
2	и не	31	21
3	том что	12	13
4	в том	9	12
5	таким образом	6	12
6	так как	11	11
7	ни в	7	10
8	в комедии	2	10
9	потому что	16	10
10	до сих	3	9
11	в самом	6	9
12	вместе с	2	9
13	сих пор	3	9
14	если бы	4	8
15	в своем	5	8
16	что он	7	8
17	в его	6	8
18	в этом	19	8
19	о том	11	8
20	его в	6	8
21	о чем	6	7
22	об этом	10	7
23	при этом	6	7
24	то же	10	7
25	только что	2	7
26	едва ли	2	7
27	а в	4	7
28	в конце	6	7
29	ясно что	3	6
30	того же	3	6
31	еще не	9	6
32	для того	8	6
33	к тому	3	6
34	может быть	14	6
35	как раз	13	6
36	самом деле	6	6
37	и что	9	6
38	того чтобы	9	6
39	так что	6	6
40	и его	3	6
41	в то	6	6
42	не менее	19	5
43	связи с	5	5
44	что в	12	5
45	прежде всего	10	5
46	что его	3	5
47	как это	6	5
48	хотя и	6	5
49	не только	17	5
50	в своей	8	5
51	из них	3	5
52	не хочет	3	5
53	все это	7	5
54	он не	3	5
55	тем что	7	5
56	к нему	3	5
57	в которых	3	5
58	с ним	3	5
59	но в	14	5
60	с тем	5	4
61	но все	3	4
62	отнюдь не	10	4
63	однако в	2	4
64	с другой	3	4
65	сразу же	2	4
66	вовсе не	35	4
67	нет и	2	4
68	и здесь	6	4
69	не в	4	4
70	несмотря на	3	4
71	тем более	5	4
72	здесь нет	2	4
73	и т	11	4
74	то что	42	4
75	но и	9	4
76	что она	5	4
77	что к	2	4
78	в отношении	3	4
79	меньше всего	2	4
80	а не	15	4
81	и для	4	4
82	так же	9	4
83	точки зрения	3	4
84	само собой	2	4
85	на себя	2	4
86	в себе	15	4
87	в связи	4	4
88	так и	12	4
89	не является	5	4
90	хотя бы	3	4
91	и с	2	4
92	что ни	2	3
93	с его	2	3
94	прежде чем	3	3
95	никогда не	7	3
96	в них	7	3
97	с этим	3	3
98	если не	4	3
99	в нем	13	3
100	далеко не	5	3
101	на то	8	3
102	нисколько не	3	3
103	тем не	18	3
104	и еще	3	3
105	в ее	3	3
106	как и	3	3
107	в этой	10	3
108	по своему	9	3
109	было бы	8	3
110	на этот	3	3
111	как бы	14	3
112	один из	4	3
113	не может	8	3
114	все равно	5	3
115	что не	3	3
116	с точки	3	3
117	и даже	11	3
118	не имеет	2	3
119	в других	5	3
120	их в	4	3
121	мы можем	4	3
122	во всяком	7	3
123	не о	2	3
124	но если	2	3
125	говорить о	6	3
126	же самое	9	3
127	как он	4	3
128	в которой	2	3
129	ничего не	10	3
130	всяком случае	3	3
131	том как	2	3
132	только для	3	2
133	уже в	3	2
134	что их	2	2
135	все время	2	2
136	не мешает	2	2
137	в качестве	2	2
138	не как	2	2
139	как в	4	2
140	не будет	2	2
141	это не	6	2
142	и особенно	2	2
143	для обозначения	4	2
144	и все	7	2
145	не могут	2	2
146	если мы	11	2
147	о его	2	2
148	этом случае	2	2
149	его от	3	2
150	без всякого	2	2
151	по существу	2	2
152	что они	3	2
153	она не	2	2
154	и если	6	2
155	совершенно не	6	2
156	на его	2	2
157	в сущности	2	2
158	за пределы	6	2
159	и о	8	2
160	о любви	2	2
161	известной степени	2	2
162	конце концов	4	2
163	а также	4	2
164	в котором	5	2
165	так или	2	2
166	после этого	4	2
167	во всех	7	2
168	в их	4	2
169	как мы	7	2
170	другой стороны	3	2
171	даже если	4	2
172	не было	4	2
173	мы не	2	2
174	что для	2	2
175	с другими	2	2
176	в таком	9	2
177	можно было	3	2
178	или иначе	2	2
179	и на	8	2
180	в результате	2	2
181	тому что	4	2
182	между тем	2	2
183	и во	3	2
184	он и	8	2
185	и ее	8	2
186	что мы	13	2
187	и это	9	2
188	нет ничего	10	2
189	здесь не	7	2
190	этот раз	2	2
191	в области	2	2
192	больше чем	2	2
193	в виду	6	2
