N	2gram	Kanaev_Sov_1	Myshleni
1	в этом	7	29
2	точки зрения	12	28
3	и в	7	26
4	не только	4	24
5	таким образом	11	23
6	с точки	5	21
7	в том	4	18
8	и не	6	18
9	как и	6	15
10	так как	4	14
11	как мы	2	14
12	с помощью	4	13
13	что в	2	12
14	вместе с	4	12
15	в которой	2	11
16	не может	17	11
17	в развитии	4	10
18	в самом	2	9
19	в себе	3	9
20	то же	3	8
21	что она	3	8
22	той же	2	8
23	самого начала	3	7
24	прежде всего	5	7
25	с самого	3	7
26	может быть	12	7
27	и к	3	7
28	мы не	9	7
29	вопрос о	4	6
30	мы должны	4	6
31	как бы	4	6
32	между собой	3	6
33	и что	2	6
34	было бы	3	6
35	все эти	5	6
36	все же	3	6
37	самом деле	2	6
38	а не	3	6
39	что это	2	6
40	в целом	4	5
41	с одной	2	5
42	же самое	2	5
43	если мы	4	5
44	тем же	2	5
45	не менее	2	4
46	не могут	2	4
47	в нашем	2	4
48	в конце	3	4
49	в наших	3	4
50	не можем	7	4
51	то и	2	4
52	и наконец	5	4
53	и во	2	4
54	в его	2	4
55	но в	3	4
56	еще не	3	4
57	приводит к	2	4
58	не в	3	4
59	в области	3	4
60	все это	3	3
61	это не	4	3
62	из этих	2	3
63	тем не	2	3
64	такой же	2	3
65	из двух	3	3
66	но мы	3	3
67	мы видели	4	3
68	на котором	2	3
69	развития в	2	3
70	и по	2	3
71	в живом	2	3
72	в первом	3	3
73	и потому	3	3
74	нет и	4	3
75	отличается от	3	3
76	мы видим	2	3
77	мы можем	6	3
78	развития мы	2	3
79	в этой	3	3
80	уже в	3	2
81	друг с	2	2
82	точку зрения	4	2
83	что все	2	2
84	как известно	2	2
85	что при	2	2
86	мы знаем	2	2
87	для нас	3	2
88	свою очередь	2	2
89	в свою	2	2
90	на его	2	2
91	все те	2	2
92	поэтому мы	3	2
93	в нем	3	2
94	значение в	2	2
95	а в	4	2
96	и есть	2	2
97	с этим	2	2
98	этих двух	2	2
99	она может	2	2
100	у нас	3	2
101	ведь это	3	2
102	конце развития	2	2
103	со всеми	2	2
104	совершенно не	2	2
105	что же	5	2
106	в отличие	2	2
107	из которых	2	2
108	во всяком	2	2
109	могут быть	2	2
110	с другом	2	2
111	если же	2	2
112	отличие от	2	2
113	ничего не	6	2
114	с необходимостью	3	2
