N	2gram	Losev_Vlad_3	Analitik
1	не только	25	22
2	и в	40	18
3	как и	7	14
4	так и	6	14
5	в этом	16	14
6	но и	18	13
7	и его	10	13
8	том что	18	12
9	в качестве	3	12
10	и не	25	12
11	при этом	3	11
12	а в	7	10
13	как бы	3	10
14	то есть	24	10
15	может быть	8	9
16	со стороны	2	9
17	что в	17	9
18	а не	8	9
19	в том	18	9
20	с его	2	8
21	и даже	6	8
22	с другой	5	7
23	но не	4	7
24	в его	14	7
25	как раз	10	7
26	к тому	7	6
27	не в	3	6
28	в начале	2	6
29	для него	8	6
30	еще не	4	6
31	в этой	8	6
32	он не	8	6
33	в их	2	6
34	о том	11	6
35	никогда не	11	5
36	не является	2	5
37	в конце	12	5
38	прежде всего	10	5
39	того же	2	5
40	такого рода	4	5
41	в самом	4	5
42	что и	7	5
43	в мире	2	5
44	другой стороны	2	5
45	в сущности	2	5
46	уже не	9	5
47	в результате	4	5
48	мы имеем	3	5
49	не менее	9	4
50	перед нами	3	4
51	отнюдь не	5	4
52	в своем	8	4
53	в одном	5	4
54	по себе	6	4
55	что он	5	4
56	и к	2	4
57	и как	7	4
58	не есть	10	4
59	все же	4	4
60	а и	2	4
61	таким образом	11	4
62	тем самым	2	4
63	и на	6	4
64	в данном	5	4
65	далеко не	3	4
66	уже в	3	3
67	однако и	4	3
68	не столько	3	3
69	из этих	3	3
70	к этому	2	3
71	тому же	5	3
72	было бы	4	3
73	же время	2	3
74	с их	3	3
75	той или	2	3
76	не будет	6	3
77	как говорит	2	3
78	в целом	2	3
79	данном случае	2	3
80	который в	2	3
81	то же	4	3
82	не было	5	3
83	этом отношении	2	3
84	еще и	18	3
85	именно в	3	3
86	в году	10	3
87	путь к	2	3
88	по его	2	3
89	поскольку он	4	3
90	роль в	2	3
91	мы не	2	3
92	ничего не	5	3
93	здесь и	2	3
94	с этим	2	3
95	точки зрения	13	3
96	что касается	2	3
97	но как	2	3
98	во всем	6	3
99	в то	7	3
100	жизнь и	3	3
101	его в	2	3
102	ко второму	2	3
103	здесь не	3	3
104	едва ли	11	3
105	как это	4	3
106	бы и	4	2
107	все эти	5	2
108	все они	2	2
109	а вот	2	2
110	это не	3	2
111	не как	2	2
112	и от	6	2
113	в жизни	2	2
114	в нем	3	2
115	есть не	2	2
116	несмотря на	7	2
117	о которых	2	2
118	тем не	10	2
119	же в	3	2
120	да и	6	2
121	говорит о	4	2
122	в дальнейшем	4	2
123	то в	6	2
124	с тем	7	2
125	что несмотря	2	2
126	в глаза	4	2
127	одной стороны	3	2
128	совершенно не	2	2
129	нам представляется	2	2
130	по преимуществу	2	2
131	хотя и	7	2
132	в ней	5	2
133	об этом	6	2
134	и потому	10	2
135	а также	8	2
136	всяком случае	3	2
137	по своей	2	2
138	только к	2	2
139	даже в	4	2
140	не с	4	2
141	то что	28	2
142	в сравнении	2	2
143	вместе с	7	2
144	что она	2	2
145	не может	14	2
146	в отличие	3	2
147	отношения к	5	2
148	к первому	2	2
149	с одной	3	2
150	но с	2	2
151	сводится к	3	2
152	не мог	6	2
153	с точки	6	2
154	и по	2	2
155	и для	3	2
156	сравнении с	2	2
157	сказать что	12	2
158	во всяком	3	2
159	тем что	5	2
160	на себя	2	2
161	в себе	9	2
162	и здесь	6	2
163	что мы	2	2
164	только в	13	2
165	и все	4	2
166	дело в	5	2
167	отличие от	3	2
168	но в	4	2
