N	2gram	Tiupa_Teor_1	Hudozhes
1	и в	18	28
2	в рассказе	2	21
3	том что	9	19
4	в ее	5	18
5	и не	13	18
6	своего рода	7	16
7	в том	16	15
8	а не	9	14
9	не в	7	13
10	в этом	8	13
11	перед нами	2	11
12	как и	4	11
13	при этом	12	11
14	в его	6	11
15	не только	16	11
16	уже не	4	10
17	не случайно	5	10
18	но и	9	9
19	в себе	9	9
20	в душе	8	8
21	в жизни	2	8
22	может быть	17	8
23	себя в	6	8
24	так и	10	8
25	между тем	5	8
26	я не	2	7
27	жизни в	2	7
28	к тому	2	7
29	об этом	2	7
30	в мире	19	7
31	в частности	16	7
32	отношению к	4	7
33	что она	2	7
34	по отношению	4	7
35	тогда как	15	7
36	состоит в	17	7
37	как это	8	7
38	казалось бы	2	6
39	это не	2	6
40	можно сказать	3	6
41	то что	3	6
42	в своей	6	6
43	если бы	3	6
44	то же	7	6
45	сводится к	5	6
46	а в	13	6
47	в то	6	6
48	я и	2	6
49	с его	5	5
50	и другие	2	5
51	не менее	4	5
52	в своем	4	5
53	как бы	5	5
54	как в	5	5
55	с ее	3	5
56	в этой	3	5
57	что в	9	5
58	в самом	4	5
59	никогда не	4	5
60	в тексте	14	5
61	и его	8	5
62	художественного целого	4	5
63	жизни как	4	5
64	для него	2	5
65	тому что	2	4
66	превращается в	2	4
67	человеческого я	3	4
68	тем не	3	4
69	своей жизни	2	4
70	то в	2	4
71	но не	9	4
72	в качестве	24	4
73	же время	5	4
74	в художественном	3	4
75	о своем	2	4
76	вслед за	2	4
77	и о	4	4
78	он не	3	4
79	в конечном	6	4
80	что и	2	4
81	как раз	2	4
82	не может	4	4
83	как будто	2	4
84	только в	6	4
85	в миропорядке	8	4
86	была бы	3	3
87	конечном счете	6	3
88	в них	2	3
89	столь же	2	3
90	с другой	7	3
91	о себе	2	3
92	в одном	2	3
93	личности в	3	3
94	прежде всего	2	3
95	в нем	4	3
96	и ее	3	3
97	в соответствии	3	3
98	всякий раз	2	3
99	еще не	4	3
100	одной стороны	2	3
101	одной из	2	3
102	по преимуществу	4	3
103	не все	3	3
104	в этих	3	3
105	со стороны	2	3
106	все это	2	3
107	на фоне	2	3
108	а с	3	3
109	с одной	2	3
110	так же	2	3
111	или в	3	3
112	с другими	5	3
113	соответствии с	2	3
114	на себя	2	3
115	и это	2	3
116	героя и	5	3
117	всего лишь	6	3
118	в основе	3	2
119	место в	5	2
120	и составляет	3	2
121	только не	2	2
122	отнюдь не	3	2
123	однако в	7	2
124	способность к	2	2
125	именно в	3	2
126	из этих	3	2
127	художественности в	4	2
128	внутреннего я	4	2
129	вовсе не	3	2
130	в финале	3	2
131	или иного	3	2
132	или иной	4	2
133	не с	3	2
134	от своего	2	2
135	а всего	3	2
136	воспринимающего сознания	3	2
137	говорит в	2	2
138	со своей	3	2
139	и к	3	2
140	и а	4	2
141	того или	3	2
142	а также	6	2
143	если в	2	2
144	не является	4	2
145	я с	5	2
146	один из	2	2
147	в нашем	4	2
148	это было	2	2
149	не будет	2	2
150	в первом	2	2
151	отношение к	5	2
152	во второй	7	2
153	вместе с	2	2
154	дело не	2	2
155	являет собой	2	2
156	данном случае	5	2
157	приводит к	5	2
158	в контексте	3	2
159	лишь в	6	2
160	во втором	3	2
161	тем самым	4	2
162	который в	2	2
163	в принципе	4	2
164	между ними	4	2
165	и для	2	2
166	с точки	3	2
167	роль в	2	2
168	человеческого бытия	2	2
169	в данном	8	2
170	и то	2	2
171	сказать что	3	2
172	потому что	3	2
173	личности и	4	2
174	точки зрения	9	2
175	самим собою	2	2
176	в роли	3	2
177	говорить о	3	2
178	в другом	3	2
179	могла бы	2	2
180	и т.д	3	2
181	и внешней	3	2
182	его в	2	2
183	роли в	5	2
184	но в	9	2
