N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	45
2	и т.п	2	16
3	и не	5	15
4	не только	9	14
5	в этом	8	14
6	но в	6	14
7	в его	3	13
8	и его	3	13
9	как бы	4	12
10	во время	2	12
11	что в	7	12
12	в своем	3	11
13	в романе	6	11
14	то же	5	11
15	в то	5	11
16	в том	3	10
17	в нем	6	10
18	но и	7	10
19	как и	6	10
20	и с	6	10
21	же время	5	9
22	в ней	4	8
23	таким образом	2	8
24	так же	4	8
25	с его	3	7
26	в конце	3	7
27	он был	3	7
28	том что	3	7
29	все это	4	7
30	и все	7	7
31	что он	4	6
32	в этой	2	6
33	он не	3	6
34	связи с	3	6
35	в них	2	6
36	с ним	4	5
37	и образы	2	5
38	человека с	2	5
39	но это	2	5
40	одним из	3	5
41	как раз	2	5
42	не может	2	5
43	в связи	3	5
44	и у	3	5
45	и как	3	5
46	его в	3	5
47	же как	2	4
48	об этом	5	4
49	и во	3	4
50	у него	5	4
51	и о	3	4
52	а также	2	4
53	не мог	2	4
54	и даже	6	4
55	а в	2	4
56	точки зрения	2	4
57	о том	4	4
58	и это	2	4
59	не менее	2	3
60	это не	4	3
61	об этой	2	3
62	для него	2	3
63	в своей	2	3
64	вместе с	2	3
65	не было	5	3
66	этот момент	2	3
67	в году	18	3
68	и он	2	3
69	но он	3	3
70	о чем	2	3
71	это в	2	2
72	к этому	3	2
73	раз в	3	2
74	в начале	6	2
75	то что	7	2
76	права на	2	2
77	несмотря на	4	2
78	может быть	4	2
79	том же	2	2
80	в этот	3	2
81	в эти	2	2
82	все же	6	2
83	так в	2	2
84	начиная с	2	2
85	при этом	4	2
86	в период	2	2
87	в истории	4	2
88	и что	8	2
89	с точки	2	2
90	рядом с	2	2
91	между тем	5	2
92	в чем	3	2
93	в эту	2	2
