N	2gram	Medvedev_U_1	Vladivir
1	и в	14	31
2	не только	10	24
3	но и	4	19
4	то что	7	18
5	и не	8	17
6	том что	2	14
7	в этом	7	14
8	и с	2	14
9	что он	2	12
10	в его	2	12
11	но в	3	12
12	с его	2	11
13	в том	2	11
14	и то	3	10
15	даже и	2	9
16	только в	2	9
17	в конце	2	9
18	в то	3	8
19	для него	3	7
20	как раз	2	7
21	у нас	3	6
22	может быть	6	6
23	не может	7	6
24	то же	5	6
25	это было	2	6
26	все это	5	5
27	не в	2	5
28	что и	2	5
29	же время	3	4
30	этом смысле	2	4
31	в себе	2	4
32	как и	3	4
33	мы и	2	4
34	в этой	4	4
35	в своей	3	4
36	и у	2	4
37	в россии	4	4
38	и через	2	3
39	только к	3	3
40	с другой	4	3
41	но не	2	3
42	но это	2	3
43	ничего не	2	3
44	нам представляется	2	3
45	конце концов	2	3
46	все же	3	3
47	другой стороны	3	3
48	таким образом	2	3
49	если не	2	3
50	тем что	2	2
51	в частности	3	2
52	но даже	2	2
53	хотя бы	5	2
54	по существу	2	2
55	не столько	2	2
56	что все	2	2
57	интереса к	2	2
58	на первый	2	2
59	было бы	3	2
60	в самом	2	2
61	конечно не	4	2
62	одним из	2	2
63	что она	2	2
64	и для	2	2
65	этой области	3	2
66	что мы	2	2
67	что такое	4	2
