N	2gram	Trubetskoy_1	Stilisti
1	и в	14	42
2	как бы	4	27
3	не только	9	27
4	прежде всего	8	22
5	и т.д	4	20
6	хотя бы	5	17
7	но и	10	15
8	то же	11	15
9	и не	19	14
10	может быть	9	12
11	не может	22	12
12	точки зрения	11	11
13	как и	4	11
14	мы уже	2	11
15	и как	3	10
16	мы должны	7	10
17	отнюдь не	7	10
18	в этом	17	10
19	при этом	5	9
20	в то	10	9
21	общественной жизни	2	9
22	то что	13	9
23	для того	6	9
24	все же	4	8
25	в ней	2	8
26	таким образом	11	8
27	с тем	6	8
28	что же	4	8
29	тем самым	2	8
30	в себе	9	8
31	никогда не	5	7
32	и от	2	7
33	же время	10	7
34	и тем	2	7
35	и на	5	7
36	потому что	5	7
37	так как	4	7
38	было бы	5	7
39	а не	2	7
40	того чтобы	8	7
41	мы можем	2	7
42	только в	5	7
43	точку зрения	4	6
44	или иной	5	6
45	не в	4	6
46	в этой	4	6
47	в конце	3	6
48	в нем	5	6
49	во всех	5	6
50	в области	2	6
51	тому что	2	5
52	и является	2	5
53	а в	5	5
54	и с	7	5
55	и наконец	2	5
56	того или	2	5
57	в сознании	3	5
58	или иного	2	5
59	в его	4	5
60	вместе с	4	5
61	с точки	9	5
62	что это	3	4
63	не просто	2	4
64	к тому	7	4
65	в качестве	3	4
66	в самом	3	4
67	той или	3	4
68	все это	6	4
69	того что	3	4
70	так же	2	4
71	о том	7	4
72	его в	4	4
73	но в	2	4
74	если бы	6	4
75	были бы	2	4
76	и к	6	4
77	себя в	4	4
78	а с	2	4
79	уже не	2	4
80	самом деле	7	4
81	можно было	4	4
82	и то	4	4
83	на это	2	4
84	его и	2	3
85	главным образом	3	3
86	этом случае	3	3
87	для нас	2	3
88	в будущем	3	3
89	но для	2	3
90	в котором	2	3
91	представить себе	2	3
92	не к	2	3
93	из них	3	3
94	жизни и	4	3
95	от того	4	3
96	что оно	3	3
97	и вот	2	3
98	лишь в	3	3
99	и даже	2	3
100	не так	2	3
101	ведь в	2	3
102	их в	2	3
103	в начале	2	3
104	том что	9	3
105	еще не	3	3
106	конечно не	5	3
107	что и	3	3
108	не будет	7	3
109	отношения к	2	3
110	да и	3	3
111	только на	2	3
112	вряд ли	3	3
113	на самом	6	3
114	если не	2	3
115	деятельности и	2	3
116	что такое	2	3
117	и для	6	3
118	конце концов	3	3
119	связи с	3	3
120	место в	2	2
121	зависит от	2	2
122	в частности	2	2
123	но даже	2	2
124	друг другу	2	2
125	вопрос о	5	2
126	в мире	4	2
127	в том	17	2
128	но это	2	2
129	для него	6	2
130	несмотря на	3	2
131	себе и	4	2
132	но мы	3	2
133	в этих	2	2
134	целый ряд	2	2
135	не было	3	2
136	все эти	2	2
137	должно быть	3	2
138	и те	2	2
139	в своих	6	2
140	даже и	2	2
141	был и	3	2
142	и ни	3	2
143	ни к	7	2
144	для них	3	2
145	для всех	6	2
146	между собой	5	2
147	с этим	2	2
148	ясно что	2	2
149	что он	6	2
150	при условии	3	2
151	не должен	2	2
152	и при	6	2
153	но не	4	2
154	одной из	3	2
155	мы говорили	3	2
156	помнить что	2	2
157	и потому	3	2
158	и этот	3	2
159	не есть	3	2
160	в своей	5	2
161	сих пор	5	2
162	в значительной	3	2
163	из которых	5	2
164	к чему	2	2
165	к нему	2	2
166	с ним	2	2
167	или в	3	2
168	этот вопрос	2	2
169	тем что	3	2
