N	2gram	Bakhtin_Fr_5	Poddanst
1	не только	14	17
2	и в	45	14
3	и не	15	12
4	в отношении	2	10
5	в этом	14	10
6	то же	11	9
7	в том	10	9
8	в качестве	2	9
9	но в	14	9
10	хотя бы	2	8
11	в пределах	2	8
12	же время	9	7
13	в то	11	7
14	только в	4	7
15	но и	10	6
16	в ней	8	6
17	было бы	2	6
18	не в	7	5
19	в которых	3	5
20	и о	4	5
21	может быть	2	5
22	то что	2	4
23	что в	12	4
24	в своем	11	4
25	не может	5	4
26	и к	5	4
27	а в	4	4
28	том что	7	4
29	и если	2	4
30	а также	4	4
31	как бы	12	4
32	в нем	10	3
33	с тем	2	3
34	и без	2	3
35	это не	3	3
36	прежде всего	10	3
37	для того	6	3
38	с точки	2	3
39	мы не	4	3
40	и как	5	3
41	между тем	2	3
42	но не	4	3
43	точки зрения	4	3
44	потому что	7	3
45	хотя и	5	3
46	к началу	3	2
47	не менее	3	2
48	том числе	4	2
49	для них	2	2
50	именно в	3	2
51	и есть	2	2
52	во всех	13	2
53	не будем	2	2
54	в них	6	2
55	все это	7	2
56	как раз	5	2
57	не столько	2	2
58	с этим	4	2
59	и вот	3	2
60	в значительной	2	2
61	а не	4	2
62	того что	3	2
63	слова но	2	2
64	как на	4	2
65	говорить о	2	2
66	если в	2	2
67	есть в	3	2
68	из важнейших	2	2
69	не было	3	2
70	в начале	2	2
71	в общем	4	2
72	например в	5	2
73	и это	4	2
74	церкви и	2	2
75	в эту	2	2
76	в его	13	2
77	и с	10	2
