N	3gram	Medvedev_V_1	Psycholo
1	в том что	5	17
2	для того чтобы	3	13
3	не может быть	8	8
4	и т п	9	8
5	в художественном произведении	4	5
6	в этом отношении	13	5
7	только в том	2	4
8	о том что	3	4
9	мы знаем что	2	4
10	можно было бы	2	4
11	в конце концов	2	3
12	в конечном счете	5	3
13	в том чтобы	2	3
14	этой точки зрения	2	2
15	и не может	2	2
16	то же время	5	2
17	к тому что	3	2
18	и в процессе	2	2
19	таким образом в	2	2
20	подобно тому как	2	2
21	в то же	5	2
22	в этой области	3	2
23	и т д	14	2
24	которая не может	2	2
25	не в том	2	2
26	с другой стороны	8	2
