N	2gram	Tiupa_Hudo_1	Morfolog
1	может быть	5	52
2	и т	11	49
3	т д	3	47
4	не может	7	17
5	т е	4	16
6	в этих	5	16
7	с этим	3	14
8	и в	14	13
9	в этом	11	13
10	действующих лиц	2	13
11	перед нами	5	11
12	связи с	4	11
13	представляют собой	2	10
14	заметить что	2	10
15	прежде всего	11	9
16	так и	13	9
17	в связи	3	9
18	то же	9	9
19	и не	2	9
20	а не	12	9
21	в результате	2	8
22	вопрос о	2	7
23	в качестве	9	7
24	все же	3	7
25	это не	7	6
26	в том	12	6
27	но не	3	6
28	а также	3	6
29	в форме	2	6
30	а в	7	6
31	не менее	5	5
32	в море	2	5
33	в ходе	3	5
34	этот момент	2	5
35	как бы	7	5
36	один из	4	5
37	то что	8	5
38	потому что	5	5
39	мы не	2	5
40	что в	6	4
41	героя в	2	4
42	об этом	5	4
43	тем не	4	4
44	отношению к	8	4
45	было бы	6	4
46	на его	2	4
47	несмотря на	4	4
48	не только	12	4
49	как в	8	4
50	как мы	3	4
51	по отношению	8	4
52	как и	9	4
53	хотя и	2	4
54	тем что	3	4
55	точки зрения	5	4
56	с точки	3	4
57	видно что	2	4
58	на этом	3	4
59	его в	3	4
60	если в	2	4
61	ничего не	8	4
62	только что	4	3
63	если бы	3	3
64	а то	2	3
65	в начале	2	3
66	же в	3	3
67	том что	16	3
68	в целом	2	3
69	в пределах	3	3
70	того чтобы	3	3
71	момент когда	2	3
72	он не	4	3
73	ни в	5	3
74	но и	5	3
75	на него	2	3
76	на самом	2	3
77	самом деле	5	3
78	и по	3	3
79	и для	3	3
80	друг друга	5	3
81	из них	4	3
82	в то	8	3
83	с того	2	3
84	героя и	5	3
85	начинается с	2	3
86	но в	5	3
87	ни к	2	2
88	в частности	5	2
89	однако в	2	2
90	та же	4	2
91	то героем	2	2
92	состоит в	2	2
93	что он	9	2
94	можно сказать	4	2
95	и к	4	2
96	или с	2	2
97	то в	4	2
98	только в	5	2
99	от него	3	2
100	для него	10	2
101	у нее	2	2
102	одной из	2	2
103	мы уже	4	2
104	новое лицо	2	2
105	себя и	2	2
106	себя в	4	2
107	а а	2	2
108	а с	2	2
109	все эти	3	2
110	не означает	2	2
111	и что	2	2
112	к себе	5	2
113	того что	4	2
114	уже не	7	2
115	не имеет	2	2
116	и его	5	2
117	можно было	5	2
118	в другом	2	2
119	не знает	2	2
120	или не	3	2
121	о том	12	2
122	ясно что	2	2
123	здесь не	2	2
124	одна из	2	2
