N	3gram	Losev_Dial_2	Myslijsy
1	более или менее	2	8
2	сами по себе	3	7
3	во всяком случае	2	7
4	в том что	6	7
5	по крайней мере	9	5
6	тем не менее	2	5
7	в том смысле	4	4
8	в то время	3	4
9	до сих пор	2	4
10	не в состоянии	2	4
11	от того что	2	4
12	в одно время	2	4
13	сам по себе	3	4
14	как бы ни	2	3
15	не могут быть	2	3
16	и т д	15	3
17	то время как	3	3
18	по себе не	3	3
19	и т п	2	3
20	или по крайней	2	2
21	с самого начала	2	2
22	само по себе	2	2
23	то же время	4	2
24	и то же	4	2
25	и может быть	3	2
26	в таком случае	3	2
27	не может быть	3	2
28	сама по себе	7	2
29	в то же	3	2
30	одно и то	4	2
31	с другой стороны	4	2
32	только тогда когда	4	2
