N	2gram	Voloshinov_1	EvropaiE
1	и в	15	37
2	в отношении	2	32
3	точки зрения	13	23
4	что в	6	21
5	не только	5	18
6	с точки	10	17
7	в то	6	16
8	хотя бы	7	15
9	то же	7	15
10	в своем	2	14
11	в качестве	2	14
12	же время	5	14
13	но и	4	14
14	и не	16	14
15	но в	9	14
16	в этом	13	12
17	в том	4	11
18	в области	3	11
19	так и	10	10
20	отнюдь не	2	9
21	прежде всего	11	9
22	не может	13	9
23	в себе	4	9
24	только в	6	9
25	думать что	2	8
26	к тому	4	8
27	в ее	4	8
28	было бы	6	8
29	в своей	9	8
30	между тем	2	8
31	как и	6	7
32	того что	2	7
33	так как	9	7
34	вовсе не	2	6
35	том что	5	6
36	может быть	13	6
37	как бы	11	6
38	то что	10	6
39	во всех	8	6
40	того чтобы	2	6
41	и даже	2	6
42	и на	3	6
43	не в	4	5
44	но не	5	5
45	но если	2	5
46	со стороны	2	5
47	как мы	10	5
48	в течение	2	5
49	и по	5	5
50	и потому	8	5
51	именно в	3	4
52	можно сказать	4	4
53	на всем	2	4
54	в самом	6	4
55	в ней	5	4
56	к ней	2	4
57	в процессе	4	4
58	по себе	2	4
59	мы не	4	4
60	сказать что	6	4
61	в каком	3	4
62	и к	7	3
63	этом отношении	2	3
64	никогда не	7	3
65	и со	2	3
66	жизни в	3	3
67	на себя	2	3
68	мы видели	5	3
69	мы можем	12	3
70	в свою	2	3
71	в культурном	2	3
72	всяком случае	3	3
73	не является	3	3
74	что и	2	3
75	во второй	5	3
76	время в	2	3
77	ее в	2	3
78	бы и	2	3
79	как в	3	3
80	и только	4	3
81	и для	2	3
82	и прежде	5	3
83	как на	3	3
84	в таком	3	3
85	потому что	4	3
86	во всяком	4	3
87	в психологии	2	3
88	ни на	2	3
89	в данном	3	3
90	дело в	2	3
91	большинстве случаев	5	3
92	отметить что	2	3
93	культурного творчества	7	2
94	что все	5	2
95	он сам	4	2
96	не могут	3	2
97	для них	3	2
98	а не	2	2
99	в этих	2	2
100	еще более	2	2
101	во втором	3	2
102	с этим	6	2
103	в большинстве	4	2
104	и все	4	2
105	в одном	3	2
106	к нему	7	2
107	главным образом	4	2
108	из того	2	2
109	между ними	2	2
110	всего к	3	2
111	не можем	3	2
112	что это	3	2
113	она не	2	2
114	на язык	2	2
115	он не	4	2
116	в его	9	2
117	в развитии	4	2
118	жизни и	5	2
119	вместе с	4	2
120	данном случае	3	2
121	на основании	2	2
122	что же	4	2
123	и таким	2	2
124	а в	6	2
125	таким образом	21	2
126	если бы	3	2
127	и что	3	2
128	ко всему	2	2
129	и наконец	10	2
130	во многом	2	2
131	этот процесс	4	2
132	тому чтобы	3	2
133	с другими	5	2
134	в своих	4	2
135	и с	7	2
136	могут быть	6	2
137	в этой	5	2
138	ведь и	2	2
139	и то	2	2
140	в истории	3	2
141	мы должны	7	2
142	далеко не	4	2
143	между собой	4	2
144	бы в	2	2
145	можем сказать	2	2
146	в эту	2	2
147	и творчества	2	2
