N	2gram	Trubetskoy_1	Vvedenie
1	и т	3	42
2	и в	14	32
3	в том	17	31
4	в этом	17	30
5	может быть	9	26
6	том что	9	26
7	не только	9	22
8	для того	6	21
9	того чтобы	8	20
10	таким образом	11	19
11	то что	13	16
12	потому что	5	15
13	так как	4	15
14	не может	22	14
15	в самом	3	13
16	в нем	5	13
17	о том	7	13
18	со стороны	4	13
19	того что	3	12
20	в их	4	12
21	и не	19	12
22	как на	8	12
23	в его	4	12
24	только в	5	12
25	что такое	2	11
26	ясно что	2	11
27	в данном	7	11
28	что в	4	10
29	но в	2	9
30	и как	3	9
31	между тем	5	9
32	по себе	2	9
33	то же	11	9
34	не в	4	8
35	именно в	3	8
36	прежде всего	8	7
37	вопрос о	5	7
38	точки зрения	11	7
39	о котором	3	7
40	но не	4	7
41	было бы	5	7
42	все же	4	7
43	самом деле	7	7
44	можно было	4	7
45	не могут	4	6
46	из этих	3	6
47	до сих	5	6
48	же время	10	6
49	том чтобы	3	6
50	но и	10	6
51	все это	6	6
52	и даже	2	6
53	в то	10	6
54	его в	4	6
55	с тем	6	6
56	представить себе	2	6
57	как и	4	6
58	в качестве	3	6
59	сих пор	5	6
60	хотя бы	5	6
61	этот вопрос	2	6
62	тем что	3	6
63	так что	2	5
64	но если	3	5
65	как бы	4	5
66	и тем	2	5
67	данном случае	3	5
68	есть и	2	5
69	на почве	2	5
70	не есть	3	5
71	вместе с	4	5
72	в течение	2	5
73	а не	2	5
74	при том	4	4
75	этом случае	3	4
76	всяком случае	6	4
77	в котором	2	4
78	смотреть на	4	4
79	по отношению	2	4
80	не просто	2	4
81	и что	2	4
82	национальной культуры	13	4
83	а в	5	4
84	даже и	2	4
85	что он	6	4
86	еще не	3	4
87	в своей	5	4
88	это только	2	4
89	в виде	3	4
90	уже не	2	4
91	и для	6	4
92	и то	4	4
93	во всяком	9	4
94	в себе	9	4
95	и т.д	4	4
96	только с	2	4
97	он сам	3	3
98	зависит от	2	3
99	сама по	2	3
100	что это	3	3
101	и есть	2	3
102	в частности	2	3
103	в этих	2	3
104	в конце	3	3
105	а потому	5	3
106	к тому	7	3
107	что может	3	3
108	да и	3	3
109	в этой	4	3
110	что с	2	3
111	при этом	5	3
112	в ней	2	3
113	то это	3	3
114	к нему	2	3
115	на этой	2	3
116	из них	3	3
117	на том	3	3
118	в своем	6	3
119	все эти	2	3
120	и вот	2	3
121	так же	2	3
122	и на	5	3
123	культуры в	3	3
124	в результате	2	3
125	говорить о	3	3
126	в начале	2	3
127	тогда когда	4	3
128	нисколько не	2	3
129	если бы	6	3
130	и к	6	3
131	чтобы понять	2	3
132	связи с	3	3
133	так чтобы	3	3
134	одной из	3	3
135	что и	3	3
136	что же	4	3
137	на основании	2	3
138	как будто	2	3
139	данного народа	5	3
140	в области	2	3
141	будет в	2	2
142	должна быть	2	2
143	никогда не	5	2
144	тому что	2	2
145	для этого	3	2
146	точно так	2	2
147	это в	2	2
148	или иной	5	2
149	это есть	2	2
150	но это	2	2
151	несмотря на	3	2
152	значительной мере	2	2
153	не к	2	2
154	от того	4	2
155	не было	3	2
156	именно на	2	2
157	должно быть	3	2
158	а во-вторых	2	2
159	и те	2	2
160	и с	7	2
161	с этим	2	2
162	той или	3	2
163	народов и	2	2
164	могут не	2	2
165	конце концов	3	2
166	и должно	2	2
167	к культуре	2	2
168	культурной жизни	2	2
169	ни к	7	2
170	этого не	2	2
171	для них	3	2
172	вопросу о	3	2
173	по этому	2	2
174	состоит в	2	2
175	о которых	3	2
176	по существу	5	2
177	и при	6	2
178	во всех	5	2
179	мы должны	7	2
180	жизни и	4	2
181	мы уже	2	2
182	себе и	4	2
183	ни одна	3	2
184	том же	2	2
185	для нее	2	2
186	быть и	2	2
187	только на	2	2
188	и тогда	2	2
189	вряд ли	3	2
190	тогда как	2	2
191	и сейчас	3	2
192	деятельности и	2	2
193	в значительной	3	2
194	из которых	5	2
195	с точки	9	2
196	в силу	2	2
197	мы можем	2	2
198	время в	2	2
199	понять что	2	2
200	в другом	3	2
201	если же	2	2
202	идет речь	4	2
203	одна из	3	2
