N	2gram	Ircho_Kome_1	Psycholo
1	и в	22	38
2	то что	2	35
3	в том	11	25
4	в самом	2	25
5	что в	6	20
6	может быть	9	19
7	на то	3	16
8	точки зрения	4	16
9	том что	12	14
10	и т	9	14
11	потому что	5	14
12	в этой	7	13
13	в этом	3	13
14	было бы	2	12
15	не только	10	12
16	таким образом	8	12
17	не в	6	12
18	что он	6	11
19	в сущности	2	10
20	то же	6	10
21	же самое	2	10
22	и не	8	10
23	и все	3	10
24	о которых	5	9
25	все же	3	8
26	в одном	8	8
27	вовсе не	2	8
28	как и	9	8
29	и как	3	8
30	как раз	3	8
31	с другой	5	7
32	мы можем	4	7
33	не может	2	7
34	что у	2	7
35	как мы	4	7
36	а в	6	7
37	между тем	5	7
38	из них	10	6
39	и здесь	2	6
40	к тому	6	6
41	мы видели	2	6
42	до сих	2	6
43	один из	5	6
44	в котором	4	6
45	указывает на	2	6
46	он не	3	6
47	которых мы	2	6
48	с одной	3	6
49	так как	4	6
50	как это	3	6
51	и его	8	6
52	и на	3	6
53	о том	8	6
54	ясно что	4	6
55	казалось бы	3	5
56	на этом	2	5
57	одной стороны	3	5
58	несмотря на	4	5
59	вместе с	2	5
60	но и	11	5
61	сих пор	2	5
62	другой стороны	5	5
63	т п	5	5
64	или в	2	5
65	действующих лиц	4	5
66	мы не	3	5
67	в другом	4	5
68	в его	5	5
69	в которой	6	5
70	идет о	3	4
71	в тех	3	4
72	что они	4	4
73	в свою	2	4
74	по своему	3	4
75	при этом	5	4
76	речь идет	3	4
77	не мог	3	4
78	в нем	4	4
79	что и	4	4
80	ее в	2	4
81	раз в	2	4
82	в целом	3	4
83	как в	5	4
84	т д	4	4
85	в течение	3	4
86	здесь мы	3	4
87	из которых	2	4
88	и даже	5	4
89	время как	4	4
90	в своих	2	4
91	у него	3	4
92	только в	3	4
93	как будто	2	4
94	одна из	2	4
95	в себе	2	4
96	место в	3	3
97	первой половине	2	3
98	в них	3	3
99	главным образом	3	3
100	к этому	4	3
101	ни в	6	3
102	он был	2	3
103	но это	2	3
104	совсем не	2	3
105	того же	2	3
106	тот же	3	3
107	наряду с	2	3
108	и о	3	3
109	не к	2	3
110	все это	5	3
111	то и	2	3
112	сам автор	2	3
113	и тем	2	3
114	где он	2	3
115	из всех	2	3
116	того как	3	3
117	тем что	4	3
118	в то	10	3
119	его в	3	3
120	едва ли	7	3
121	что по	2	3
122	но в	4	3
123	одного из	6	2
124	наш поэт	2	2
125	все более	3	2
126	и одновременно	3	2
127	столь же	2	2
128	и во	2	2
129	во всяком	2	2
130	на всю	3	2
131	и ее	3	2
132	только что	2	2
133	же в	4	2
134	самого конца	2	2
135	до конца	2	2
136	у нас	3	2
137	в силу	2	2
138	такой же	2	2
139	из всего	2	2
140	аналогии с	2	2
141	то время	5	2
142	здесь в	3	2
143	ли это	2	2
144	со своей	2	2
145	на те	2	2
146	в первой	2	2
147	но он	2	2
148	большей частью	2	2
149	к ней	2	2
150	всяком случае	2	2
151	для этого	2	2
152	с ее	2	2
153	со стороны	2	2
154	всего этого	2	2
155	так же	3	2
156	в виде	3	2
157	должны были	8	2
158	еще и	2	2
159	до самого	2	2
160	и вот	4	2
161	для всех	2	2
162	и по	6	2
163	мы найдем	2	2
164	в качестве	4	2
165	в конце	6	2
166	нельзя не	2	2
167	в истории	5	2
168	из своей	2	2
169	ничего не	3	2
