N	2gram	Bakhtin_sl_1	Hudozhes
1	в качестве	3	19
2	то есть	26	18
3	и не	16	16
4	в том	3	15
5	и в	41	15
6	не только	16	15
7	в частности	2	13
8	может быть	14	13
9	при этом	6	12
10	а в	6	12
11	и его	14	12
12	но не	2	11
13	в этом	12	11
14	в себе	3	11
15	как бы	12	10
16	но и	16	10
17	так и	11	10
18	то же	14	10
19	а не	15	10
20	такого рода	2	9
21	в его	13	9
22	точки зрения	16	9
23	себя в	9	8
24	с другой	5	7
25	или иной	9	7
26	внутренней речи	3	7
27	в то	14	7
28	но в	8	7
29	в основе	5	6
30	с его	4	6
31	в ее	2	6
32	том что	2	6
33	не в	7	6
34	же время	12	6
35	отношение к	7	6
36	не может	14	6
37	могут быть	19	5
38	можно сказать	2	5
39	а также	2	5
40	только в	6	5
41	в самом	5	5
42	того что	3	5
43	не предполагает	2	5
44	той или	9	5
45	в нем	30	5
46	с ее	4	5
47	и одновременно	2	5
48	между ними	2	5
49	или менее	3	5
50	другой стороны	4	5
51	в их	4	5
52	уже не	2	5
53	более или	3	5
54	а на	2	4
55	в этих	2	4
56	прежде всего	8	4
57	к тому	3	4
58	в другом	2	4
59	для него	3	4
60	еще не	4	4
61	например в	2	4
62	хотя и	2	4
63	он не	3	4
64	и тем	2	4
65	в своей	7	4
66	как к	2	4
67	входит в	4	4
68	в слове	7	4
69	и то	2	4
70	сказать что	2	4
71	между тем	2	4
72	произведения как	3	3
73	в отношении	6	3
74	это не	6	3
75	или иного	2	3
76	и к	5	3
77	в пределах	14	3
78	по своему	2	3
79	того же	6	3
80	в свою	3	3
81	одно и	2	3
82	того или	2	3
83	как раз	2	3
84	далеко не	5	3
85	к нему	5	3
86	в целом	2	3
87	так в	2	3
88	не на	5	3
89	таким образом	9	3
90	как и	4	3
91	в той	10	3
92	лишь в	4	3
93	с точки	8	3
94	и для	4	3
95	потому что	2	3
96	автора и	4	3
97	но он	2	3
98	и ее	3	3
99	в данном	3	3
100	его в	3	3
101	в которой	4	3
102	слова в	8	2
103	на этом	2	2
104	том и	2	2
105	в контексте	2	2
106	тому что	2	2
107	в своем	3	2
108	в них	6	2
109	или даже	2	2
110	не как	4	2
111	в одном	2	2
112	вовсе не	7	2
113	для понимания	2	2
114	роль в	2	2
115	к своему	6	2
116	данный момент	4	2
117	одна из	2	2
118	свою очередь	2	2
119	одной стороны	4	2
120	и сам	3	2
121	за пределы	4	2
122	во всех	17	2
123	и о	2	2
124	одной из	3	2
125	и потому	4	2
126	за пределами	2	2
127	на почве	4	2
128	даже в	2	2
129	не является	2	2
130	оно не	6	2
131	не могло	3	2
132	и др	14	2
133	по преимуществу	4	2
134	дело не	2	2
135	как в	8	2
136	или напротив	2	2
137	слова как	6	2
138	здесь не	2	2
139	в романе	21	2
140	а с	2	2
141	с одной	4	2
142	именно в	3	2
143	все эти	9	2
144	до известной	2	2
145	для того	2	2
146	и по	2	2
147	или в	8	2
148	высказывания и	2	2
149	так же	2	2
150	с ним	7	2
151	с другими	5	2
152	высказывания не	2	2
153	и на	14	2
154	у него	3	2
155	языка в	16	2
156	с языком	2	2
157	известной степени	4	2
158	отношении к	6	2
159	о том	3	2
160	жизни но	2	2
161	из этого	3	2
