N	2gram	Voloshinov_1	VerxiiNi
1	и в	38	26
2	таким образом	7	22
3	с тем	8	18
4	вместе с	5	15
5	в этом	10	15
6	точки зрения	10	13
7	как бы	28	12
8	в том	2	11
9	может быть	13	10
10	не только	27	10
11	и с	5	10
12	связи с	3	9
13	но и	13	9
14	в области	5	9
15	так как	7	9
16	главным образом	3	8
17	но не	2	8
18	и не	14	8
19	связанные с	2	7
20	том что	3	7
21	но все	4	7
22	из них	3	7
23	к нему	2	7
24	то что	8	7
25	а с	5	7
26	потому что	5	7
27	но в	5	7
28	в конце	6	6
29	к тому	4	6
30	и потому	2	6
31	несмотря на	2	6
32	что и	3	6
33	все же	7	6
34	так и	6	6
35	все это	4	6
36	в отношении	2	6
37	все эти	2	6
38	с точки	5	6
39	в себе	9	6
40	мы должны	10	6
41	и т.д	21	6
42	о том	4	6
43	и к	4	5
44	тому же	2	5
45	отношение к	2	5
46	одной из	2	5
47	в его	6	5
48	никогда не	7	5
49	сих пор	2	5
50	так же	4	5
51	лишь в	4	5
52	а не	6	5
53	того чтобы	7	5
54	для того	9	5
55	и для	3	5
56	в мире	2	5
57	в этих	2	4
58	и от	7	4
59	в так	2	4
60	что он	2	4
61	в нем	4	4
62	из которых	3	4
63	в самом	4	4
64	в котором	3	4
65	целый ряд	3	4
66	не может	12	4
67	а в	5	4
68	то же	14	4
69	что оно	3	4
70	и тогда	2	4
71	с другими	2	4
72	в которых	2	4
73	он не	2	4
74	в то	9	4
75	только в	6	4
76	то есть	4	4
77	в этой	6	4
78	что это	4	3
79	если бы	4	3
80	подойти к	2	3
81	хотя бы	18	3
82	к этому	2	3
83	ясно что	2	3
84	можно сказать	4	3
85	для него	3	3
86	с самого	4	3
87	и как	9	3
88	и при	2	3
89	представляет собой	2	3
90	так называемые	4	3
91	в качестве	4	3
92	и нет	2	3
93	к достижению	2	3
94	с ней	2	3
95	в связи	2	3
96	при этом	9	3
97	уже не	4	3
98	в значительной	2	3
99	того что	4	3
100	и даже	3	3
101	в которой	7	3
102	у них	2	3
103	что эти	2	3
104	конце концов	3	3
105	в одном	3	3
106	уже в	5	2
107	или иное	4	2
108	самого начала	4	2
109	с его	7	2
110	связанных с	3	2
111	связанный с	2	2
112	но при	3	2
113	прежде всего	21	2
114	так называемой	4	2
115	не всегда	2	2
116	в свою	6	2
117	или иной	4	2
118	оно является	2	2
119	и здесь	3	2
120	мы видели	5	2
121	в начале	3	2
122	должна была	2	2
123	что именно	3	2
124	по своему	3	2
125	же время	7	2
126	ни один	2	2
127	связано с	2	2
128	что мы	11	2
129	тот же	2	2
130	еще не	3	2
131	и больше	2	2
132	конечно не	3	2
133	для всех	2	2
134	должно было	3	2
135	той или	3	2
136	и является	5	2
137	один из	4	2
138	не с	3	2
139	не к	3	2
140	жизни и	3	2
141	то или	4	2
142	во всех	6	2
143	в процессе	6	2
144	связь с	2	2
145	заключает в	4	2
146	в разных	3	2
147	не было	2	2
148	если не	3	2
149	этом отношении	2	2
150	те же	4	2
151	мы имеем	2	2
152	его не	2	2
153	либо в	2	2
154	и на	6	2
155	сказать что	3	2
156	не в	6	2
157	мы можем	7	2
158	и наконец	5	2
159	тем и	2	2
160	для каждого	2	2
161	по своей	2	2
162	ее с	2	2
163	же самое	5	2
164	и все	4	2
165	и это	7	2
166	которые в	2	2
167	относится к	2	2
168	между тем	3	2
169	в виду	3	2
