N	2gram	Ircho_Kome_3	VerxiiNi
1	и в	22	26
2	таким образом	12	22
3	с тем	4	18
4	вместе с	9	15
5	в этом	8	15
6	точки зрения	4	13
7	как бы	3	12
8	в том	12	11
9	может быть	6	10
10	не только	5	10
11	и с	4	10
12	связи с	5	9
13	что в	5	9
14	но и	4	9
15	в области	2	9
16	так как	11	9
17	с другой	4	8
18	и не	21	8
19	том что	13	7
20	но все	4	7
21	одной стороны	3	7
22	из них	5	7
23	к нему	5	7
24	то что	4	7
25	в эпоху	2	7
26	с одной	3	7
27	потому что	10	7
28	но в	5	7
29	в конце	7	6
30	представление о	2	6
31	к тому	6	6
32	того же	6	6
33	несмотря на	4	6
34	всяком случае	3	6
35	что и	8	6
36	все же	4	6
37	так и	4	6
38	все это	5	6
39	в отношении	4	6
40	с точки	3	6
41	во всяком	3	6
42	в себе	4	6
43	о том	8	6
44	и к	3	5
45	тому же	6	5
46	отношение к	5	5
47	до сих	9	5
48	одной из	3	5
49	в его	8	5
50	никогда не	3	5
51	сих пор	9	5
52	так же	4	5
53	а не	4	5
54	того чтобы	6	5
55	для того	6	5
56	не имеет	3	5
57	в силу	2	5
58	и для	4	5
59	в мире	2	5
60	должен был	4	4
61	что он	8	4
62	в нем	3	4
63	из которых	2	4
64	в самом	9	4
65	в котором	2	4
66	целый ряд	2	4
67	не может	3	4
68	а в	7	4
69	то же	7	4
70	в течение	3	4
71	и что	6	4
72	на этот	3	4
73	с другими	2	4
74	в которых	5	4
75	ничем не	4	4
76	во время	6	4
77	он не	5	4
78	в то	6	4
79	в этой	3	4
80	далеко не	3	4
81	не менее	5	3
82	если бы	8	3
83	так или	2	3
84	хотя бы	4	3
85	к этому	6	3
86	ясно что	6	3
87	с самого	4	3
88	так что	6	3
89	из всех	2	3
90	представляет собой	3	3
91	в своем	8	3
92	в качестве	2	3
93	и если	2	3
94	и о	2	3
95	к ним	3	3
96	тем не	3	3
97	к концу	2	3
98	отношению к	3	3
99	когда он	4	3
100	в связи	4	3
101	при этом	7	3
102	и даже	3	3
103	в которой	3	3
104	в таком	2	3
105	или иначе	2	3
106	с этой	3	3
107	в результате	2	3
108	конце концов	2	3
109	в других	3	3
110	в одном	2	3
111	уже в	2	2
112	не могут	2	2
113	самого начала	4	2
114	с его	3	2
115	ни было	2	2
116	состоит в	2	2
117	из себя	3	2
118	в них	3	2
119	сравнению с	2	2
120	по тому	2	2
121	только для	2	2
122	и особенно	2	2
123	не как	2	2
124	но при	2	2
125	в образе	2	2
126	прежде всего	5	2
127	в свою	7	2
128	на то	3	2
129	тех пор	3	2
130	а также	2	2
131	и здесь	4	2
132	к одной	2	2
133	его от	2	2
134	по существу	2	2
135	то ни	3	2
136	в начале	3	2
137	по своему	3	2
138	все что	3	2
139	же время	5	2
140	что мы	2	2
141	тот же	2	2
142	еще не	6	2
143	конечно не	3	2
144	вплоть до	2	2
145	должно было	3	2
146	но если	3	2
147	один из	3	2
148	не с	2	2
149	бы то	2	2
150	во всех	2	2
151	приводит к	3	2
152	только что	7	2
153	не было	2	2
154	если не	3	2
155	этом отношении	2	2
156	одним из	2	2
157	его не	2	2
158	либо в	4	2
159	в глазах	8	2
160	из этой	2	2
161	и на	2	2
162	людей и	2	2
163	больше чем	2	2
164	не в	4	2
165	мы можем	3	2
166	по сравнению	2	2
167	не могла	3	2
168	и после	2	2
169	же самое	3	2
170	от людей	2	2
171	и все	2	2
172	и это	2	2
173	из этого	2	2
174	между тем	2	2
175	в виду	2	2
