N	2gram	Tiupa_Hudo_1	Literetu
1	и не	15	22
2	тогда как	13	17
3	и в	19	16
4	в мире	21	16
5	при этом	13	15
6	не только	16	14
7	но и	10	14
8	в этом	11	14
9	а не	9	12
10	то что	4	12
11	может быть	14	12
12	в том	18	12
13	в частности	13	11
14	хх века	2	11
15	не в	7	10
16	такого рода	10	10
17	своего рода	5	10
18	я и	7	10
19	то же	10	9
20	так и	11	9
21	того что	4	9
22	в то	6	9
23	в жизни	2	8
24	том что	8	8
25	не может	7	8
26	в этой	2	8
27	как бы	9	8
28	эстетического субъекта	3	7
29	в своей	5	7
30	же время	5	7
31	себя в	7	7
32	со стороны	2	7
33	тем самым	4	7
34	точки зрения	10	7
35	я в	11	7
36	только в	5	7
37	лирического героя	2	7
38	по мысли	2	6
39	с его	6	6
40	причастности к	2	6
41	состоит в	16	6
42	с другой	7	6
43	произведение искусства	8	6
44	в стихотворении	3	6
45	к тому	4	6
46	эстетического объекта	4	6
47	еще не	3	6
48	в его	9	6
49	и т.п	4	6
50	и его	12	6
51	в себе	9	6
52	в другом	3	6
53	о том	2	6
54	присутствия в	8	6
55	в качестве	24	5
56	это не	2	5
57	в году	2	5
58	что он	3	5
59	в ее	5	5
60	субъекта и	3	5
61	как и	2	5
62	лишь в	4	5
63	особого рода	5	5
64	в целом	3	5
65	как в	2	5
66	а именно	2	5
67	в отличие	7	5
68	а в	12	5
69	лирический герой	5	5
70	именно в	2	5
71	всего лишь	4	5
72	коммуникативного события	2	5
73	в основе	4	5
74	то есть	18	5
75	отличие от	7	5
76	место в	4	4
77	но не	11	4
78	в рамках	8	4
79	никогда не	2	4
80	однако в	4	4
81	даже в	3	4
82	перед лицом	3	4
83	одной стороны	2	4
84	и для	2	4
85	хотя и	3	4
86	отношению к	9	4
87	коммуникативное событие	2	4
88	в тексте	9	4
89	по отношению	9	4
90	жизни в	2	4
91	входит в	4	4
92	я как	2	4
93	с одной	2	4
94	а также	5	4
95	в данном	4	4
96	одно из	2	4
97	в одном	2	4
98	ни к	2	3
99	том числе	2	3
100	личности в	4	3
101	отнюдь не	2	3
102	прежде всего	4	3
103	личности с	2	3
104	в романе	3	3
105	и как	3	3
106	то в	2	3
107	о чем	2	3
108	мира в	2	3
109	например в	3	3
110	и к	3	3
111	в самом	5	3
112	в сторону	2	3
113	однако если	2	3
114	в слове	3	3
115	я с	5	3
116	и тем	2	3
117	для которого	2	3
118	с ее	5	3
119	уже не	4	3
120	говоря словами	5	3
121	с точки	3	3
122	эстетический объект	4	3
123	не случайно	3	3
124	потому что	3	3
125	самим собой	4	3
126	по своей	7	3
127	как это	5	3
128	отношения к	2	3
129	в области	6	3
130	но в	7	3
131	между тем	4	3
132	в противоположность	3	2
133	художественного произведения	3	2
134	что в	6	2
135	не менее	3	2
136	если бы	3	2
137	так или	3	2
138	по большей	2	2
139	и одновременно	5	2
140	а.н веселовского	2	2
141	другого я	2	2
142	не как	2	2
143	я не	2	2
144	нас самих	2	2
145	по себе	2	2
146	большей части	2	2
147	этого текста	2	2
148	или иной	7	2
149	в нем	5	2
150	и ее	3	2
151	всякий раз	2	2
152	субъекта жизни	2	2
153	и адресата	2	2
154	художественного творчества	4	2
155	а на	5	2
156	того же	2	2
157	во втором	4	2
158	эстетической деятельности	2	2
159	в свою	3	2
160	для него	4	2
161	можно сказать	5	2
162	во всех	3	2
163	от себя	3	2
164	той или	4	2
165	себя и	2	2
166	не вполне	2	2
167	к жизни	2	2
168	для себя	2	2
169	один из	2	2
170	еще один	2	2
171	субъект и	2	2
172	не с	2	2
173	что и	2	2
174	отношение к	5	2
175	во всей	3	2
176	так же	2	2
177	как раз	3	2
178	для такого	2	2
179	объекта и	3	2
180	того чтобы	2	2
181	для того	2	2
182	в принципе	5	2
183	другой стороны	5	2
184	жизни как	3	2
185	право на	2	2
186	своей жизни	2	2
187	или иначе	4	2
188	и на	2	2
189	автора и	3	2
190	эстетического отношения	11	2
191	далеко не	2	2
192	представляет собой	10	2
193	не знает	3	2
194	его в	2	2
195	и потому	2	2
196	здесь не	2	2
197	мира и	2	2
198	ее в	2	2
199	для меня	2	2
