N	2gram	Trubetskoy_1	Mirosoze
1	и в	26	46
2	в нем	4	22
3	может быть	10	21
4	в этом	15	20
5	никогда не	5	18
6	для него	3	18
7	и не	8	18
8	не только	10	18
9	но и	9	15
10	не может	4	15
11	а не	5	13
12	прежде всего	2	12
13	потому что	7	12
14	не было	2	11
15	но в	7	10
16	он не	4	10
17	в себе	6	10
18	не в	2	9
19	как бы	12	8
20	в своем	3	8
21	так как	9	8
22	отношение к	5	8
23	связана с	2	7
24	в мире	5	7
25	в этой	4	7
26	что он	4	7
27	и к	5	7
28	и потому	6	7
29	хотя бы	3	7
30	и для	5	7
31	что это	3	6
32	так же	5	6
33	того что	3	6
34	и здесь	2	6
35	жизни и	2	6
36	то же	4	5
37	в отношении	6	5
38	что все	4	5
39	в самом	4	5
40	один из	2	5
41	добра и	2	5
42	те же	2	5
43	в конце	6	5
44	и все	2	5
45	бога и	4	5
46	к тому	6	5
47	к другу	2	5
48	то что	7	5
49	для того	5	5
50	в его	5	5
51	и это	2	5
52	русский народ	3	5
53	что в	9	4
54	для этого	2	4
55	все что	2	4
56	не имеет	5	4
57	в русском	2	4
58	с его	2	4
59	в свою	2	4
60	том что	7	4
61	что и	6	4
62	так и	6	4
63	уже не	3	4
64	того чтобы	5	4
65	у них	3	4
66	же как	3	3
67	и от	4	3
68	в образе	2	3
69	на все	2	3
70	в том	11	3
71	и нет	3	3
72	и перед	2	3
73	и на	2	3
74	людей и	2	3
75	сказать что	2	3
76	и с	10	3
77	по своей	2	3
78	о том	6	3
79	в россии	2	3
80	к которому	2	3
81	если бы	3	3
82	в них	2	3
83	связано с	2	3
84	до сих	5	3
85	сих пор	5	3
86	и тогда	4	3
87	он в	2	3
88	только в	4	3
89	уже в	2	2
90	в этих	4	2
91	человек должен	2	2
92	и мир	2	2
93	не всегда	2	2
94	или иной	2	2
95	так что	3	2
96	и если	3	2
97	к нему	7	2
98	за друга	3	2
99	не к	2	2
100	и люди	2	2
101	в разных	2	2
102	у всех	2	2
103	лишь в	5	2
104	его не	2	2
105	а в	4	2
106	и те	3	2
107	точки зрения	13	2
108	друг за	3	2
109	между тем	2	2
110	к богу	3	2
111	превращается в	2	2
112	но когда	2	2
113	тогда когда	2	2
114	связи с	9	2
115	и что	4	2
116	тот же	2	2
117	мысль о	2	2
118	во всех	2	2
119	отношению к	3	2
120	вместе с	15	2
121	быть и	2	2
122	но с	3	2
123	из этой	2	2
124	когда человек	2	2
125	богу и	2	2
126	которые в	2	2
127	в которой	3	2
