N	2gram	Trubetskoy_1	DiskursI
1	в себе	9	19
2	при этом	5	17
3	состоит в	2	16
4	в качестве	3	16
5	и в	14	16
6	может быть	9	16
7	как и	4	16
8	в этом	17	16
9	и не	19	15
10	а не	2	14
11	в частности	2	12
12	в мире	4	11
13	но и	10	11
14	тогда как	2	11
15	но в	2	11
16	том что	9	10
17	не только	9	10
18	со стороны	4	10
19	не может	22	9
20	в том	17	8
21	прежде всего	8	7
22	в нем	5	7
23	ни в	2	7
24	но не	4	7
25	в данном	7	7
26	отнюдь не	7	6
27	себя в	4	6
28	еще не	3	6
29	все же	4	6
30	в своей	5	6
31	данном случае	3	6
32	то же	11	6
33	тем самым	2	6
34	в своих	6	6
35	ни к	7	5
36	а с	2	5
37	что в	4	5
38	в своем	6	5
39	же время	10	5
40	для него	6	5
41	то что	13	5
42	и на	5	5
43	в то	10	5
44	как бы	4	4
45	по отношению	2	4
46	потому что	5	4
47	точки зрения	11	4
48	в этой	4	4
49	и то	4	4
50	о том	7	4
51	жизни в	5	3
52	в этих	2	3
53	из этих	3	3
54	или иной	5	3
55	уже не	2	3
56	и как	3	3
57	не в	4	3
58	он не	5	3
59	той или	3	3
60	в его	4	3
61	в котором	2	3
62	проявляется в	2	3
63	из них	3	3
64	жизни и	4	3
65	но она	2	3
66	приводит к	4	3
67	не было	3	3
68	все эти	2	3
69	и наконец	2	3
70	как на	8	3
71	но это	2	3
72	в другом	3	3
73	как будто	2	3
74	только в	5	3
75	его в	4	3
76	место в	2	2
77	никогда не	5	2
78	не подлежит	2	2
79	в большинстве	3	2
80	это в	2	2
81	или иного	2	2
82	этом случае	3	2
83	к которой	6	2
84	этот человек	2	2
85	что он	6	2
86	является не	2	2
87	должна быть	2	2
88	в ней	2	2
89	на почве	2	2
90	для себя	2	2
91	что и	3	2
92	с точки	9	2
93	не к	2	2
94	время в	2	2
95	вместе с	4	2
96	что же	4	2
97	при котором	3	2
98	именно в	3	2
99	и состоит	2	2
100	сводится к	3	2
101	все это	6	2
102	и для	6	2
103	должно быть	3	2
104	а в	5	2
105	в результате	2	2
106	их в	2	2
107	и с	7	2
108	не о	2	2
109	говорить о	3	2
110	в области	2	2
111	между тем	5	2
