N	2gram	Tiupa_Narr_1	Mirosoze
1	может быть	15	30
2	не только	31	29
3	и в	11	28
4	не может	8	28
5	но и	27	25
6	а не	13	25
7	он не	3	24
8	в этом	12	20
9	не было	3	18
10	у него	7	17
11	не в	6	16
12	потому что	5	16
13	в ней	4	15
14	в своей	5	15
15	никогда не	4	14
16	до конца	2	14
17	в нем	4	13
18	человека в	2	13
19	и он	6	12
20	для него	4	11
21	в самом	6	11
22	и не	23	11
23	что в	3	10
24	в своем	3	10
25	в мире	4	10
26	прежде всего	4	10
27	и все	3	10
28	что он	3	10
29	в его	6	9
30	и его	10	9
31	но не	4	8
32	того что	4	7
33	в конце	2	7
34	но в	7	7
35	к нему	4	7
36	в себе	6	7
37	он сам	3	6
38	в том	8	6
39	в этой	6	6
40	лишь в	3	6
41	и на	5	6
42	он уже	2	6
43	вместе с	2	6
44	только в	12	6
45	это не	3	5
46	у нас	3	5
47	как и	13	5
48	то что	9	5
49	в этих	2	4
50	а в	13	4
51	точки зрения	5	4
52	один из	6	4
53	она не	2	4
54	уже не	8	4
55	и вот	2	3
56	к тому	6	3
57	не мог	6	3
58	заключает в	2	3
59	не имеет	2	3
60	особенно в	2	3
61	и еще	2	3
62	то есть	9	3
63	и с	3	3
64	с его	4	3
65	для них	2	3
66	в жизни	3	3
67	том что	7	3
68	ничего не	2	3
69	себя в	2	3
70	хотя бы	2	3
71	по своему	2	2
72	и от	2	2
73	о своей	2	2
74	в свою	2	2
75	о чем	4	2
76	для того	3	2
77	истории в	4	2
78	жизни и	6	2
79	по отношению	3	2
80	быть не	3	2
81	также и	3	2
82	сказать что	2	2
83	он и	2	2
84	в начале	3	2
85	как бы	6	2
86	о том	4	2
87	с ним	2	2
88	не существует	3	2
89	человеческого сознания	2	2
90	если бы	7	2
91	жизни в	2	2
92	отношению к	3	2
93	в то	4	2
94	все что	2	2
95	как будто	3	2
96	до сих	2	2
97	о нем	3	2
98	еще в	3	2
99	все же	4	2
100	истории он	2	2
101	сих пор	2	2
102	как в	4	2
103	и сама	2	2
104	человеческой жизни	2	2
105	она может	2	2
106	в центре	3	2
107	входит в	2	2
108	в той	2	2
109	того чтобы	4	2
110	к чему	3	2
111	и как	3	2
112	и для	2	2
113	на протяжении	7	2
