N	2gram	Voloshinov_1	Formalny
1	и не	14	30
2	вовсе не	2	28
3	и в	38	27
4	может быть	13	25
5	не может	12	24
6	так и	6	21
7	и его	7	19
8	таким образом	7	18
9	в этом	10	18
10	а не	6	17
11	точки зрения	10	16
12	самом деле	4	16
13	и пр	4	15
14	в нем	4	15
15	в процессе	6	15
16	то же	14	15
17	между ними	3	15
18	на самом	3	14
19	как и	10	14
20	с точки	5	14
21	не в	6	12
22	если бы	4	12
23	и от	7	11
24	в самом	4	11
25	в жизни	2	11
26	место в	2	10
27	но и	13	10
28	лишь в	4	9
29	так как	7	9
30	не только	27	9
31	так же	4	9
32	социального общения	14	9
33	при этом	9	8
34	как бы	28	8
35	с помощью	6	8
36	отнюдь не	10	8
37	и все	4	8
38	то что	8	8
39	как мы	9	8
40	только в	6	8
41	в том	2	7
42	же время	7	7
43	все это	4	7
44	потому что	5	7
45	в то	9	7
46	его в	4	7
47	между тем	3	7
48	с тем	8	7
49	для них	2	7
50	совершенно не	3	7
51	в его	6	7
52	если мы	4	7
53	тем же	3	7
54	все время	5	6
55	все эти	2	6
56	в своих	2	6
57	бы в	5	6
58	но в	5	6
59	что он	2	6
60	еще не	3	6
61	было бы	7	6
62	все же	7	6
63	в своей	2	6
64	хотя бы	18	6
65	и для	3	6
66	вместе с	5	6
67	независимо от	5	5
68	никогда не	7	5
69	что именно	3	5
70	зависимости от	5	5
71	войти в	2	5
72	в дальнейшем	2	5
73	того чтобы	7	5
74	не является	5	5
75	и их	5	5
76	высказывания и	3	5
77	друг друга	2	5
78	в ней	8	5
79	в зависимости	5	5
80	но не	2	5
81	высказывание как	2	5
82	и потому	2	5
83	что же	8	5
84	тем что	2	5
85	связи с	3	5
86	так сказать	4	5
87	уже в	5	4
88	прежде всего	21	4
89	к тому	4	4
90	да и	4	4
91	и как	9	4
92	для того	9	4
93	и является	5	4
94	быть понято	2	4
95	мы видели	5	4
96	в целом	4	4
97	жизни и	3	4
98	в связи	2	4
99	но ведь	6	4
100	о том	4	4
101	как это	5	4
102	мы можем	7	4
103	между собой	2	4
104	в ее	3	4
105	том что	3	4
106	социальной жизни	2	4
107	слов и	7	4
108	конечно не	3	4
109	как в	2	4
110	только на	3	4
111	роль в	3	4
112	в слове	3	4
113	мы не	9	4
114	связь между	2	4
115	слова и	5	4
116	бы и	2	3
117	что это	4	3
118	в этих	2	3
119	его и	3	3
120	тому что	5	3
121	в какой	2	3
122	это не	3	3
123	в конце	6	3
124	те же	4	3
125	вследствие этого	2	3
126	можно сказать	4	3
127	литературное произведение	2	3
128	как таковой	3	3
129	для нас	3	3
130	того что	4	3
131	в виду	3	3
132	и тем	6	3
133	этот процесс	2	3
134	слово как	7	3
135	той же	5	3
136	этом отношении	2	3
137	высказывания как	3	3
138	в которых	2	3
139	и на	6	3
140	их в	3	3
141	сказать что	3	3
142	и с	5	3
143	в основе	2	3
144	и выбор	4	3
145	и следовательно	5	3
146	нуждается в	2	3
147	всякое высказывание	3	3
148	ясно что	2	3
149	у нас	4	3
150	равно как	2	3
151	же самое	5	3
152	мы уже	10	3
153	во всех	6	3
154	нет и	3	3
155	в той	5	3
156	уже не	4	3
157	в конструкции	3	3
158	и эта	3	3
159	то мы	3	3
160	то он	3	3
161	в себе	9	3
162	может стать	2	3
163	или иное	4	2
164	а на	2	2
165	друг другу	2	2
166	в отношении	2	2
167	главным образом	3	2
168	содержание и	3	2
169	или иной	4	2
170	но это	2	2
171	в этой	6	2
172	очевидно что	2	2
173	художественного творчества	5	2
174	общения и	4	2
175	внутренняя речь	5	2
176	но для	3	2
177	в котором	3	2
178	из них	3	2
179	вошел в	2	2
180	от того	3	2
181	допустим что	2	2
182	в нас	2	2
183	и содержание	2	2
184	отношения к	3	2
185	но эта	2	2
186	у них	2	2
187	ведь если	2	2
188	и даже	3	2
189	одной и	2	2
190	увидим что	2	2
191	необходимо чтобы	3	2
192	целого произведения	2	2
193	не останется	2	2
194	конце концов	3	2
195	свое выражение	2	2
196	слово в	2	2
197	в кругозор	2	2
198	с его	7	2
199	видели что	3	2
200	смысле этого	2	2
201	однако в	2	2
202	но при	3	2
203	к этому	2	2
204	высказывания его	2	2
205	высказывания но	5	2
206	а к	2	2
207	и тогда	2	2
208	материалом и	2	2
209	связано с	2	2
210	ту или	3	2
211	мы увидим	5	2
212	мы должны	10	2
213	в данной	3	2
214	одной из	2	2
215	мы ни	3	2
216	этого слова	3	2
217	должен быть	2	2
218	что и	3	2
219	так называемые	4	2
220	как не	2	2
221	внутренней речи	18	2
222	бы не	2	2
223	в точном	2	2
224	жанр и	2	2
225	социальной группы	3	2
226	человека в	2	2
227	то или	4	2
228	слова как	2	2
229	в каком	2	2
230	связаны с	4	2
231	и это	7	2
232	здесь не	2	2
233	в области	5	2
234	ничего не	8	2
