N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	29	41
2	таким образом	12	19
3	в этом	22	15
4	как и	12	14
5	в этой	4	13
6	то же	14	13
7	все эти	9	13
8	мы уже	2	12
9	в его	24	12
10	прежде всего	7	11
11	в том	8	11
12	как мы	4	11
13	в себе	7	11
14	так и	7	10
15	все это	6	10
16	в то	10	10
17	и его	14	9
18	не в	7	9
19	же время	9	9
20	но и	14	9
21	в своем	8	9
22	что в	8	9
23	в конце	6	8
24	и от	2	8
25	по существу	3	8
26	то что	15	8
27	но в	7	8
28	в них	3	7
29	вовсе не	7	7
30	в романе	9	7
31	как бы	19	7
32	в нем	19	7
33	и не	31	7
34	у него	5	6
35	это не	9	6
36	ни в	3	6
37	мы видим	2	6
38	для него	18	6
39	и до	3	6
40	только в	10	6
41	уже в	3	5
42	не только	15	5
43	и к	2	5
44	в ней	2	5
45	что и	4	5
46	как в	6	5
47	и у	3	5
48	а в	7	5
49	к нему	6	5
50	и для	4	5
51	так же	6	5
52	точки зрения	19	5
53	и это	5	5
54	потому что	8	5
55	в плане	5	5
56	из одного	4	4
57	но он	2	4
58	и здесь	3	4
59	том что	7	4
60	но все	5	4
61	одна из	3	4
62	все что	3	4
63	было бы	5	4
64	в сущности	5	4
65	может быть	24	4
66	он не	5	4
67	и наконец	4	4
68	мира и	7	4
69	должно быть	4	4
70	рядом с	14	4
71	и на	7	4
72	и с	4	4
73	конце концов	5	4
74	ничего не	5	4
75	мира в	5	4
76	поэтому и	4	3
77	я не	3	3
78	и есть	2	3
79	в отношении	2	3
80	и благодаря	2	3
81	нового времени	3	3
82	в одном	10	3
83	и потому	6	3
84	он может	3	3
85	его к	2	3
86	в мире	6	3
87	но это	4	3
88	в своей	8	3
89	есть и	2	3
90	кроме того	3	3
91	при этом	2	3
92	но именно	3	3
93	несмотря на	6	3
94	например в	3	3
95	все то	4	3
96	таким же	3	3
97	о нем	9	3
98	выражение в	6	3
99	что он	8	3
100	жизни и	2	3
101	в форме	7	3
102	в их	3	3
103	в свете	4	3
104	не может	12	3
105	не было	4	3
106	в той	2	3
107	с точки	13	3
108	той же	5	3
109	можно было	2	3
110	тем что	4	3
111	не на	4	3
112	не знает	3	3
113	его в	6	3
114	так сказать	4	3
115	так как	6	3
116	все его	3	3
117	он знает	3	2
118	перед нами	5	2
119	в человеке	3	2
120	с его	9	2
121	все время	2	2
122	ни было	2	2
123	в изображении	2	2
124	находит свое	2	2
125	именно в	5	2
126	и др	5	2
127	с начала	2	2
128	никогда не	3	2
129	и со	2	2
130	и во	2	2
131	в одной	6	2
132	с этим	2	2
133	же что	5	2
134	на самом	5	2
135	в дантовском	2	2
136	человека в	4	2
137	его целом	6	2
138	есть то	3	2
139	и ее	2	2
140	следовательно и	2	2
141	отношению к	8	2
142	и как	7	2
143	в построении	4	2
144	своего времени	2	2
145	точка зрения	12	2
146	в большинстве	2	2
147	в себя	3	2
148	до конца	8	2
149	отношение к	2	2
150	тот же	2	2
151	еще не	5	2
152	отсюда и	2	2
153	которые были	2	2
154	и самого	4	2
155	оно ни	2	2
156	все те	2	2
157	оно не	3	2
158	не есть	2	2
159	же в	2	2
160	начала и	2	2
161	благодаря этому	2	2
162	в первой	2	2
163	входят в	2	2
164	в процессе	4	2
165	во времени	3	2
166	во всей	2	2
167	по отношению	8	2
168	дантовском мире	3	2
169	весь этот	2	2
170	этом отношении	3	2
171	его как	4	2
172	находится в	2	2
173	а не	22	2
174	из которых	2	2
175	уже не	13	2
176	в данном	2	2
177	в результате	4	2
178	их в	4	2
179	во всяком	5	2
180	в литературе	4	2
181	в которых	2	2
182	во все	2	2
183	далеко не	3	2
184	большинстве случаев	2	2
185	бы в	3	2
186	в которой	2	2
187	с ним	5	2
188	нет ни	2	2
