N	2gram	Vygotskiy__2	Psycholo
1	то что	20	37
2	и в	15	30
3	в том	33	27
4	что в	14	24
5	и что	8	23
6	потому что	7	23
7	том что	27	21
8	все время	3	20
9	для того	10	20
10	таким образом	14	20
11	того чтобы	12	20
12	как бы	7	19
13	что он	12	17
14	на то	6	17
15	если мы	6	16
16	и мы	2	16
17	не только	15	16
18	в самом	11	14
19	в этом	19	14
20	так же	4	13
21	как раз	4	13
22	одной стороны	7	12
23	в сущности	9	12
24	вместе с	6	12
25	показать что	5	12
26	с одной	7	12
27	если бы	8	11
28	может быть	9	11
29	что мы	9	11
30	о том	9	10
31	никогда не	8	9
32	с другой	6	9
33	для этого	3	9
34	мы увидим	2	9
35	не может	9	9
36	увидим что	2	9
37	сказать что	6	9
38	так как	4	9
39	что это	6	8
40	мы имеем	3	8
41	он должен	2	8
42	к тому	7	8
43	не в	8	8
44	а не	3	8
45	при этом	3	8
46	того что	17	8
47	заключается в	8	8
48	самом деле	6	8
49	мы видим	4	8
50	могут быть	2	8
51	и это	3	8
52	на деле	5	8
53	этих двух	2	7
54	по себе	7	7
55	и как	2	7
56	зависимости от	6	7
57	но не	3	7
58	мы можем	10	7
59	все же	4	7
60	то же	5	7
61	точки зрения	26	7
62	как это	6	7
63	в основе	3	7
64	уже в	5	6
65	в зависимости	6	6
66	в своем	9	6
67	что она	3	6
68	именно в	2	6
69	как и	6	6
70	что если	2	6
71	что с	5	6
72	и тем	2	6
73	и для	2	6
74	но и	10	6
75	в совершенно	4	6
76	что все	4	6
77	что оно	4	6
78	и не	7	6
79	говорит что	5	6
80	и его	4	6
81	или в	3	6
82	тем что	2	6
83	мы уже	6	6
84	с и	4	5
85	и есть	2	5
86	по этому	6	5
87	эта теория	2	5
88	в целом	10	5
89	что именно	3	5
90	несмотря на	4	5
91	как мы	6	5
92	в этой	6	5
93	что они	3	5
94	было бы	10	5
95	указывает что	2	5
96	когда он	3	5
97	а с	4	5
98	в себе	2	5
99	но в	6	5
100	только в	4	5
101	же самое	2	5
102	как только	2	4
103	казалось бы	8	4
104	в результате	3	4
105	в частности	6	4
106	сравнению с	5	4
107	и все	3	4
108	этот вопрос	5	4
109	прежде всего	4	4
110	стороны и	2	4
111	мы могли	4	4
112	указывает на	2	4
113	с такой	2	4
114	и к	6	4
115	в своей	4	4
116	от того	2	4
117	в его	2	4
118	в них	4	4
119	как говорит	2	4
120	по сравнению	5	4
121	только что	3	4
122	этому поводу	3	4
123	а в	4	4
124	там где	6	4
125	из которых	3	4
126	действия и	3	4
127	на одном	2	4
128	могли бы	4	4
129	что эта	6	4
130	в виду	6	4
131	не можем	3	4
132	чем это	3	3
133	не существует	3	3
134	не могут	2	3
135	и составляет	2	3
136	у него	2	3
137	бы мы	2	3
138	думается что	2	3
139	что у	3	3
140	хотя бы	4	3
141	это не	5	3
142	из этих	4	3
143	состоит в	3	3
144	к этому	4	3
145	вовсе не	6	3
146	в учении	6	3
147	вопрос о	5	3
148	что на	2	3
149	для нас	4	3
150	об этом	3	3
151	мне кажется	2	3
152	это есть	2	3
153	что здесь	2	3
154	для него	3	3
155	тот же	7	3
156	когда она	2	3
157	друг с	2	3
158	он говорит	3	3
159	он не	7	3
160	самое важное	2	3
161	из двух	3	3
162	что и	2	3
163	ни в	2	3
164	данном случае	3	3
165	так и	8	3
166	со стороны	3	3
167	что при	3	3
168	как в	4	3
169	в их	2	3
170	есть нечто	2	3
171	и только	3	3
172	которое мы	3	3
173	этом отношении	3	3
174	по поводу	4	3
175	из того	4	3
176	с другом	2	3
177	на этот	6	3
178	целый ряд	2	3
179	той же	2	3
180	мы не	10	3
181	можно было	5	3
182	в силу	2	3
183	в данном	3	3
184	в другом	2	3
185	мы должны	6	3
186	что нам	4	3
187	в этих	2	3
188	полагает что	5	3
189	в которой	4	3
190	учения о	2	3
191	учении о	5	3
192	он является	2	2
193	с этой	2	2
194	перед нами	2	2
195	в отношении	6	2
196	говорили выше	2	2
197	с которой	2	2
198	с его	4	2
199	показали что	2	2
200	же как	2	2
201	связи с	9	2
202	он в	3	2
203	к которым	4	2
204	что между	2	2
205	понятно что	2	2
206	не является	9	2
207	в противоположность	2	2
208	отношения между	3	2
209	с этим	3	2
210	должны будем	2	2
211	в одном	2	2
212	этом смысле	2	2
213	видим в	2	2
214	или иной	2	2
215	с помощью	5	2
216	можно сказать	2	2
217	мы знаем	7	2
218	и можно	2	2
219	по существу	5	2
220	когда в	2	2
221	всякий раз	2	2
222	но все	2	2
223	каким образом	2	2
224	чем в	2	2
225	утверждает что	3	2
226	очевидно что	3	2
227	того же	3	2
228	не дает	2	2
229	от друга	2	2
230	и эта	2	2
231	следующим образом	2	2
232	том чтобы	4	2
233	очень хорошо	2	2
234	на том	2	2
235	той или	2	2
236	в качестве	4	2
237	о которых	3	2
238	в котором	2	2
239	нам думается	3	2
240	его с	2	2
241	должен быть	2	2
242	с таким	6	2
243	но мы	3	2
244	еще один	2	2
245	речь в	3	2
246	друг от	2	2
247	из них	3	2
248	во всех	2	2
249	и той	2	2
250	и до	3	2
251	находится в	2	2
252	все это	4	2
253	является то	2	2
254	по отношению	6	2
255	которых он	3	2
256	в отличие	3	2
257	будем иметь	2	2
258	того как	4	2
259	в течение	2	2
260	оба эти	2	2
261	все равно	2	2
262	которую мы	2	2
263	в себя	2	2
264	мы находим	6	2
265	приводит к	5	2
266	и другое	2	2
267	с точки	18	2
268	и даже	5	2
269	должно быть	2	2
270	с это	2	2
271	отличие от	3	2
272	этой теории	3	2
273	ничего не	3	2
274	в которых	3	2
275	с но	8	2
276	и с	4	2
277	говорит он	12	2
278	и самый	2	2
279	на которых	2	2
280	само по	2	2
281	это же	3	2
282	с мы	3	2
283	как например	2	2
284	во всем	2	2
285	ту же	2	2
286	с несомненностью	2	2
287	которые он	2	2
