N	2gram	Losev_Vesc_1	Freidism
1	таким образом	8	24
2	и не	29	23
3	не может	17	20
4	точки зрения	5	19
5	прежде всего	9	18
6	и пр	6	15
7	в этом	4	15
8	в его	2	15
9	это –	25	14
10	мы можем	4	13
11	может быть	16	13
12	и его	2	12
13	– в	5	11
14	как и	8	11
15	как бы	12	11
16	то что	27	11
17	все эти	3	11
18	с точки	3	11
19	и потому	5	10
20	так и	3	10
21	как мы	4	10
22	самом деле	4	10
23	его в	2	10
24	с ним	8	10
25	но в	5	10
26	и в	21	9
27	во всех	2	9
28	еще не	8	8
29	в своей	5	8
30	не только	36	8
31	все это	5	8
32	то же	6	8
33	только в	14	8
34	и все	5	8
35	оно и	4	8
36	так как	7	8
37	тот же	3	7
38	во всяком	3	7
39	один из	3	7
40	в самом	9	7
41	что же	8	7
42	– не	9	7
43	сказать что	17	7
44	мы уже	3	7
45	всяком случае	2	7
46	– как	7	6
47	никогда не	2	6
48	вовсе не	10	6
49	и ее	18	6
50	для него	4	6
51	того что	8	6
52	в ней	12	6
53	совершенно не	5	6
54	хотя бы	6	6
55	и с	8	6
56	в свою	4	5
57	можно сказать	6	5
58	не в	5	5
59	в этой	3	5
60	в чем	6	5
61	для этого	4	5
62	в то	3	5
63	что такое	12	5
64	что в	9	5
65	но и	18	5
66	в себя	13	5
67	оно –	3	5
68	для того	2	5
69	а в	4	5
70	с этим	3	5
71	мы должны	2	5
72	я и	6	5
73	– с	2	4
74	не менее	3	4
75	но не	5	4
76	я не	4	4
77	в котором	3	4
78	то ни	4	4
79	в жизни	3	4
80	если мы	8	4
81	в собственном	2	4
82	с другими	8	4
83	к тому	3	4
84	об этом	3	4
85	сводится к	2	4
86	– и	2	4
87	на этом	2	4
88	другими словами	5	4
89	– только	4	4
90	и о	3	4
91	от того	3	4
92	же –	2	4
93	как раз	9	4
94	в основе	3	4
95	в нем	2	4
96	все же	4	4
97	данном случае	2	4
98	между ними	3	4
99	мы находим	2	4
100	уже не	9	4
101	того чтобы	3	4
102	и для	9	4
103	той же	2	4
104	мы не	6	4
105	с ними	3	4
106	в данном	5	4
107	потому что	16	4
108	себя и	4	4
109	говорить о	6	4
110	нисколько не	4	3
111	о которой	2	3
112	если бы	5	3
113	и есть	26	3
114	тому что	2	3
115	во втором	2	3
116	от всех	4	3
117	и от	3	3
118	к себе	4	3
119	что все	2	3
120	а только	3	3
121	в себе	14	3
122	и как	8	3
123	но это	10	3
124	и оно	3	3
125	она не	4	3
126	и может	2	3
127	было бы	14	3
128	ни на	3	3
129	нет никакого	2	3
130	с ее	6	3
131	себя в	10	3
132	бы то	4	3
133	только то	2	3
134	не сможет	2	3
135	жизни и	2	3
136	собственном смысле	3	3
137	со стороны	5	3
138	мысли и	3	3
139	чем не	2	3
140	и вот	2	3
141	и что	15	3
142	свою очередь	4	3
143	мы имеем	7	3
144	у него	2	3
145	но ведь	2	3
146	слова и	5	3
147	одна из	5	3
148	есть и	4	2
149	этих двух	2	2
150	в отношении	4	2
151	только не	2	2
152	что это	13	2
153	что между	2	2
154	реальности и	3	2
155	его и	2	2
156	для себя	5	2
157	того же	5	2
158	с другой	6	2
159	это не	5	2
160	оно не	3	2
161	в конце	2	2
162	– совершенно	3	2
163	ничем не	3	2
164	тем не	3	2
165	для нас	2	2
166	в ее	7	2
167	да и	3	2
168	ни было	4	2
169	это и	6	2
170	том что	8	2
171	слово –	3	2
172	а не	19	2
173	ли мы	2	2
174	одной стороны	3	2
175	из них	4	2
176	мы говорили	2	2
177	что мы	14	2
178	но для	2	2
179	но если	8	2
180	как ее	2	2
181	конце концов	2	2
182	относится к	5	2
183	в своем	6	2
184	для нее	2	2
185	что значит	8	2
186	в свой	2	2
187	выражение в	3	2
188	дело не	2	2
189	что она	15	2
190	только на	3	2
191	это вовсе	2	2
192	отличается от	7	2
193	а с	3	2
194	с одной	3	2
195	что оно	8	2
196	из того	2	2
197	свое выражение	3	2
198	должны быть	4	2
199	и у	3	2
200	и даже	6	2
201	и притом	3	2
202	мы видим	2	2
203	и то	10	2
204	и выражение	2	2
205	их в	3	2
206	то или	2	2
207	от этого	2	2
208	себя с	5	2
209	чем же	3	2
210	вещи и	20	2
211	что и	3	2
212	в другом	2	2
213	при помощи	2	2
214	в первом	2	2
215	и самое	2	2
216	когда мы	6	2
217	– мы	2	2
218	только с	3	2
219	как это	2	2
220	оно может	2	2
221	в виду	2	2
