N	3gram	Medvedev_V_1	StatiiOP
1	и т д	14	21
2	в том что	5	17
3	о том что	3	11
4	для того чтобы	3	10
5	и т п	9	9
6	можно было бы	2	8
7	в этом отношении	13	7
8	с другой стороны	8	6
9	не может быть	8	5
10	в этой области	3	5
11	то же время	5	4
12	в том отношении	2	4
13	в то же	5	4
14	не только в	2	4
15	на эти вопросы	2	3
16	только в том	2	3
17	по отношению к	7	3
18	т е в	2	2
19	том числе и	2	2
20	в том числе	2	2
21	по этому поводу	7	2
22	с одной стороны	2	2
23	хотя бы и	5	2
24	по крайней мере	2	2
25	том отношении что	2	2
26	не в том	2	2
27	чуть ли не	2	2
