N	2gram	Medvedev_F_1	KFilosof
1	может быть	14	43
2	в его	23	39
3	в нем	14	31
4	не может	16	27
5	и не	20	26
6	по отношению	4	25
7	и в	24	22
8	отношению к	4	21
9	в себе	3	21
10	не есть	2	19
11	в ее	8	17
12	а не	10	17
13	и его	10	17
14	только в	2	16
15	точки зрения	16	13
16	в этом	15	13
17	ни в	2	12
18	для него	3	12
19	но не	3	12
20	и это	2	12
21	все эти	6	11
22	в своей	11	11
23	не в	8	11
24	в своем	11	10
25	это не	2	10
26	все это	9	10
27	во всех	5	10
28	с точки	13	10
29	в целом	6	9
30	но и	7	9
31	в их	11	9
32	как бы	6	9
33	и все	6	9
34	его целом	8	9
35	не было	3	8
36	лишь в	8	8
37	если бы	4	8
38	было бы	6	8
39	жизни и	7	8
40	со стороны	5	8
41	на основе	6	7
42	и здесь	6	7
43	во всем	2	7
44	в единстве	7	7
45	вовсе не	10	7
46	конечно не	4	7
47	должен быть	5	7
48	что и	2	7
49	то что	8	7
50	в том	6	6
51	но это	3	6
52	отношение к	3	6
53	в мире	4	6
54	отнюдь не	6	6
55	и их	10	6
56	он не	3	6
57	уже не	2	6
58	менее всего	2	6
59	мира в	2	6
60	никогда не	4	5
61	хотя бы	5	5
62	но эта	2	5
63	то же	10	5
64	его как	3	5
65	но все	2	5
66	и содержание	2	5
67	именно в	8	5
68	должно быть	11	5
69	в основе	3	5
70	но ведь	2	5
71	его в	3	5
72	с ним	2	5
73	но в	5	5
74	жизни в	2	5
75	как и	11	5
76	есть лишь	2	5
77	не только	7	5
78	все же	3	5
79	бытия в	3	5
80	со всем	3	5
81	жизнь как	3	5
82	место в	7	4
83	что в	4	4
84	входит в	6	4
85	ни было	2	4
86	при этом	5	4
87	места в	2	4
88	не по	3	4
89	в своих	2	4
90	между тем	2	4
91	бы быть	2	4
92	могло бы	2	4
93	в одном	2	4
94	вне ее	3	4
95	нисколько не	2	4
96	не как	4	4
97	только как	2	4
98	во всей	2	4
99	а в	6	4
100	тем самым	3	4
101	познания и	4	4
102	а лишь	2	3
103	независимо от	4	3
104	должна быть	7	3
105	не менее	11	3
106	в каждом	3	3
107	и должна	2	3
108	целом и	4	3
109	лишь как	5	3
110	в свою	8	3
111	не дает	2	3
112	до конца	7	3
113	и пр	17	3
114	нем и	2	3
115	на язык	3	3
116	от того	2	3
117	того что	5	3
118	и на	8	3
119	в ней	10	3
120	положения в	2	3
121	в то	9	3
122	того или	2	3
123	ее целом	3	3
124	мы не	3	3
125	всех этих	3	3
126	на своем	2	3
127	ясно что	3	3
128	или иного	3	3
129	могла бы	2	3
130	еще не	6	3
131	нет и	2	3
132	быть и	4	3
133	на самом	7	3
134	культуры и	3	3
135	самом деле	6	3
136	вступает в	2	3
137	здесь не	3	3
138	ничего не	2	3
139	ее до	2	2
140	его и	2	2
141	то ни	3	2
142	прежде всего	22	2
143	вопрос о	2	2
144	войти в	2	2
145	и как	3	2
146	чтобы стать	2	2
147	же время	8	2
148	бы оно	2	2
149	но для	3	2
150	не о	3	2
151	в него	2	2
152	его с	2	2
153	мира как	2	2
154	по себе	5	2
155	для этого	4	2
156	как к	3	2
157	и должен	2	2
158	и других	3	2
159	действительности в	2	2
160	для этой	2	2
161	не из	4	2
162	ее от	2	2
163	философии культуры	4	2
164	подхода к	2	2
165	а как	2	2
166	с его	4	2
167	с тем	2	2
168	раз и	2	2
169	в жизни	3	2
170	думать что	3	2
171	человек не	3	2
172	что он	3	2
173	бы то	3	2
174	и может	4	2
175	со всеми	3	2
176	но есть	2	2
177	и потому	9	2
178	этого слова	3	2
179	жизни но	2	2
180	оно не	4	2
181	в процессе	9	2
182	так и	18	2
183	как в	8	2
184	это и	3	2
185	чтобы не	2	2
186	сводится к	3	2
187	жизнь и	3	2
188	от этого	2	2
189	единства и	2	2
190	в этой	6	2
191	отношении к	2	2
192	в области	3	2
