N	2gram	Tiupa_Anal_3	VerxiiNi
1	и в	18	26
2	таким образом	4	22
3	с тем	2	18
4	вместе с	2	15
5	в этом	14	15
6	точки зрения	3	13
7	как бы	10	12
8	в том	9	11
9	может быть	9	10
10	не только	22	10
11	из этих	3	10
12	что в	9	9
13	но и	13	9
14	с другой	7	8
15	но не	7	8
16	в общем	2	8
17	и не	12	8
18	том что	12	7
19	одной стороны	2	7
20	то что	2	7
21	с одной	2	7
22	но в	2	7
23	в конце	5	6
24	к тому	6	6
25	и потому	2	6
26	того же	5	6
27	несмотря на	2	6
28	всяком случае	2	6
29	что и	5	6
30	все же	4	6
31	так и	14	6
32	все это	3	6
33	все эти	2	6
34	с точки	2	6
35	во всяком	2	6
36	в себе	2	6
37	и т.д	2	6
38	о том	6	6
39	и к	4	5
40	крайней мере	4	5
41	тому же	3	5
42	в его	7	5
43	никогда не	5	5
44	к жизни	3	5
45	лишь в	5	5
46	а не	9	5
47	и для	2	5
48	в мире	5	5
49	по крайней	4	5
50	и от	2	4
51	что он	4	4
52	в нем	2	4
53	в самом	5	4
54	не может	2	4
55	а в	10	4
56	то же	3	4
57	и по	2	4
58	он не	6	4
59	в то	3	4
60	только в	2	4
61	то есть	10	4
62	в этой	6	4
63	далеко не	4	4
64	не менее	4	3
65	в рамках	3	3
66	к этому	3	3
67	можно сказать	4	3
68	для него	6	3
69	и как	4	3
70	представляет собой	5	3
71	в своем	4	3
72	в качестве	12	3
73	если в	3	3
74	тем не	2	3
75	отношению к	7	3
76	когда он	2	3
77	при этом	11	3
78	но с	2	3
79	уже не	5	3
80	путь к	3	3
81	в значительной	2	3
82	и даже	8	3
83	в результате	5	3
84	в одном	4	3
85	уже в	3	2
86	с его	8	2
87	только не	3	2
88	именно в	3	2
89	состоит в	4	2
90	в них	2	2
91	не как	2	2
92	прежде всего	5	2
93	не всегда	3	2
94	в свою	5	2
95	или иной	5	2
96	тех пор	2	2
97	а также	2	2
98	и здесь	2	2
99	в начале	6	2
100	без остатка	2	2
101	по своему	2	2
102	же время	3	2
103	что мы	2	2
104	еще не	6	2
105	со всеми	2	2
106	мысль о	3	2
107	вплоть до	2	2
108	для всех	2	2
109	той или	3	2
110	один из	2	2
111	не с	2	2
112	во всех	2	2
113	связь с	2	2
114	приводит к	4	2
115	не было	3	2
116	этом отношении	3	2
117	те же	2	2
118	мы имеем	5	2
119	его не	3	2
120	в глазах	2	2
121	на пути	2	2
122	и на	4	2
123	сказать что	2	2
124	не в	6	2
125	мы можем	2	2
126	по своей	2	2
127	не могла	2	2
128	и все	2	2
129	между тем	5	2
130	в новом	2	2
